	bigg	metatlas
0	13dpg	MAM00247
1	23dpg	MAM00569
2	2kmb	MAM01016
3	2pg	MAM00674
4	35cgmp	MAM01433
5	3dhguln	MAM00768
6	3moxtyr	MAM00821
7	3pg	MAM00913
8	4pyrdx	MAM01033
9	5aop	MAM01074
10	5mdr1p	MAM02481
11	5mdru1p	MAM02910
12	5mta	MAM01116
13	5oxpro	MAM01127
14	6pgc	MAM01169
15	6pgl	MAM01961
16	ac	MAM01252
17	acald	MAM01249
18	acgam	MAM02527
19	acgam6p	MAM02529
20	acmana	MAM02524
21	acmanap	MAM02539
22	acnam	MAM02543
23	acnamp	MAM02544
24	ade	MAM01279
25	adn	MAM01280
26	adp	MAM01285
27	adprbp	MAM01289
28	adrnl	MAM01290
29	ahcys	MAM02871
30	akg	MAM01306
31	ala__L	MAM01307
32	amet	MAM02877
33	ametam	MAM02870
34	amp	MAM01334
35	ap4a	MAM02670
36	arg__L	MAM01365
37	ascb__L	MAM01368
38	atp	MAM01371
39	band	MAM03481
40	bandmt	MAM03482
41	bilglcur	MAM01398
42	bilirub	MAM01396
43	biliverd	MAM01399
44	ca2	MAM01413
45	camp	MAM01419
46	cdp	MAM01424
47	cdpchol	MAM01425
48	cdpea	MAM01428
49	chol	MAM01513
50	cholp	MAM02738
51	cl	MAM01442
52	cmp	MAM01590
53	co	MAM01595
54	co2	MAM01596
55	coa	MAM01597
56	cpppg3	MAM01606
57	crn	MAM02348
58	ctp	MAM01623
59	cys__L	MAM01628
60	dhap	MAM01690
61	dhdascb	MAM01655
62	dhmtp	MAM00245
63	dkmpp	MAM00572
64	dnad	MAM01646
65	dopa	MAM01736
66	e4p	MAM01785
67	etha	MAM01797
68	ethamp	MAM01798
69	f26bp	MAM01843
70	f6p	MAM01845
71	fad	MAM01802
72	fdp	MAM01841
73	fe2	MAM01821
74	fmn	MAM01828
75	for	MAM01833
76	fru	MAM01840
77	fum	MAM01862
78	g1p	MAM01967
79	g3p	MAM01939
80	g3pc	MAM02912
81	g6p	MAM01968
82	gal	MAM01910
83	gal1p	MAM01322
84	galt	MAM01909
85	gam	MAM01962
86	gam6p	MAM01963
87	gdp	MAM01948
88	glc__D	MAM01965
89	glcur	MAM01973
90	gln__L	MAM01975
91	glu__L	MAM01974
92	gluala	MAM00097
93	glucys	MAM01927
94	gly	MAM01986
95	glyc	MAM01983
96	glyc3p	MAM02914
97	gmp	MAM02016
98	gsn	MAM02038
99	gthox	MAM02027
100	gthrd	MAM02026
101	gtp	MAM02034
102	gua	MAM02037
103	guln__L	MAM02378
104	h	MAM02039
105	h2o	MAM02040
106	h2o2	MAM02041
107	hco3	MAM02046
108	hcys__L	MAM02133
109	hdca	MAM02674
110	hmbil	MAM02151
111	hxan	MAM02159
112	icit	MAM02183
113	imp	MAM02167
114	inost	MAM02171
115	ins	MAM02170
116	k	MAM02200
117	lac__D	MAM01716
118	lac__L	MAM02403
119	leuktrA4	MAM02362
120	leuktrB4	MAM02364
121	lgt__S	MAM00168
122	lnlc	MAM02387
123	lnlccoa	MAM02391
124	lnlccrn	MAM02388
125	mal__L	MAM02439
126	man	MAM02453
127	man1p	MAM02454
128	man6p	MAM02455
129	mepi	MAM02407
130	met__L	MAM02471
131	mi1345p	MAM00522
132	mi134p	MAM00524
133	mi145p	MAM01718
134	mi14p	MAM00526
135	mi1p__D	MAM02173
136	mthgxl	MAM02475
137	na1	MAM02519
138	nac	MAM02586
139	nad	MAM02552
140	nadh	MAM02553
141	nadp	MAM02554
142	nadph	MAM02555
143	ncam	MAM02583
144	nh4	MAM02579
145	nicrns	MAM02584
146	nicrnt	MAM02585
147	nmn	MAM02581
148	normete__L	MAM02622
149	nrpphr	MAM02617
150	o2	MAM02630
151	oaa	MAM02633
152	ocdcea	MAM02646
153	odecoa	MAM02647
154	odecrn	MAM02639
155	orn	MAM02658
156	orot	MAM02659
157	orot5p	MAM02660
158	pdx5p	MAM02818
159	pep	MAM02696
160	phe__L	MAM02724
161	pheme	MAM02049
162	phpyr	MAM02725
163	pi	MAM02751
164	pmtcoa	MAM02678
165	pmtcrn	MAM02411
166	ppbng	MAM02756
167	ppi	MAM02759
168	ppp9	MAM02803
169	pppg9	MAM02804
170	prpp	MAM02806
171	ptrc	MAM02812
172	pyam5p	MAM02816
173	pydam	MAM02815
174	pydx	MAM02813
175	pydx5p	MAM02814
176	pydxn	MAM02817
177	pyr	MAM02819
178	r1p	MAM02844
179	r5p	MAM02845
180	ribflv	MAM02842
181	rnam	MAM02582
182	ru5p__D	MAM02846
183	s7p	MAM02884
184	sbt__D	MAM01682
185	spmd	MAM02923
186	sprm	MAM02926
187	thm	MAM02982
188	thmmp	MAM02983
189	thmpp	MAM02984
190	thmtp	MAM02985
191	udp	MAM03106
192	udpg	MAM03108
193	udpgal	MAM03107
194	udpglcur	MAM03109
195	ump	MAM03114
196	uppg3	MAM03128
197	urea	MAM03121
198	uri	MAM03123
199	utp	MAM03130
200	xmp	MAM03150
201	xu5p__D	MAM01761
202	xylt	MAM03155
203	xylu__D	MAM01759
204	xylu__L	MAM02425
