	bigg	metatlas
0	3MOXTYRESSte	MAR11306
1	4PYRDX	MAR08103
2	5AOPt2	MAR11307
3	ACALDt	MAR04948
4	ACGAM2E	MAR04527
5	ACGAMK	MAR04524
6	ACNAM9PL	MAR04529
7	ACNAMPH	MAR04530
8	ACNAMt2	MAR11308
9	ACNML	MAR08373
10	ACt2r	MAR04935
11	ADA	MAR04481
12	ADEt	MAR04847
13	ADK1	MAR04002
14	ADMDC	MAR04073
15	ADNCYC	MAR04000
16	ADNK1	MAR04012
17	ADNt	MAR05032
18	ADPT	MAR04085
19	AGDC	MAR04629
20	AHCi	MAR03877
21	ALAt4	MAR05305
22	ALDD2x	MAR01568
23	AMANK	MAR04528
24	AMPDA	MAR04080
25	AP4AH1	MAR09570
26	ARGt5r	MAR05068
27	ASCBt	MAR08618
28	BANDMT	MAR11309
29	BILGLCURt	MAR08632
30	BILIRED	MAR08634
31	C160CPT1	MAR02626
32	C181CPT1	MAR00108
33	CA2t	MAR11311
34	CAATPS	MAR07629
35	CAMPt	MAR07691
36	CAT	MAR03980
37	CGMPt	MAR07692
38	CHLP	MAR08424
39	CHLPCTD	MAR00638
40	CHOLK	MAR00636
41	CHOLt4	MAR07734
42	CO2t	MAR04919
43	COt	MAR07798
44	CPPPGO	MAR09559
45	CYStec	MAR05084
46	CYTK1	MAR04024
47	DOPAtu	MAR06732
48	D_LACt2	MAR03858
49	ENO	MAR04363
50	ETHAK	MAR00648
51	ETHP	MAR00649
52	EX_35cgmp_e	MAR09216
53	EX_3moxtyr_e	MAR10427
54	EX_4pyrdx_e	MAR09225
55	EX_5aop_e	MAR10428
56	EX_ac_e	MAR09086
57	EX_acald_e	MAR09241
58	EX_acnam_e	MAR11348
59	EX_ade_e	MAR09250
60	EX_adn_e	MAR09251
61	EX_adrnl_e	MAR09095
62	EX_ala__L_e	MAR09061
63	EX_arg__L_e	MAR09066
64	EX_ascb__L_e	MAR09158
65	EX_ca2_e	MAR09082
66	EX_chol_e	MAR09083
67	EX_cl_e	MAR09150
68	EX_co2_e	MAR09058
69	EX_cys__L_e	MAR09065
70	EX_dhdascb_e	MAR09299
71	EX_dopa_e	MAR09092
72	EX_fe2_e	MAR09076
73	EX_fru_e	MAR09139
74	EX_fum_e	MAR11400
75	EX_gal_e	MAR09140
76	EX_gam_e	MAR09168
77	EX_glc__D_e	MAR09034
78	EX_gln__L_e	MAR09063
79	EX_gluala_e	MAR09340
80	EX_gly_e	MAR09067
81	EX_glyc_e	MAR09085
82	EX_gthox_e	MAR09347
83	EX_h2o2_e	MAR09353
84	EX_h2o_e	MAR09047
85	EX_h_e	MAR09079
86	EX_hco3_e	MAR09078
87	EX_hcys__L_e	MAR09853
88	EX_hdca_e	MAR00611
89	EX_k_e	MAR09081
90	EX_lac__D_e	MAR09136
91	EX_lac__L_e	MAR09135
92	EX_lnlc_e	MAR09035
93	EX_mal__L_e	MAR11404
94	EX_man_e	MAR09137
95	EX_mepi_e	MAR09371
96	EX_met__L_e	MAR09042
97	EX_na1_e	MAR09077
98	EX_nac_e	MAR09142
99	EX_nh4_e	MAR11420
100	EX_normete__L_e	MAR10490
101	EX_nrpphr_e	MAR09093
102	EX_o2_e	MAR09048
103	EX_ocdcea_e	MAR00650
104	EX_phe__L_e	MAR09043
105	EX_pi_e	MAR09072
106	EX_ptrc_e	MAR11426
107	EX_pydam_e	MAR09398
108	EX_pydxn_e	MAR09144
109	EX_pyr_e	MAR09133
110	EX_ribflv_e	MAR09143
111	EX_spmd_e	MAR11427
112	EX_thm_e	MAR09159
113	EX_thmmp_e	MAR09105
114	EX_urea_e	MAR09437
115	EX_uri_e	MAR09075
116	FACOAL160	MAR00217
117	FACOAL181	MAR00263
118	FACOAL1821	MAR00397
119	FADDP	MAR06509
120	FBA	MAR04375
121	FBP26	MAR04706
122	FCLT	MAR11406
123	FE2t	MAR05987
124	FMNAT	MAR06508
125	FRUt1r	MAR04321
126	FUM	MAR04408
127	FUMtr	MAR09828
128	G6PDA	MAR04299
129	G6PDH2r	MAR08971
130	GALKr	MAR04130
131	GALT	MAR08767
132	GALUi	MAR03944
133	GALt1r	MAR04858
134	GAMt1r	MAR04996
135	GAPD	MAR04373
136	GGLUCT	MAR08770
137	GK1	MAR04020
138	GLNS	MAR03890
139	GLNt4	MAR05308
140	GLUCYS	MAR04324
141	GLYCt	MAR00444
142	GLYK	MAR00450
143	GLYOX	MAR03857
144	GLYt7_211_r	MAR05455
145	GMPS2	MAR04046
146	GND	MAR04474
147	GTHDH	MAR08620
148	GTHOXti2	MAR11312
149	GTHOr	MAR04118
150	GTHPi	MAR04116
151	GTHS	MAR04326
152	GUACYC	MAR04022
153	GUAPRT	MAR04452
154	GULN3D	MAR08352
155	H2O2t	MAR08408
156	H2Ot	MAR04885
157	HCO3E	MAR03955
158	HCYSte	MAR11313
159	HDCAt	MAR00216
160	HEX1	MAR04394
161	HEX10	MAR04494
162	HEX4	MAR04490
163	HEX7	MAR04319
164	HMBS	MAR04746
165	HOXG	MAR01450
166	HXPRT	MAR04418
167	HYXNt	MAR04848
168	Ht	MAR11318
169	ICDHyr	MAR00710
170	IMPD	MAR04040
171	INSt	MAR05042
172	KCCt	MAR05990
173	LDH_L	MAR04388
174	LGTHL	MAR03853
175	LNLCCPT1	MAR02742
176	LNLCt	MAR00396
177	L_LACt2r	MAR05998
178	MALt	MAR09030
179	MAN6PI	MAR04383
180	MANt1r	MAR04973
181	MDH	MAR04139
182	ME2	MAR04089
183	MEPIVESSte	MAR08922
184	METAT	MAR03875
185	METtec	MAR05073
186	MGSA	MAR08516
187	MI1PP	MAR06540
188	MI1PS	MAR04308
189	MTAP	MAR05384
190	NACt	MAR04989
191	NADK	MAR04269
192	NADS2	MAR04260
193	NAt	MAR01527
194	NCAMUP	MAR04969
195	NDPK1	MAR04016
196	NDPK2	MAR04006
197	NDPK3	MAR04028
198	NH4t3r	MAR01534
199	NICRNS	MAR04253
200	NMNAT	MAR01542
201	NNATr	MAR04257
202	NORMETEVESSte	MAR11314
203	NP1	MAR04662
204	NRPPHRtu	MAR06241
205	NT5C	MAR04252
206	NTD11	MAR04417
207	NTD2	MAR03970
208	NTD7	MAR04010
209	NTD9	MAR04449
210	NaKt	MAR05429
211	O2t	MAR04896
212	OCDCEAt	MAR00262
213	OMPDC	MAR04036
214	OPAH	MAR03889
215	OROATP	MAR11315
216	ORPT	MAR04577
217	PDE1	MAR04014
218	PDX5POi	MAR04067
219	PDXPP	MAR08725
220	PETHCT	MAR00651
221	PFK	MAR04379
222	PFK26	MAR04297
223	PGI	MAR04381
224	PGK	MAR04368
225	PGL	MAR04625
226	PGM	MAR04365
227	PGMT	MAR04396
228	PHETA1	MAR06725
229	PHEtec	MAR05082
230	PIt	MAR02351
231	PMANM	MAR04385
232	PNP	MAR08791
233	PPA	MAR03977
234	PPBNGS	MAR04744
235	PPM	MAR04354
236	PPPGO	MAR11316
237	PRPPS	MAR04052
238	PTRCtex2	MAR08989
239	PUNP1	MAR08486
240	PUNP3	MAR04651
241	PUNP5	MAR04574
242	PYAM5PO	MAR04069
243	PYDAMK	MAR04068
244	PYDAMtr	MAR05010
245	PYDXDH	MAR08102
246	PYDXK	MAR04065
247	PYDXNK	MAR04066
248	PYDXNtr	MAR04993
249	PYDXPP	MAR04064
250	PYDXtr	MAR04062
251	PYK	MAR04358
252	PYRt2	MAR04928
253	RBFK	MAR06506
254	RIBFLVt3	MAR08730
255	RIBFLVt3o	MAR09910
256	RPE	MAR04477
257	RPI	MAR04352
258	SPMS	MAR04075
259	SPRMS	MAR04077
260	SPRMt2i	MAR11317
261	TALA	MAR04565
262	THMMPtrbc	MAR11319
263	THMtrbc	MAR11320
264	TKT1	MAR04501
265	TKT2	MAR04404
266	TPI	MAR04391
267	UDPG4E	MAR04128
268	UDPGD	MAR04122
269	UDPGNP	MAR08729
270	UGLT	MAR04131
271	UMPK	MAR04008
272	UPP3S	MAR04748
273	UREAt	MAR04949
274	URIt	MAR05035
275	XYLUR	MAR04590
276	ACP1_FMN	MAR06507
277	ADRNLtu	MAR09192
278	ARD	MAR05389
279	ARGN	MAR03816
280	BILIRBU	MAR11321
281	C160CPT2rbc	MAR02626
282	C181CPT2rbc	MAR11310
283	DGULND	MAR08353
284	DHAAt1r	MAR08846
285	DOPAMT	MAR06763
286	DPGM	MAR04371
287	DPGase	MAR04372
288	ENOPH	MAR05387
289	ETHAt	MAR07896
290	GALOR	MAR08766
291	GLCt1	MAR05029
292	GMPR	MAR04419
293	GPDDA1	MAR00635
294	GULND	MAR06537
295	HCO3_CLt	MAR06525
296	LEUKTRA4t	MAR06254
297	LEUKTRB4t	MAR06255
298	LNLCCPT2rbc	MAR02742
299	LTA4H	MAR01080
300	MDRPD	MAR05386
301	MI1345PP	MAR06565
302	MI145PK	MAR06563
303	MI145PP	MAR06560
304	MTRI	MAR05385
305	NADPN	MAR07627
306	NMNHYD	MAR04264
307	ORNDC	MAR04212
308	RNMK	MAR04265
309	SALMCOM	MAR06750
310	SALMCOM2	MAR06746
311	SBTD_D2	MAR04315
312	SBTR	MAR04316
313	SPMDtex2	MAR04994
314	TDP	MAR04208
315	THMTP	MAR04207
316	TMDPK	MAR04204
317	TMDPPK	MAR04206
318	UNK3	MAR05391
319	UPPDC1	MAR04750
320	XYLK	MAR04595
321	XYLTD_D	MAR04593
