enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_ADA	cplx_MONOMER_ADA	102560.63248040657	pc	ADA	adn_c + h2o_c + h_c --> ins_c + nh4_c
enzyme_ADA_rev	cplx_MONOMER_ADA	0	pc	ADA	adn_c + h2o_c + h_c <-- ins_c + nh4_c
enzyme_ADEt	cplx_MONOMER_SLC29A1	119960.06003922797	pc	ADEt	ade_c --> ade_e
enzyme_ADEt	cplx_MONOMER_SLC43A3	127603.28676280024	pc	ADEt	ade_c --> ade_e
enzyme_ADEt_rev	cplx_MONOMER_SLC29A1	119960.06003922797	pc	ADEt	ade_c <-- ade_e
enzyme_ADEt_rev	cplx_MONOMER_SLC43A3	127603.28676280024	pc	ADEt	ade_c <-- ade_e
enzyme_ADK1	cplx_MONOMER_AK1	63791.23581868063	pc	ADK1	amp_c + atp_c --> 2.0 adp_c
enzyme_ADK1_rev	cplx_MONOMER_AK1	63791.23581868063	pc	ADK1	amp_c + atp_c <-- 2.0 adp_c
enzyme_ADNK1	cplx_MONOMER_ADK	102158.42145221544	pc	ADNK1	adn_c + atp_c --> adp_c + amp_c + h_c
enzyme_ADNK1_rev	cplx_MONOMER_ADK	0	pc	ADNK1	adn_c + atp_c <-- adp_c + amp_c + h_c
enzyme_ADNt	cplx_MONOMER_SLC29A1	119960.06003922797	pc	ADNt	adn_c --> adn_e
enzyme_ADNt_rev	cplx_MONOMER_SLC29A1	119960.06003922797	pc	ADNt	adn_c <-- adn_e
enzyme_ADPT	cplx_HOMODIMER_APRT	99634.56466255264	pc	ADPT	ade_c + prpp_c --> amp_c + ppi_c
enzyme_ADPT_rev	cplx_HOMODIMER_APRT	0	pc	ADPT	ade_c + prpp_c <-- amp_c + ppi_c
enzyme_AMPDA	cplx_HOMOTETRAMER_AMPD3	520264.2068854134	pc	AMPDA	amp_c + h2o_c + h_c --> imp_c + nh4_c
enzyme_AMPDA_rev	cplx_HOMOTETRAMER_AMPD3	0	pc	AMPDA	amp_c + h2o_c + h_c <-- imp_c + nh4_c
enzyme_CA2t	cplx_HOMODIMER_TRPC6	354061.503570768	pc	CA2t	ca2_e --> ca2_c
enzyme_CA2t	cplx_HOMODIMER_VDAC1	139726.1110965481	pc	CA2t	ca2_e --> ca2_c
enzyme_CA2t	cplx_HOMOHEPTAMER_PANX1	499363.9482316866	pc	CA2t	ca2_e --> ca2_c
enzyme_CA2t	cplx_HOMOTETRAMER_GRIA1	575135.910694861	pc	CA2t	ca2_e --> ca2_c
enzyme_CA2t	cplx_HOMOTETRAMER_TRPV2	507734.11017956666	pc	CA2t	ca2_e --> ca2_c
enzyme_CA2t	cplx_HOMOTRIMER_P2RX1	251771.87903497653	pc	CA2t	ca2_e --> ca2_c
enzyme_CA2t	cplx_HOMOTRIMER_P2RX2	279693.18400577107	pc	CA2t	ca2_e --> ca2_c
enzyme_CA2t	cplx_HOMOTRIMER_P2RX7	345477.9280787266	pc	CA2t	ca2_e --> ca2_c
enzyme_CA2t	cplx_HOMOTRIMER_PIEZO1	1010097.8917458627	pc	CA2t	ca2_e --> ca2_c
enzyme_CA2t	cplx_MONOMER_CACNA1A	438252.8716969763	pc	CA2t	ca2_e --> ca2_c
enzyme_CA2t	cplx_MONOMER_TMEM109	73673.70476446862	pc	CA2t	ca2_e --> ca2_c
enzyme_CA2t_rev	cplx_HOMODIMER_TRPC6	0	pc	CA2t	ca2_e <-- ca2_c
enzyme_CA2t_rev	cplx_HOMODIMER_VDAC1	0	pc	CA2t	ca2_e <-- ca2_c
enzyme_CA2t_rev	cplx_HOMOHEPTAMER_PANX1	0	pc	CA2t	ca2_e <-- ca2_c
enzyme_CA2t_rev	cplx_HOMOTETRAMER_GRIA1	0	pc	CA2t	ca2_e <-- ca2_c
enzyme_CA2t_rev	cplx_HOMOTETRAMER_TRPV2	0	pc	CA2t	ca2_e <-- ca2_c
enzyme_CA2t_rev	cplx_HOMOTRIMER_P2RX1	0	pc	CA2t	ca2_e <-- ca2_c
enzyme_CA2t_rev	cplx_HOMOTRIMER_P2RX2	0	pc	CA2t	ca2_e <-- ca2_c
enzyme_CA2t_rev	cplx_HOMOTRIMER_P2RX7	0	pc	CA2t	ca2_e <-- ca2_c
enzyme_CA2t_rev	cplx_HOMOTRIMER_PIEZO1	0	pc	CA2t	ca2_e <-- ca2_c
enzyme_CA2t_rev	cplx_MONOMER_CACNA1A	0	pc	CA2t	ca2_e <-- ca2_c
enzyme_CA2t_rev	cplx_MONOMER_TMEM109	0	pc	CA2t	ca2_e <-- ca2_c
enzyme_CAATPS1	cplx_MONOMER_ATP2B1	251356.53197880497	pc	CAATPS1	atp_c + ca2_c + h2o_c --> adp_c + ca2_e + h_c + pi_c
enzyme_CAATPS1	cplx_MONOMER_ATP2B4	255887.7370506761	pc	CAATPS1	atp_c + ca2_c + h2o_c --> adp_c + ca2_e + h_c + pi_c
enzyme_CAATPS1_rev	cplx_MONOMER_ATP2B1	0	pc	CAATPS1	atp_c + ca2_c + h2o_c <-- adp_c + ca2_e + h_c + pi_c
enzyme_CAATPS1_rev	cplx_MONOMER_ATP2B4	0	pc	CAATPS1	atp_c + ca2_c + h2o_c <-- adp_c + ca2_e + h_c + pi_c
enzyme_CO2t	cplx_HETEROTETRAMER_RH	311251.1488353594	pc	CO2t	co2_c --> co2_e
enzyme_CO2t	cplx_HETEROTRIMER_RH	250218.07917275972	pc	CO2t	co2_c --> co2_e
enzyme_CO2t	cplx_HOMODIMER_RHAG	183295.45584124594	pc	CO2t	co2_c --> co2_e
enzyme_CO2t	cplx_HOMOTETRAMER_AQP1	221986.1037441626	pc	CO2t	co2_c --> co2_e
enzyme_CO2t_rev	cplx_HETEROTETRAMER_RH	311251.1488353594	pc	CO2t	co2_c <-- co2_e
enzyme_CO2t_rev	cplx_HETEROTRIMER_RH	250218.07917275972	pc	CO2t	co2_c <-- co2_e
enzyme_CO2t_rev	cplx_HOMODIMER_RHAG	183295.45584124594	pc	CO2t	co2_c <-- co2_e
enzyme_CO2t_rev	cplx_HOMOTETRAMER_AQP1	221986.1037441626	pc	CO2t	co2_c <-- co2_e
enzyme_DPGM	cplx_HOMODIMER_BPGM	137080.6683256151	pc	DPGM	13dpg_c --> 23dpg_c + h_c
enzyme_DPGM	cplx_HOMODIMER_PGAM1	132953.5323308509	pc	DPGM	13dpg_c --> 23dpg_c + h_c
enzyme_DPGM_rev	cplx_HOMODIMER_BPGM	137080.6683256151	pc	DPGM	13dpg_c <-- 23dpg_c + h_c
enzyme_DPGM_rev	cplx_HOMODIMER_PGAM1	132953.5323308509	pc	DPGM	13dpg_c <-- 23dpg_c + h_c
enzyme_DPGase	cplx_HOMODIMER_BPGM	137080.6683256151	pc	DPGase	23dpg_c + h2o_c --> 3pg_c + pi_c
enzyme_DPGase_rev	cplx_HOMODIMER_BPGM	0	pc	DPGase	23dpg_c + h2o_c <-- 3pg_c + pi_c
enzyme_ENO	cplx_HETERODIMER_ENO_AB	192193.67361500897	pc	ENO	2pg_c --> h2o_c + pep_c
enzyme_ENO	cplx_HETERODIMER_ENO_AG	192595.46121340993	pc	ENO	2pg_c --> h2o_c + pep_c
enzyme_ENO	cplx_HETERODIMER_ENO_BG	192318.37493316917	pc	ENO	2pg_c --> h2o_c + pep_c
enzyme_ENO	cplx_HOMODIMER_ENO1	192470.81975221806	pc	ENO	2pg_c --> h2o_c + pep_c
enzyme_ENO	cplx_HOMODIMER_ENO2	192720.0757924438	pc	ENO	2pg_c --> h2o_c + pep_c
enzyme_ENO	cplx_HOMODIMER_ENO3	191916.3941973793	pc	ENO	2pg_c --> h2o_c + pep_c
enzyme_ENO_rev	cplx_HETERODIMER_ENO_AB	192193.67361500897	pc	ENO	2pg_c <-- h2o_c + pep_c
enzyme_ENO_rev	cplx_HETERODIMER_ENO_AG	192595.46121340993	pc	ENO	2pg_c <-- h2o_c + pep_c
enzyme_ENO_rev	cplx_HETERODIMER_ENO_BG	192318.37493316917	pc	ENO	2pg_c <-- h2o_c + pep_c
enzyme_ENO_rev	cplx_HOMODIMER_ENO1	192470.81975221806	pc	ENO	2pg_c <-- h2o_c + pep_c
enzyme_ENO_rev	cplx_HOMODIMER_ENO2	192720.0757924438	pc	ENO	2pg_c <-- h2o_c + pep_c
enzyme_ENO_rev	cplx_HOMODIMER_ENO3	191916.3941973793	pc	ENO	2pg_c <-- h2o_c + pep_c
enzyme_FBA	cplx_HOMOTETRAMER_ALDOA	282948.6778870036	pc	FBA	fdp_c --> dhap_c + g3p_c
enzyme_FBA	cplx_HOMOTETRAMER_ALDOB	283228.6274164023	pc	FBA	fdp_c --> dhap_c + g3p_c
enzyme_FBA	cplx_HOMOTETRAMER_ALDOC	283114.4628537875	pc	FBA	fdp_c --> dhap_c + g3p_c
enzyme_FBA_rev	cplx_HOMOTETRAMER_ALDOA	282948.6778870036	pc	FBA	fdp_c <-- dhap_c + g3p_c
enzyme_FBA_rev	cplx_HOMOTETRAMER_ALDOB	283228.6274164023	pc	FBA	fdp_c <-- dhap_c + g3p_c
enzyme_FBA_rev	cplx_HOMOTETRAMER_ALDOC	283114.4628537875	pc	FBA	fdp_c <-- dhap_c + g3p_c
enzyme_FCYTOB5OXR	cplx_COMPLEX_CYB5R3_B5A	126917.34778961354	pc	FCYTOB5OXR	2.0 ficytb5_c + nadh_c --> 2.0 focytb5_c + h_c + nad_c
