enzymes	enzyme	complexes	reactions	direction	compartment	complexes_keff	complex_keff	enzyme_keff
enzyme_FCYTOB5OXR_pc	enzyme_FCYTOB5OXR	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc	FCYTOB5OXR	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(126917.34778961354);cplx_COMPLEX_CYB5R3_B5B_pc(145557.08937981148)	126917.34778961354;145557.08937981148	234000.0
enzyme_FCYTOB5OXR_rev_pc	enzyme_FCYTOB5OXR_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc	FCYTOB5OXR	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0)	0;0	234000.0
enzyme_METHBCYTBR_pc	enzyme_METHBCYTBR	cplx_COMPLEX_HBA_CYB5A_pc;cplx_COMPLEX_HBB_CYB5A_pc;cplx_COMPLEX_HBD_CYB5A_pc;cplx_COMPLEX_HBE1_CYB5A_pc;cplx_COMPLEX_HBG1_CYB5A_pc;cplx_COMPLEX_HBG2_CYB5A_pc;cplx_COMPLEX_HBM_CYB5A_pc;cplx_COMPLEX_HBQ1_CYB5A_pc;cplx_COMPLEX_HBZ_CYB5A_pc;cplx_COMPLEX_HBA_CYB5B_pc;cplx_COMPLEX_HBB_CYB5B_pc;cplx_COMPLEX_HBD_CYB5B_pc;cplx_COMPLEX_HBE1_CYB5B_pc;cplx_COMPLEX_HBG1_CYB5B_pc;cplx_COMPLEX_HBG2_CYB5B_pc;cplx_COMPLEX_HBM_CYB5B_pc;cplx_COMPLEX_HBQ1_CYB5B_pc;cplx_COMPLEX_HBZ_CYB5B_pc	METHBCYTBR	forward	pc	cplx_COMPLEX_HBA_CYB5A_pc(96886.6871124383);cplx_COMPLEX_HBB_CYB5A_pc(98302.51072136693);cplx_COMPLEX_HBD_CYB5A_pc(98415.60896719272);cplx_COMPLEX_HBE1_CYB5A_pc(98699.34101175176);cplx_COMPLEX_HBG1_CYB5A_pc(98551.28424038479);cplx_COMPLEX_HBG2_CYB5A_pc(98547.51239210022);cplx_COMPLEX_HBM_CYB5A_pc(97569.73248893963);cplx_COMPLEX_HBQ1_CYB5A_pc(97363.75973009696);cplx_COMPLEX_HBZ_CYB5A_pc(97613.77211433608);cplx_COMPLEX_HBA_CYB5B_pc(117093.25281982543);cplx_COMPLEX_HBB_CYB5B_pc(118423.15700314738);cplx_COMPLEX_HBD_CYB5B_pc(118529.452978885);cplx_COMPLEX_HBE1_CYB5B_pc(118796.15933094121);cplx_COMPLEX_HBG1_CYB5B_pc(118656.97988751976);cplx_COMPLEX_HBG2_CYB5B_pc(118653.43439472202);cplx_COMPLEX_HBM_CYB5B_pc(117734.66961462103);cplx_COMPLEX_HBQ1_CYB5B_pc(117541.21483603961);cplx_COMPLEX_HBZ_CYB5B_pc(117776.0366535296)	96886.6871124383;98302.51072136693;98415.60896719272;98699.34101175176;98551.28424038479;98547.51239210022;97569.73248893963;97363.75973009696;97613.77211433608;117093.25281982543;118423.15700314738;118529.452978885;118796.15933094121;118656.97988751976;118653.43439472202;117734.66961462103;117541.21483603961;117776.0366535296	234000.0
enzyme_METHBCYTBR_rev_pc	enzyme_METHBCYTBR_rev	cplx_COMPLEX_HBA_CYB5A_pc;cplx_COMPLEX_HBB_CYB5A_pc;cplx_COMPLEX_HBD_CYB5A_pc;cplx_COMPLEX_HBE1_CYB5A_pc;cplx_COMPLEX_HBG1_CYB5A_pc;cplx_COMPLEX_HBG2_CYB5A_pc;cplx_COMPLEX_HBM_CYB5A_pc;cplx_COMPLEX_HBQ1_CYB5A_pc;cplx_COMPLEX_HBZ_CYB5A_pc;cplx_COMPLEX_HBA_CYB5B_pc;cplx_COMPLEX_HBB_CYB5B_pc;cplx_COMPLEX_HBD_CYB5B_pc;cplx_COMPLEX_HBE1_CYB5B_pc;cplx_COMPLEX_HBG1_CYB5B_pc;cplx_COMPLEX_HBG2_CYB5B_pc;cplx_COMPLEX_HBM_CYB5B_pc;cplx_COMPLEX_HBQ1_CYB5B_pc;cplx_COMPLEX_HBZ_CYB5B_pc	METHBCYTBR	reverse	pc	cplx_COMPLEX_HBA_CYB5A_pc(0);cplx_COMPLEX_HBB_CYB5A_pc(0);cplx_COMPLEX_HBD_CYB5A_pc(0);cplx_COMPLEX_HBE1_CYB5A_pc(0);cplx_COMPLEX_HBG1_CYB5A_pc(0);cplx_COMPLEX_HBG2_CYB5A_pc(0);cplx_COMPLEX_HBM_CYB5A_pc(0);cplx_COMPLEX_HBQ1_CYB5A_pc(0);cplx_COMPLEX_HBZ_CYB5A_pc(0);cplx_COMPLEX_HBA_CYB5B_pc(0);cplx_COMPLEX_HBB_CYB5B_pc(0);cplx_COMPLEX_HBD_CYB5B_pc(0);cplx_COMPLEX_HBE1_CYB5B_pc(0);cplx_COMPLEX_HBG1_CYB5B_pc(0);cplx_COMPLEX_HBG2_CYB5B_pc(0);cplx_COMPLEX_HBM_CYB5B_pc(0);cplx_COMPLEX_HBQ1_CYB5B_pc(0);cplx_COMPLEX_HBZ_CYB5B_pc(0)	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	234000.0
enzyme_NaKt_pc	enzyme_NaKt	cplx_HETERODIMER_ATP1_A1B1_pc;cplx_HETERODIMER_ATP1_A1B2_pc;cplx_HETERODIMER_ATP1_A1B3_pc;cplx_HETERODIMER_ATP1_A3B1_pc;cplx_HETERODIMER_ATP1_A3B2_pc;cplx_HETERODIMER_ATP1_A3B3_pc;cplx_HETERODIMER_ATP1_A4B1_pc;cplx_HETERODIMER_ATP1_A4B2_pc;cplx_HETERODIMER_ATP1_A4B3_pc	NaKt	forward	pc	cplx_HETERODIMER_ATP1_A1B1_pc(269721.11650904146);cplx_HETERODIMER_ATP1_A1B2_pc(267398.3712908108);cplx_HETERODIMER_ATP1_A1B3_pc(264851.2024212254);cplx_HETERODIMER_ATP1_A3B1_pc(268146.3311156127);cplx_HETERODIMER_ATP1_A3B2_pc(265819.02135941596);cplx_HETERODIMER_ATP1_A3B3_pc(263266.7854515881);cplx_HETERODIMER_ATP1_A4B1_pc(271478.3470902606);cplx_HETERODIMER_ATP1_A4B2_pc(269160.6531659468);cplx_HETERODIMER_ATP1_A4B3_pc(266619.0909673228)	269721.11650904146;267398.3712908108;264851.2024212254;268146.3311156127;265819.02135941596;263266.7854515881;271478.3470902606;269160.6531659468;266619.0909673228	234000.0
enzyme_NaKt_rev_pc	enzyme_NaKt_rev	cplx_HETERODIMER_ATP1_A1B1_pc;cplx_HETERODIMER_ATP1_A1B2_pc;cplx_HETERODIMER_ATP1_A1B3_pc;cplx_HETERODIMER_ATP1_A3B1_pc;cplx_HETERODIMER_ATP1_A3B2_pc;cplx_HETERODIMER_ATP1_A3B3_pc;cplx_HETERODIMER_ATP1_A4B1_pc;cplx_HETERODIMER_ATP1_A4B2_pc;cplx_HETERODIMER_ATP1_A4B3_pc	NaKt	reverse	pc	cplx_HETERODIMER_ATP1_A1B1_pc(0);cplx_HETERODIMER_ATP1_A1B2_pc(0);cplx_HETERODIMER_ATP1_A1B3_pc(0);cplx_HETERODIMER_ATP1_A3B1_pc(0);cplx_HETERODIMER_ATP1_A3B2_pc(0);cplx_HETERODIMER_ATP1_A3B3_pc(0);cplx_HETERODIMER_ATP1_A4B1_pc(0);cplx_HETERODIMER_ATP1_A4B2_pc(0);cplx_HETERODIMER_ATP1_A4B3_pc(0)	0;0;0;0;0;0;0;0;0	234000.0
enzyme_L_LACt2_pc	enzyme_L_LACt2	cplx_HETEROTETRAMER_SLC16A1_BSG_pc;cplx_HETEROTETRAMER_SLC16A7_BSG_pc;cplx_HETEROTETRAMER_SLC16A1_EMB_pc;cplx_HETEROTETRAMER_SLC16A7_EMB_pc;cplx_HOMODIMER_SLC16A1_pc;cplx_HOMODIMER_SLC16A7_pc	L_LACt2	forward	pc	cplx_HETEROTETRAMER_SLC16A1_BSG_pc(328323.8217407791);cplx_HETEROTETRAMER_SLC16A7_BSG_pc(323859.90322865616);cplx_HETEROTETRAMER_SLC16A1_EMB_pc(314631.65941146784);cplx_HETEROTETRAMER_SLC16A7_EMB_pc(310103.29815590964);cplx_HOMODIMER_SLC16A1_pc(212883.43219428844);cplx_HOMODIMER_SLC16A7_pc(207716.67414451134)	328323.8217407791;323859.90322865616;314631.65941146784;310103.29815590964;212883.43219428844;207716.67414451134	234000.0
enzyme_L_LACt2_rev_pc	enzyme_L_LACt2_rev	cplx_HETEROTETRAMER_SLC16A1_BSG_pc;cplx_HETEROTETRAMER_SLC16A7_BSG_pc;cplx_HETEROTETRAMER_SLC16A1_EMB_pc;cplx_HETEROTETRAMER_SLC16A7_EMB_pc;cplx_HOMODIMER_SLC16A1_pc;cplx_HOMODIMER_SLC16A7_pc	L_LACt2	reverse	pc	cplx_HETEROTETRAMER_SLC16A1_BSG_pc(328323.8217407791);cplx_HETEROTETRAMER_SLC16A7_BSG_pc(323859.90322865616);cplx_HETEROTETRAMER_SLC16A1_EMB_pc(314631.65941146784);cplx_HETEROTETRAMER_SLC16A7_EMB_pc(310103.29815590964);cplx_HOMODIMER_SLC16A1_pc(212883.43219428844);cplx_HOMODIMER_SLC16A7_pc(207716.67414451134)	328323.8217407791;323859.90322865616;314631.65941146784;310103.29815590964;212883.43219428844;207716.67414451134	234000.0
enzyme_PYRt2_pc	enzyme_PYRt2	cplx_HETEROTETRAMER_SLC16A1_BSG_pc;cplx_HETEROTETRAMER_SLC16A7_BSG_pc;cplx_HETEROTETRAMER_SLC16A1_EMB_pc;cplx_HETEROTETRAMER_SLC16A7_EMB_pc;cplx_HOMODIMER_SLC16A1_pc;cplx_HOMODIMER_SLC16A7_pc	PYRt2	forward	pc	cplx_HETEROTETRAMER_SLC16A1_BSG_pc(328323.8217407791);cplx_HETEROTETRAMER_SLC16A7_BSG_pc(323859.90322865616);cplx_HETEROTETRAMER_SLC16A1_EMB_pc(314631.65941146784);cplx_HETEROTETRAMER_SLC16A7_EMB_pc(310103.29815590964);cplx_HOMODIMER_SLC16A1_pc(212883.43219428844);cplx_HOMODIMER_SLC16A7_pc(207716.67414451134)	328323.8217407791;323859.90322865616;314631.65941146784;310103.29815590964;212883.43219428844;207716.67414451134	234000.0
enzyme_PYRt2_rev_pc	enzyme_PYRt2_rev	cplx_HETEROTETRAMER_SLC16A1_BSG_pc;cplx_HETEROTETRAMER_SLC16A7_BSG_pc;cplx_HETEROTETRAMER_SLC16A1_EMB_pc;cplx_HETEROTETRAMER_SLC16A7_EMB_pc;cplx_HOMODIMER_SLC16A1_pc;cplx_HOMODIMER_SLC16A7_pc	PYRt2	reverse	pc	cplx_HETEROTETRAMER_SLC16A1_BSG_pc(328323.8217407791);cplx_HETEROTETRAMER_SLC16A7_BSG_pc(323859.90322865616);cplx_HETEROTETRAMER_SLC16A1_EMB_pc(314631.65941146784);cplx_HETEROTETRAMER_SLC16A7_EMB_pc(310103.29815590964);cplx_HOMODIMER_SLC16A1_pc(212883.43219428844);cplx_HOMODIMER_SLC16A7_pc(207716.67414451134)	328323.8217407791;323859.90322865616;314631.65941146784;310103.29815590964;212883.43219428844;207716.67414451134	234000.0
