enzyme	enzyme_keff	reactions	direction
enzyme_1SGTH2OHE1ABCte_fwd	234000.0	1SGTH2OHE1ABCte	1sgth2hoxe1_c + atp_c + h2o_c --> 1sgth2hoxe1_e + adp_c + h_c + pi_c
enzyme_1SGTH2OHE1ABCte_rev	234000.0	1SGTH2OHE1ABCte	1sgth2hoxe1_c + atp_c + h2o_c <-- 1sgth2hoxe1_e + adp_c + h_c + pi_c
enzyme_1SGTH2OHE2ABCte_fwd	234000.0	1SGTH2OHE2ABCte	1sgth2hoxe2_c + atp_c + h2o_c --> 1sgth2hoxe2_e + adp_c + h_c + pi_c
enzyme_1SGTH2OHE2ABCte_rev	234000.0	1SGTH2OHE2ABCte	1sgth2hoxe2_c + atp_c + h2o_c <-- 1sgth2hoxe2_e + adp_c + h_c + pi_c
enzyme_23CGAMPABCte_fwd	234000.0	23CGAMPABCte	23cgamp_c + atp_c + h2o_c --> 23cgamp_e + adp_c + h_c + pi_c
enzyme_23CGAMPABCte_rev	234000.0	23CGAMPABCte	23cgamp_c + atp_c + h2o_c <-- 23cgamp_e + adp_c + h_c + pi_c
enzyme_23CGAMP_AICARtex_fwd	234000.0	23CGAMP_AICARtex	23cgamp_e + aicar_c --> 23cgamp_c + aicar_e
enzyme_23CGAMP_AICARtex_rev	234000.0	23CGAMP_AICARtex	23cgamp_e + aicar_c <-- 23cgamp_c + aicar_e
enzyme_23CGAMP_OHtex_fwd	234000.0	23CGAMP_OHtex	23cgamp_e + oh1_c --> 23cgamp_c + oh1_e
enzyme_23CGAMP_OHtex_rev	234000.0	23CGAMP_OHtex	23cgamp_e + oh1_c <-- 23cgamp_c + oh1_e
enzyme_23CGAMP_THMMPtex_fwd	234000.0	23CGAMP_THMMPtex	23cgamp_e + thmmp_c --> 23cgamp_c + thmmp_e
enzyme_23CGAMP_THMMPtex_rev	234000.0	23CGAMP_THMMPtex	23cgamp_e + thmmp_c <-- 23cgamp_c + thmmp_e
enzyme_23E1QN1GST_fwd	234000.0	23E1QN1GST	estrone23qn_c + gthrd_c --> 1sgth2hoxe1_c
enzyme_23E1QN1GST_rev	234000.0	23E1QN1GST	estrone23qn_c + gthrd_c <-- 1sgth2hoxe1_c
enzyme_23E1QN4GST_fwd	234000.0	23E1QN4GST	estrone23qn_c + gthrd_c --> 4sgth2hoxe1_c
enzyme_23E1QN4GST_rev	234000.0	23E1QN4GST	estrone23qn_c + gthrd_c <-- 4sgth2hoxe1_c
enzyme_23E2QN1GST_fwd	234000.0	23E2QN1GST	estradiol23qn_c + gthrd_c --> 1sgth2hoxe2_c
enzyme_23E2QN1GST_rev	234000.0	23E2QN1GST	estradiol23qn_c + gthrd_c <-- 1sgth2hoxe2_c
enzyme_23E2QN4GST_fwd	234000.0	23E2QN4GST	estradiol23qn_c + gthrd_c --> 4sgth2hoxe2_c
enzyme_23E2QN4GST_rev	234000.0	23E2QN4GST	estradiol23qn_c + gthrd_c <-- 4sgth2hoxe2_c
enzyme_2ABUTGLYDP_fwd	234000.0	2ABUTGLYDP	2abutgly_c + h2o_c --> 2abut_c + gly_c
enzyme_2ABUTGLYDP_rev	234000.0	2ABUTGLYDP	2abutgly_c + h2o_c <-- 2abut_c + gly_c
enzyme_2ABUTTA_fwd	234000.0	2ABUTTA	2abut_c + akg_c --> 2obut_c + glu__L_c
enzyme_2ABUTTA_rev	234000.0	2ABUTTA	2abut_c + akg_c <-- 2obut_c + glu__L_c
enzyme_2ABUTtec_fwd	234000.0	2ABUTtec	2abut_c --> 2abut_e
enzyme_2ABUTtec_rev	234000.0	2ABUTtec	2abut_c <-- 2abut_e
enzyme_2DADNt_fwd	234000.0	2DADNt	2dadn_c --> 2dadn_e
enzyme_2DADNt_rev	234000.0	2DADNt	2dadn_c <-- 2dadn_e
enzyme_2DGSNt_fwd	234000.0	2DGSNt	2dgsn_c --> 2dgsn_e
enzyme_2DGSNt_rev	234000.0	2DGSNt	2dgsn_c <-- 2dgsn_e
enzyme_2DINSt_fwd	234000.0	2DINSt	2dins_c --> 2dins_e
enzyme_2DINSt_rev	234000.0	2DINSt	2dins_c <-- 2dins_e
enzyme_2DURIt_fwd	234000.0	2DURIt	2duri_c --> 2duri_e
enzyme_2DURIt_rev	234000.0	2DURIt	2duri_c <-- 2duri_e
enzyme_2HBO_fwd	234000.0	2HBO	2hb_c + nad_c --> 2obut_c + h_c + nadh_c
enzyme_2HBO_rev	234000.0	2HBO	2hb_c + nad_c <-- 2obut_c + h_c + nadh_c
enzyme_2HB_5OXPROtex_fwd	234000.0	2HB_5OXPROtex	2hb_c + 5oxpro_e --> 2hb_e + 5oxpro_c
enzyme_2HB_5OXPROtex_rev	234000.0	2HB_5OXPROtex	2hb_c + 5oxpro_e <-- 2hb_e + 5oxpro_c
enzyme_2HB_ACACtex_fwd	234000.0	2HB_ACACtex	2hb_c + acac_e --> 2hb_e + acac_c
enzyme_2HB_ACACtex_rev	234000.0	2HB_ACACtex	2hb_c + acac_e <-- 2hb_e + acac_c
enzyme_2HB_ACtex_fwd	234000.0	2HB_ACtex	2hb_c + ac_e --> 2hb_e + ac_c
enzyme_2HB_ACtex_rev	234000.0	2HB_ACtex	2hb_c + ac_e <-- 2hb_e + ac_c
enzyme_2HB_BUTtex_fwd	234000.0	2HB_BUTtex	2hb_c + but_e --> 2hb_e + but_c
enzyme_2HB_BUTtex_rev	234000.0	2HB_BUTtex	2hb_c + but_e <-- 2hb_e + but_c
enzyme_2HB_DLACtex_fwd	234000.0	2HB_DLACtex	2hb_c + lac__D_e --> 2hb_e + lac__D_c
enzyme_2HB_DLACtex_rev	234000.0	2HB_DLACtex	2hb_c + lac__D_e <-- 2hb_e + lac__D_c
enzyme_2HB_GLYCLTtex_fwd	234000.0	2HB_GLYCLTtex	2hb_c + glyclt_e --> 2hb_e + glyclt_c
enzyme_2HB_GLYCLTtex_rev	234000.0	2HB_GLYCLTtex	2hb_c + glyclt_e <-- 2hb_e + glyclt_c
enzyme_2HB_PPAtex_fwd	234000.0	2HB_PPAtex	2hb_c + ppa_e --> 2hb_e + ppa_c
enzyme_2HB_PPAtex_rev	234000.0	2HB_PPAtex	2hb_c + ppa_e <-- 2hb_e + ppa_c
enzyme_2HBt2_fwd	234000.0	2HBt2	2hb_c + h_c --> 2hb_e + h_e
enzyme_2HBt2_rev	234000.0	2HBt2	2hb_c + h_c <-- 2hb_e + h_e
enzyme_2IMBUTDA_fwd	234000.0	2IMBUTDA	2ibut_c + h2o_c --> 2obut_c + nh4_c
enzyme_2IMBUTDA_rev	234000.0	2IMBUTDA	2ibut_c + h2o_c <-- 2obut_c + nh4_c
enzyme_2IMPPADA_fwd	234000.0	2IMPPADA	2imppa_c + h2o_c --> nh4_c + pyr_c
enzyme_2IMPPADA_rev	234000.0	2IMPPADA	2imppa_c + h2o_c <-- nh4_c + pyr_c
enzyme_2LACK_L_fwd	234000.0	2LACK_L	atp_c + lac__L_c --> 2plac__L_c + adp_c + h_c
enzyme_2LACK_L_rev	234000.0	2LACK_L	atp_c + lac__L_c <-- 2plac__L_c + adp_c + h_c
enzyme_2LACP_L_fwd	234000.0	2LACP_L	2plac__L_c + h2o_c --> lac__L_c + pi_c
enzyme_2LACP_L_rev	234000.0	2LACP_L	2plac__L_c + h2o_c <-- lac__L_c + pi_c
enzyme_2OBUT_2HBtex_fwd	234000.0	2OBUT_2HBtex	2hb_e + 2obut_c --> 2hb_c + 2obut_e
