enzymes	enzyme	complexes	reactions	direction	compartment	complexes_keff	complex_keff	enzyme_keff
enzyme_VATPASEte_fwd_pc	enzyme_VATPASEte_fwd	cplx_COMPLEX_ATP6V0V1_pc	VATPASEte	forward	pc	cplx_COMPLEX_ATP6V0V1_pc(1219061.8090801565)	1219061.8090801565	234000.0
enzyme_VATPASEte_rev_pc	enzyme_VATPASEte_rev	cplx_COMPLEX_ATP6V0V1_pc	VATPASEte	reverse	pc	cplx_COMPLEX_ATP6V0V1_pc(0)	0	234000.0
enzyme_PROTKTnAgGALT_fwd_pc	enzyme_PROTKTnAgGALT_fwd	cplx_COMPLEX_C1GALT1_C1GALT1C1_pc	PROTKTnAgGALT	forward	pc	cplx_COMPLEX_C1GALT1_C1GALT1C1_pc(234422.7830453871)	234422.7830453871	234000.0
enzyme_PROTKTnAgGALT_rev_pc	enzyme_PROTKTnAgGALT_rev	cplx_COMPLEX_C1GALT1_C1GALT1C1_pc	PROTKTnAgGALT	reverse	pc	cplx_COMPLEX_C1GALT1_C1GALT1C1_pc(0)	0	234000.0
enzyme_PROTSTnAgGALT_fwd_pc	enzyme_PROTSTnAgGALT_fwd	cplx_COMPLEX_C1GALT1_C1GALT1C1_pc	PROTSTnAgGALT	forward	pc	cplx_COMPLEX_C1GALT1_C1GALT1C1_pc(234422.7830453871)	234422.7830453871	234000.0
enzyme_PROTSTnAgGALT_rev_pc	enzyme_PROTSTnAgGALT_rev	cplx_COMPLEX_C1GALT1_C1GALT1C1_pc	PROTSTnAgGALT	reverse	pc	cplx_COMPLEX_C1GALT1_C1GALT1C1_pc(0)	0	234000.0
enzyme_AVITE1RCYTB5R_fwd_pc	enzyme_AVITE1RCYTB5R_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc	AVITE1RCYTB5R	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(148010.17458570594);cplx_COMPLEX_CYB5R3_B5B_pc(152859.8773173559)	148010.17458570594;152859.8773173559	234000.0
enzyme_AVITE1RCYTB5R_rev_pc	enzyme_AVITE1RCYTB5R_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc	AVITE1RCYTB5R	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0)	0;0	234000.0
enzyme_CYTB5ASCBR_fwd_pc	enzyme_CYTB5ASCBR_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc	CYTB5ASCBR	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(148010.17458570594);cplx_COMPLEX_CYB5R3_B5B_pc(152859.8773173559)	148010.17458570594;152859.8773173559	234000.0
enzyme_CYTB5ASCBR_rev_pc	enzyme_CYTB5ASCBR_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc	CYTB5ASCBR	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0)	0;0	234000.0
enzyme_FCYTOB5OXR_fwd_pc	enzyme_FCYTOB5OXR_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc	FCYTOB5OXR	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(148010.17458570594);cplx_COMPLEX_CYB5R3_B5B_pc(152859.8773173559)	148010.17458570594;152859.8773173559	234000.0
enzyme_FCYTOB5OXR_rev_pc	enzyme_FCYTOB5OXR_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc	FCYTOB5OXR	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0)	0;0	234000.0
enzyme_ADRNCHR1ERx_fwd_pc	enzyme_ADRNCHR1ERx_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	ADRNCHR1ERx	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(148010.17458570594);cplx_COMPLEX_CYB5R3_B5B_pc(152859.8773173559);cplx_MONOMER_CYB5R3_pc(89057.60347909493)	148010.17458570594;152859.8773173559;89057.60347909493	234000.0
enzyme_ADRNCHR1ERx_rev_pc	enzyme_ADRNCHR1ERx_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	ADRNCHR1ERx	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0);cplx_MONOMER_CYB5R3_pc(0)	0;0;0	234000.0
