complex	subunits	compartment	reactions	genes	coefficients	cofactors	notes
cplx_MONOMER_A4GALT	protein_A4GALT	c	A4GALTc	A4GALT	1		ASSUMED MONOMER
cplx_MONOMER_AARS1	protein_AARS1	c	ALATRS	AARS1	1
cplx_MONOMER_AASDHPPT	protein_AASDHPPT	c	AASDHPPT	AASDHPPT	1
cplx_HOMOTETRAMER_ABCA1	protein_ABCA1	pm	PCFLOPt;PSFLOPt;SMFLOPt	ABCA1	4
cplx_MONOMER_ABCA7	protein_ABCA7	pm	PCFLOPt;PEFLOPt;PSFLOPt;SMFLOPt	ABCA7	1		ASSUMED MONOMER
cplx_MONOMER_ABCB1	protein_ABCB1	pm	PCFLOPt;PEFLOPt;SMFLOPt;PRGNABCte;PRGNSABCte	ABCB1	1		ASSUMED MONOMER
cplx_MONOMER_ABCB4	protein_ABCB4	pm	PCFLOPt;PEFLOPt;SMFLOPt	ABCB4	1		ASSUMED MONOMER
cplx_HOMODIMER_ABCB6	protein_ABCB6	pm	CPPP1ABCte;CPPP3ABCte;CPPPG3ABCte;FE2PHEMEABCte;HEMATINABCte;PPP9ABCte;UPP1ABCte;UPP3ABCte	ABCB6	2
cplx_MONOMER_ABCC1	protein_ABCC1	pm	PCFLOPt;SMFLOPt;GTHOXABCte;1SGTH2OHE1ABCte;1SGTH2OHE2ABCte;23CGAMPABCte;2SGTH4OHE1ABCte;2SGTH4OHE2ABCte;4GTH56DHIABCte;4SGTH2OHE1ABCte;4SGTH2OHE2ABCte;56DHIGTHABCte;ADRNLGTHABCte;ARSSELDIGTHABCte;DOPAGTHABCte;DPAMGTHABCte;GTHNOABCte;LADRNCHRGTHABCte;LDPCHRGTHABCte;LNRPPHRCHRGTHABCte;NRPPHRGTHABCte;PGA1GTHABC;PGA2GTHABC;PGA3GTHABC;SPHS1PABCte;E217BGLCRABCte	ABCC1	1		ASSUMED MONOMER
cplx_MONOMER_ABCC4	protein_ABCC4	pm	CAMPABCte;CGMPABCte;GTHOXABCte;1SGTH2OHE1ABCte;1SGTH2OHE2ABCte;2SGTH4OHE1ABCte;2SGTH4OHE2ABCte;4GTH56DHIABCte;4SGTH2OHE1ABCte;4SGTH2OHE2ABCte;56DHIGTHABCte;5FTHFABCte;5MTHFABCte;ADRNLGTHABCte;ARSSELDIGTHABCte;CIMPABCte;DOPAGTHABCte;DPAMGTHABCte;GTHNOABCte;LADRNCHRGTHABCte;LDPCHRGTHABCte;LEUKTRB4ABCte;LEUKTRB5ABCte;LEUKTRC4ABCte;LEUKTRC5ABCte;LNRPPHRCHRGTHABCte;NRPPHRGTHABCte;PGA1GTHABC;PGA2GTHABC;PGA3GTHABC;PGE1ABCte;PGE2ABCte;PGE3ABCte;PGF1ABCte;PGF2ABCte;PGF3ABCte;URATEABCte;5FLURAABCte;THGMPABCte;THIMPABCte;THXMPABCte;BILRUBABCte;CHOLATEGTHABCte;DGCHOGTHABCte;DHEASABCte;E217BGLCRABCte;GCHOGTHABCte;GDCHOGTHABCte;GUDCHOGTHABCte;TCHOGTHABCte;TDCHOGTHABCte;TUDCHOGTHABCte	ABCC4	1		ASSUMED MONOMER
cplx_MONOMER_ABCC5	protein_ABCC5	pm	CAMPABCte;CGMPABCte;CIMPABCte;SAICAABCte;5FLURAABCte;THGMPABCte;THIMPABCte;THXMPABCte;LLACPHEABCte	ABCC5	1		ASSUMED MONOMER
