complex	compartment	subunits	genes	reactions	coefficients	cofactors	notes
cplx_COMPLEX_Agt_Anpep	c	protein_Agt;protein_Anpep	Agt;Anpep	ANGIO3ARGH	1;2
cplx_COMPLEX_Agt_Dnpep	c	protein_Agt;protein_Dnpep	Agt;Dnpep	ANGIO2ASPH	1;12
cplx_COMPLEX_Agt_Dpp3	c	protein_Agt;protein_Dpp3	Agt;Dpp3	ANGIO2DDP;ANGIO3ARGH;ANGIO4DDP	1;1
cplx_COMPLEX_Agt_Prep	c	protein_Agt;protein_Prep	Agt;Prep	ANGIO58PEP	1;1
cplx_COMPLEX_Agt_Thop1	c	protein_Agt;protein_Thop1	Agt;Thop1	ANGIO1THOP	1;1
cplx_COMPLEX_Atp6v0v1	pm	protein_Atp6ap1;protein_Atp6ap2;protein_Atp6v0a1;protein_Atp6v0b;protein_Atp6v0c;protein_Atp6v0d1;protein_Atp6v0e;protein_Atp6v1a;protein_Atp6v1b2;protein_Atp6v1c1;protein_Atp6v1d;protein_Atp6v1e1;protein_Atp6v1f;protein_Atp6v1g1;protein_Atp6v1h	Atp6ap1;Atp6ap2;Atp6v0a1;Atp6v0b;Atp6v0c;Atp6v0d1;Atp6v0e;Atp6v1a;Atp6v1b2;Atp6v1c1;Atp6v1d;Atp6v1e1;Atp6v1f;Atp6v1g1;Atp6v1h	VATPASEte	1;1;1;1;9;1;1;3;3;1;1;3;1;3;1
cplx_COMPLEX_C1galt1_C1galt1c1	c	protein_C1galt1;protein_C1galt1c1	C1galt1;C1galt1c1	PROTKTnAgGALT;PROTSTnAgGALT	2;1
cplx_COMPLEX_Cyb5r3_B5a	c	protein_Cyb5a;protein_Cyb5r3	Cyb5a;Cyb5r3	CYTB5ASCBR;ESTRADIOL23Q1ERx;ESTRADIOL34Q1ERx;ESTRONE23Q1ERx;ESTRONE34Q1ERx;FCYTOB5OXR;ADRNCHR1ERx;ADRNLQ1ERx_L;DOPAQ1ERx_L;DPAMCHR1ERx;DPAMQ1ERx_L;DPCHR1ERx_L;IND56Q1ERx;NRPPHRCHR1ERx;NRPPHRQ1ERx_L;AVITE1RCYTB5R	2;1
cplx_COMPLEX_Cyb5r3_B5b	c	protein_Cyb5b;protein_Cyb5r3	Cyb5b;Cyb5r3	CYTB5ASCBR;ESTRADIOL23Q1ERx;ESTRADIOL34Q1ERx;ESTRONE23Q1ERx;ESTRONE34Q1ERx;FCYTOB5OXR;ADRNCHR1ERx;ADRNLQ1ERx_L;DOPAQ1ERx_L;DPAMCHR1ERx;DPAMQ1ERx_L;DPCHR1ERx_L;IND56Q1ERx;NRPPHRCHR1ERx;NRPPHRQ1ERx_L;AVITE1RCYTB5R	2;1
cplx_COMPLEX_Fads1_Cyb5a	c	protein_Cyb5a;protein_Fads1	Cyb5a;Fads1	CYTBFADSD5_20_8Z11Z14Z;CYTBFADSD5_20_8Z11Z14Z17Z	2;1
cplx_COMPLEX_Fads1_Cyb5b	c	protein_Cyb5b;protein_Fads1	Cyb5b;Fads1	CYTBFADSD5_20_8Z11Z14Z;CYTBFADSD5_20_8Z11Z14Z17Z	2;1
cplx_COMPLEX_Fads2_Cyb5a	c	protein_Cyb5a;protein_Fads2	Cyb5a;Fads2	CYTBFADSD6_18_9Z;CYTBFADSD6_18_9Z12Z;CYTBFADSD6_18_9Z12Z15Z;CYTBFADSD6_20_11Z14Z;CYTBFADSD6_20_11Z14Z17Z	2;1
cplx_COMPLEX_Fads2_Cyb5b	c	protein_Cyb5b;protein_Fads2	Cyb5b;Fads2	CYTBFADSD6_18_9Z;CYTBFADSD6_18_9Z12Z;CYTBFADSD6_18_9Z12Z15Z;CYTBFADSD6_20_11Z14Z;CYTBFADSD6_20_11Z14Z17Z	2;1
cplx_COMPLEX_Hba_a1_Cyb5a	c	protein_Cyb5a;protein_Hba_a1	Cyb5a;Hba_a1	METHBCYTBR	2;1
cplx_COMPLEX_Hba_a1_Cyb5b	c	protein_Cyb5b;protein_Hba_a1	Cyb5b;Hba_a1	METHBCYTBR	2;1
cplx_COMPLEX_Hba_x_Cyb5a	c	protein_Cyb5a;protein_Hba_x	Cyb5a;Hba_x	METHBCYTBR	2;1
cplx_COMPLEX_Hba_x_Cyb5b	c	protein_Cyb5b;protein_Hba_x	Cyb5b;Hba_x	METHBCYTBR	2;1
cplx_COMPLEX_Hbb_b1_Cyb5a	c	protein_Cyb5a;protein_Hbb_b1	Cyb5a;Hbb_b1	METHBCYTBR	2;1
cplx_COMPLEX_Hbb_b1_Cyb5b	c	protein_Cyb5b;protein_Hbb_b1	Cyb5b;Hbb_b1	METHBCYTBR	2;1
cplx_COMPLEX_Hbb_b2_Cyb5a	c	protein_Cyb5a;protein_Hbb_b2	Cyb5a;Hbb_b2	METHBCYTBR	2;1
cplx_COMPLEX_Hbb_b2_Cyb5b	c	protein_Cyb5b;protein_Hbb_b2	Cyb5b;Hbb_b2	METHBCYTBR	2;1
cplx_COMPLEX_Hbb_bh0_Cyb5a	c	protein_Cyb5a;protein_Hbb_bh0	Cyb5a;Hbb_bh0	METHBCYTBR	2;1
cplx_COMPLEX_Hbb_bh0_Cyb5b	c	protein_Cyb5b;protein_Hbb_bh0	Cyb5b;Hbb_bh0	METHBCYTBR	2;1
cplx_COMPLEX_Hbb_bh1_Cyb5a	c	protein_Cyb5a;protein_Hbb_bh1	Cyb5a;Hbb_bh1	METHBCYTBR	2;1
cplx_COMPLEX_Hbb_bh1_Cyb5b	c	protein_Cyb5b;protein_Hbb_bh1	Cyb5b;Hbb_bh1	METHBCYTBR	2;1
cplx_COMPLEX_Hbb_y_Cyb5a	c	protein_Cyb5a;protein_Hbb_y	Cyb5a;Hbb_y	METHBCYTBR	2;1
cplx_COMPLEX_Hbb_y_Cyb5b	c	protein_Cyb5b;protein_Hbb_y	Cyb5b;Hbb_y	METHBCYTBR	2;1
cplx_COMPLEX_Mpst_Txn1	c	protein_Mpst;protein_Txn1	Mpst;Txn1	MCPST3	1;2
cplx_COMPLEX_Mpst_Txndc17	c	protein_Mpst;protein_Txndc17	Mpst;Txndc17	MCPST3	1;2
cplx_COMPLEX_Mpst_Txnl1	c	protein_Mpst;protein_Txnl1	Mpst;Txnl1	MCPST3	1;2
cplx_COMPLEX_Pik3c3_Atg14	c	protein_Atg14;protein_Becn1;protein_Pik3c3;protein_Pik3r4	Atg14;Becn1;Pik3c3;Pik3r4	PI3K	1;1;1;1
cplx_COMPLEX_Ppme1_Ppp2ca	c	protein_Ppme1;protein_Ppp2ca	Ppme1;Ppp2ca	PPMEPP2A	1;1
cplx_COMPLEX_Ppme1_Ppp2cb	c	protein_Ppme1;protein_Ppp2cb	Ppme1;Ppp2cb	PPMEPP2A	1;1
cplx_COMPLEX_Prdx1_Srxn1	c	protein_Prdx1;protein_Srxn1	Prdx1;Srxn1	SRDX1GTHRD	2;1
cplx_COMPLEX_Prdx1_Txn1	c	protein_Prdx1;protein_Txn1	Prdx1;Txn1	PRDX2TRDXRD	2;2
cplx_COMPLEX_Prdx1_Txnl1	c	protein_Prdx1;protein_Txnl1	Prdx1;Txnl1	PRDX2TRDXRD	2;2
cplx_COMPLEX_Prdx2_Srxn1	c	protein_Prdx2;protein_Srxn1	Prdx2;Srxn1	SRDX1GTHRD	2;1
cplx_COMPLEX_Prdx2_Txn1	c	protein_Prdx2;protein_Txn1	Prdx2;Txn1	PRDX2TRDXRD	2;2
cplx_COMPLEX_Prdx2_Txn1l	c	protein_Prdx2;protein_Txnl1	Prdx2;Txnl1	PRDX2TRDXRD	2;2
cplx_COMPLEX_Prdx4_Srxn1	c	protein_Prdx4;protein_Srxn1	Prdx4;Srxn1	SRDX1GTHRD	2;1
cplx_COMPLEX_Prdx4_Txn1	c	protein_Prdx4;protein_Txn1	Prdx4;Txn1	PRDX2TRDXRD	2;2
cplx_COMPLEX_Prdx4_Txn1l	c	protein_Prdx4;protein_Txnl1	Prdx4;Txnl1	PRDX2TRDXRD	2;2
