enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_15KPGE1Ry_fwd	cplx_HOMODIMER_PTGR1	167112.62432858316	pc	15KPGE1Ry	15kprostge1_c + h_c + nadph_c --> dh15kprostge1_c + nadp_c
enzyme_15KPGE1Ry_rev	cplx_HOMODIMER_PTGR1	0	pc	15KPGE1Ry	15kprostge1_c + h_c + nadph_c <-- dh15kprostge1_c + nadp_c
enzyme_15KPGE2Ry_fwd	cplx_HOMODIMER_PTGR1	167112.62432858316	pc	15KPGE2Ry	15kprostge2_c + h_c + nadph_c --> dh15kprostge2_c + nadp_c
enzyme_15KPGE2Ry_rev	cplx_HOMODIMER_PTGR1	0	pc	15KPGE2Ry	15kprostge2_c + h_c + nadph_c <-- dh15kprostge2_c + nadp_c
enzyme_15KPGE3Ry_fwd	cplx_HOMODIMER_PTGR1	167112.62432858316	pc	15KPGE3Ry	15kprostge3_c + h_c + nadph_c --> dh15kprostge3_c + nadp_c
enzyme_15KPGE3Ry_rev	cplx_HOMODIMER_PTGR1	0	pc	15KPGE3Ry	15kprostge3_c + h_c + nadph_c <-- dh15kprostge3_c + nadp_c
enzyme_15KPGF1Ry_fwd	cplx_HOMODIMER_PTGR1	167112.62432858316	pc	15KPGF1Ry	15kprostgf1_c + h_c + nadph_c --> dh15kprostgf1_c + nadp_c
enzyme_15KPGF1Ry_rev	cplx_HOMODIMER_PTGR1	0	pc	15KPGF1Ry	15kprostgf1_c + h_c + nadph_c <-- dh15kprostgf1_c + nadp_c
enzyme_15KPGF2Ry_fwd	cplx_HOMODIMER_PTGR1	167112.62432858316	pc	15KPGF2Ry	15kprostgf2_c + h_c + nadph_c --> dh15kprostgf2_c + nadp_c
enzyme_15KPGF2Ry_rev	cplx_HOMODIMER_PTGR1	0	pc	15KPGF2Ry	15kprostgf2_c + h_c + nadph_c <-- dh15kprostgf2_c + nadp_c
enzyme_15KPGF3Ry_fwd	cplx_HOMODIMER_PTGR1	167112.62432858316	pc	15KPGF3Ry	15kprostgf3_c + h_c + nadph_c --> dh15kprostgf3_c + nadp_c
enzyme_15KPGF3Ry_rev	cplx_HOMODIMER_PTGR1	0	pc	15KPGF3Ry	15kprostgf3_c + h_c + nadph_c <-- dh15kprostgf3_c + nadp_c
enzyme_1SGTH2OHE1ABCte_fwd	cplx_MONOMER_ABCC1	321385.06593731063	pc	1SGTH2OHE1ABCte	1sgth2hoxe1_c + atp_c + h2o_c --> 1sgth2hoxe1_e + adp_c + h_c + pi_c
enzyme_1SGTH2OHE1ABCte_fwd	cplx_MONOMER_ABCC4	289878.88732442656	pc	1SGTH2OHE1ABCte	1sgth2hoxe1_c + atp_c + h2o_c --> 1sgth2hoxe1_e + adp_c + h_c + pi_c
enzyme_1SGTH2OHE1ABCte_fwd	cplx_MONOMER_RALBP1	174570.38645527256	pc	1SGTH2OHE1ABCte	1sgth2hoxe1_c + atp_c + h2o_c --> 1sgth2hoxe1_e + adp_c + h_c + pi_c
enzyme_1SGTH2OHE1ABCte_rev	cplx_MONOMER_ABCC1	0	pc	1SGTH2OHE1ABCte	1sgth2hoxe1_c + atp_c + h2o_c <-- 1sgth2hoxe1_e + adp_c + h_c + pi_c
enzyme_1SGTH2OHE1ABCte_rev	cplx_MONOMER_ABCC4	0	pc	1SGTH2OHE1ABCte	1sgth2hoxe1_c + atp_c + h2o_c <-- 1sgth2hoxe1_e + adp_c + h_c + pi_c
enzyme_1SGTH2OHE1ABCte_rev	cplx_MONOMER_RALBP1	0	pc	1SGTH2OHE1ABCte	1sgth2hoxe1_c + atp_c + h2o_c <-- 1sgth2hoxe1_e + adp_c + h_c + pi_c
enzyme_1SGTH2OHE2ABCte_fwd	cplx_MONOMER_ABCC1	321385.06593731063	pc	1SGTH2OHE2ABCte	1sgth2hoxe2_c + atp_c + h2o_c --> 1sgth2hoxe2_e + adp_c + h_c + pi_c
enzyme_1SGTH2OHE2ABCte_fwd	cplx_MONOMER_ABCC4	289878.88732442656	pc	1SGTH2OHE2ABCte	1sgth2hoxe2_c + atp_c + h2o_c --> 1sgth2hoxe2_e + adp_c + h_c + pi_c
enzyme_1SGTH2OHE2ABCte_fwd	cplx_MONOMER_RALBP1	174570.38645527256	pc	1SGTH2OHE2ABCte	1sgth2hoxe2_c + atp_c + h2o_c --> 1sgth2hoxe2_e + adp_c + h_c + pi_c
enzyme_1SGTH2OHE2ABCte_rev	cplx_MONOMER_ABCC1	0	pc	1SGTH2OHE2ABCte	1sgth2hoxe2_c + atp_c + h2o_c <-- 1sgth2hoxe2_e + adp_c + h_c + pi_c
enzyme_1SGTH2OHE2ABCte_rev	cplx_MONOMER_ABCC4	0	pc	1SGTH2OHE2ABCte	1sgth2hoxe2_c + atp_c + h2o_c <-- 1sgth2hoxe2_e + adp_c + h_c + pi_c
enzyme_1SGTH2OHE2ABCte_rev	cplx_MONOMER_RALBP1	0	pc	1SGTH2OHE2ABCte	1sgth2hoxe2_c + atp_c + h2o_c <-- 1sgth2hoxe2_e + adp_c + h_c + pi_c
enzyme_23CGAMPABCte_fwd	cplx_MONOMER_ABCC1	321385.06593731063	pc	23CGAMPABCte	23cgamp_c + atp_c + h2o_c --> 23cgamp_e + adp_c + h_c + pi_c
