reactions	name	reaction	subsystem	type	lower_bound	upper_bound	unit	references	notes	conversions
EX_for_e	Formate exchange	for_e <=>	Pseudoreactions	exchange	-217360	217360	mmol / (hr * L cells)	pubmed:10028241	Rapid exchange of formate mediated by band 3. Assume transport is symmetric. Calculated volume ~90 fL. Area of RBC used for calculations: 1.43 * 1e-6 cm^2. Vmax = 3.8 (0.4) * 1e-9 mol / cm^2 / s	"3.8 * 1e-9 mol / cm^2 / s
* (1.43 * 1e-6 cm^2 / cell)
* (1 cell / 90e-15 L cells)
* (1e3 mmol / 1 mol)
* (3600 s / 1 hr)"
EX_uri_e	Uridine exchange	uri_e <=> 	Pseudoreactions	exchange	-127.8	127.8	mmol / (hr * L cells)	pubmed:6744292	"Accelerated efflux of uridine in human erythrocytes at 37C: Vmax = 213 pmol / min / 1e6 cells
Assume symmetric transport."	"213 pmol / min / 1e6 cells
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1 cell / 100e-15 L cell)"
EX_phe__L_e	L-phenylalanine exchange	phe__L_e <=>	Pseudoreactions	exchange	-64.53	64.53	mmol / (hr * L cells)	pubmed:14154468	"Uptake experiment at 37 C. Mean (SD) Vmax = 1.5 mmol / (L cell water * min).
Assume symmetric transport"	"1.5 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)"
EX_val__L_e	L-valine exchange	val__L_e <=>	Pseudoreactions	exchange	-43.02	43.02	mmol / (hr * L cells)	pubmed:14154468	"Uptake experiment at 37 C. Mean (SD) Vmax = 1.0 (0.28) mmol / (L cell water * min)
Assume symmetric transport."	"1.0 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)"
EX_met__L_e	L-methionine exchange	met__L_e <=>	Pseudoreactions	exchange	-24.0912	24.0912	mmol / (hr * L cells)	pubmed:14154468	"Uptake experiment at 37 C. Mean (SD) Vmax = 0.56 (0.13) mmol / (L cell water * min)
Assume symmetric transport"	"0.56 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)"
EX_leu__L_e	L-leucine exchange	leu__L_e <=>	Pseudoreactions	exchange	-22.3704	21.98322	mmol / (hr * L cells)	pubmed:14154468	"Uptake experiment at 37 C. Mean (SD) Vmax = 0.52 (0.15) mmol / (L cell water * min)
Efflux of L-leucine affected by presence of amino acids, initial leucine concentration 0.83 mM: Efflux, L-methionine added at 20mM: 0.284 mmol / (L cell water * min)"	"0.52 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)
0.511 mmol / (L cell water * min)
* (60 min / 1)
* (0.717 L water / L cell)"
EX_selni_e	selenite exchange	selni_e <=> 	Pseudoreactions	exchange	-18.711	DEFAULT	mmol / (hr * L cells)	pubmed:32652143	"Selenite influx through SLC4A1:
Vmax = 6237 pmol / min @ 37 C. Human RBCs at a 10% hematocrit in 200 µl "	"6237 pmol / (min * (200 * 0.1) uL cells)
* (1 mmol / 1e9 pmol)
* (60 min / 1 hr)
* (1e6 uL cells / 1 L cells)"
EX_trp__L_e	L-tryptophan exchange	trp__L_e <=> 	Pseudoreactions	exchange	-11.52936	7.78662	mmol / (hr * L cells)	pubmed:6109287;pubmed:4052418	"Human erythrocytes at 37C, influx of L-tryptophan initial rate Mean (SD) Vmax =0.268 (0.108) mmol/l cell water per min
Human erythrocytes at 37C, Efflux of L-tryptophan initial rate mean (SE), n=7. Containing no amino acids: Vmax = 180 umol / (L cell water * min)"	"81 umol / (L cell water * min)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)
* (0.717 L cell water / L cell)
180 umol / (L cell water * min)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)
* (0.717 L cell water / L cell)"
EX_snocys__L_e	S-Nitroso-L-cysteine exchange	snocys__L_e <=> 	Pseudoreactions	exchange	-5.76	5.76	mmol / (hr * L cells)	pubmed:16023102	"Initial formation rates of GSNO and L -cysteine in the cytosol of washed RBC (1.5 ml) after 3-min incubation with di_erent concentrations of L -SNC (0–2 mM) in physiological saline (1.5 ml).
Vmax with regards to cytosolic cysteine were estimated graphically. L-cysteine formation Vmax = 95 uM / min.
Assume transport corresponds to Vmax of cysteine formation. Uptake likely through L system transport.
Assyme symmetric transport"	"96 umol / (L cells * min)
* (1 mmol / 1e3 umol)
* (60 min / 1 hr)"
EX_lys__L_e	L-lysine exchange	lys__L_e <=>	Pseudoreactions	exchange	-3.8718	DEFAULT	mmol / (hr * L cells)	pubmed:7272286;ISBN-13:9780122371509	Human erythrocyte incubated with 0.1 mM L-lysine uptake from Krebs-Ringer phosphate medium at pH 7.4 and 37 C is recorded. Vmax = 0.09 mmole/(kg cell water * min)	"0.09 mmol / (kg cell water * min)
* (60 min / 1)
* (1 kg water / 1L water)
* (0.717 L L water / L cell)"
