enzymes	enzyme	complexes	reactions	direction	compartment	complexes_keff	complex_keff	enzyme_keff
enzyme_ANGIO3ARGH_fwd_pc	enzyme_ANGIO3ARGH_fwd	cplx_COMPLEX_AGT_ANPEP_pc;cplx_COMPLEX_AGT_DPP3_pc	ANGIO3ARGH	forward	pc	cplx_COMPLEX_AGT_ANPEP_pc(452894.1130053589);cplx_COMPLEX_AGT_DPP3_pc(267914.3762876737)	452894.1130053589;267914.3762876737	234000.0
enzyme_ANGIO3ARGH_rev_pc	enzyme_ANGIO3ARGH_rev	cplx_COMPLEX_AGT_ANPEP_pc;cplx_COMPLEX_AGT_DPP3_pc	ANGIO3ARGH	reverse	pc	cplx_COMPLEX_AGT_ANPEP_pc(0);cplx_COMPLEX_AGT_DPP3_pc(0)	0;0	234000.0
enzyme_ANGIO2ASPH_fwd_pc	enzyme_ANGIO2ASPH_fwd	cplx_COMPLEX_AGT_DNPEP_pc	ANGIO2ASPH	forward	pc	cplx_COMPLEX_AGT_DNPEP_pc(915597.5158996886)	915597.5158996886	234000.0
enzyme_ANGIO2ASPH_rev_pc	enzyme_ANGIO2ASPH_rev	cplx_COMPLEX_AGT_DNPEP_pc	ANGIO2ASPH	reverse	pc	cplx_COMPLEX_AGT_DNPEP_pc(0)	0	234000.0
enzyme_ANGIO2DDP_fwd_pc	enzyme_ANGIO2DDP_fwd	cplx_COMPLEX_AGT_DPP3_pc	ANGIO2DDP	forward	pc	cplx_COMPLEX_AGT_DPP3_pc(267914.3762876737)	267914.3762876737	234000.0
enzyme_ANGIO2DDP_rev_pc	enzyme_ANGIO2DDP_rev	cplx_COMPLEX_AGT_DPP3_pc	ANGIO2DDP	reverse	pc	cplx_COMPLEX_AGT_DPP3_pc(0)	0	234000.0
enzyme_ANGIO4DDP_fwd_pc	enzyme_ANGIO4DDP_fwd	cplx_COMPLEX_AGT_DPP3_pc	ANGIO4DDP	forward	pc	cplx_COMPLEX_AGT_DPP3_pc(267914.3762876737)	267914.3762876737	234000.0
enzyme_ANGIO4DDP_rev_pc	enzyme_ANGIO4DDP_rev	cplx_COMPLEX_AGT_DPP3_pc	ANGIO4DDP	reverse	pc	cplx_COMPLEX_AGT_DPP3_pc(0)	0	234000.0
enzyme_ANGIO58PEP_fwd_pc	enzyme_ANGIO58PEP_fwd	cplx_COMPLEX_AGT_PREP_pc	ANGIO58PEP	forward	pc	cplx_COMPLEX_AGT_PREP_pc(265098.1217166631)	265098.1217166631	234000.0
enzyme_ANGIO58PEP_rev_pc	enzyme_ANGIO58PEP_rev	cplx_COMPLEX_AGT_PREP_pc	ANGIO58PEP	reverse	pc	cplx_COMPLEX_AGT_PREP_pc(0)	0	234000.0
