enzyme	compartment	enzyme_keff	reactions	direction	unit	references	notes	conversions
enzyme_ADK1	c	13680000	ADK1	amp_c + atp_c --> 2.0 adp_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"3.8 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_ADK1_rev	c	7488000	ADK1	amp_c + atp_c <-- 2.0 adp_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"2.08 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_DPGase	c	1764	DPGase	23dpg_c + h2o_c --> 3pg_c + pi_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"0.49 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_DPGase_rev	c	0	DPGase	23dpg_c + h2o_c <-- 3pg_c + pi_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model
enzyme_DPGM	c	35280	DPGM	13dpg_c --> 23dpg_c + h_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"9.8 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_DPGM_rev	c	0	DPGM	13dpg_c <-- 23dpg_c + h_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model
enzyme_ENO	c	684000	ENO	2pg_c --> h2o_c + pep_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"190 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_ENO_rev	c	180000	ENO	2pg_c <-- h2o_c + pep_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"50 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_FBA	c	244800	FBA	fdp_c --> dhap_c + g3p_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"68 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_FBA_rev	c	842400	FBA	fdp_c <-- dhap_c + g3p_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"234 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_GAPD	c	835200	GAPD	g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"232 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_GAPD_rev	c	9954000	GAPD	g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"2765 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_HEX1a	c	648000	HEX1a	atp_c + glc__aD_c --> adp_c + g6p__aD_c + h_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477274	Based on comprensive kinetic RBC model	"180  (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_HEX1a_rev	c	4176	HEX1a	atp_c + glc__aD_c <-- adp_c + g6p__aD_c + h_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477275	Based on comprensive kinetic RBC model	"1.16 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_LDH_L	c	3456000	LDH_L	h_c + nadh_c + pyr_c --> lac__L_c + nad_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"960 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_LDH_L_rev	c	734400	LDH_L	h_c + nadh_c + pyr_c <-- lac__L_c + nad_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"204 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_PFK	c	2959200	PFK	atp_c + f6p_c --> adp_c + fdp_c + h_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"822 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_PFK_rev	c	129600	PFK	atp_c + f6p_c <-- adp_c + fdp_c + h_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"36 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
