reactions	name	reaction	gene_reaction_rule	subsystem
GTHP	Glutathione peroxidase	2.0 gthrd_c + h2o2_c --> gthox_c + 2.0 h2o_c	GPX1 or GPX4	Glutathione metabolism
GTHOy	Glutathione oxidoreductase (NADPH)	gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c	GSR	Glutathione metabolism
PFK	Phosphofructokinase	atp_c + f6p_c --> adp_c + fdp_c + h_c	(PFKL and PFKM) or (PFKL and PFKP) or PFKP or PFKL or PFKM	Glycolysis / Gluconeogenesis
FBA	Fructose-bisphosphate aldolase	fdp_c <=> dhap_c + g3p_c	ALDOC or ALDOA or ALDOB	Glycolysis / Gluconeogenesis
DPGase	"2,3-bisphosphoglycerate 2-phosphatase"	23dpg_c + h2o_c --> 3pg_c + pi_c	BPGM	Glycolysis / Gluconeogenesis
DPGM	Diphosphoglyceromutase	13dpg_c <=> 23dpg_c + h_c	BPGM or PGAM1	Glycolysis / Gluconeogenesis
PGM	Phosphoglycerate mutase	3pg_c <=> 2pg_c	BPGM or PGAM1	Glycolysis / Gluconeogenesis
ENO	Enolase	2pg_c <=> h2o_c + pep_c	ENO1 or ENO2 or ENO3 or (ENO1 and ENO2) or (ENO1 and ENO3) or (ENO2 and ENO3)	Glycolysis / Gluconeogenesis
GAPD	Glyceraldehyde-3-phosphate dehydrogenase	g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c	GAPDH or GAPDHS	Glycolysis / Gluconeogenesis
PGI	Glucose-6-phosphate isomerase (beta-D-glucose 6-phosphate)	g6p_c <=> f6p_c	GPI	Glycolysis / Gluconeogenesis
HEX1	Hexokinase (beta-D-glucose:ATP)	atp_c + glc__D_c --> adp_c + g6p_c + h_c	HK3 or HK1	Glycolysis / Gluconeogenesis
LDH_L	L-lactate dehydrogenase	h_c + nadh_c + pyr_c <=> lac__L_c + nad_c	LDHB or (LDHA and LDHB) or LDHA	Glycolysis / Gluconeogenesis
