genes	ensembl	uniprot	hgnc.symbol	ncbigene
RPE	ENSG00000197713	Q96AT9	RPE	6120
RPIA	ENSG00000153574	P49247	RPIA	22934
SORD	ENSG00000140263	Q00796	SORD	6652
AKR7A2	ENSG00000053371	O43488	AKR7A2	8574
SRM	ENSG00000116649	P19623	SRM	6723
ADI1	ENSG00000182551	Q9BV57	ADI1	55256
SMS	ENSG00000102172	P52788	SMS	6611
TALDO1	ENSG00000177156	P37837	TALDO1	6888
THTPA	ENSG00000259431	Q9BU02	THTPA	79178
TKT	ENSG00000163931	P29401	TKT	7086
TPK1	ENSG00000196511	Q9H3S4	TPK1	27010
ENOPH1	ENSG00000145293	Q9UHY7	ENOPH1	58478
GNPDA1	ENSG00000113552	P46926	GNPDA1	10007
TPI1	ENSG00000111669	P60174	TPI1	7167
GALE	ENSG00000117308	Q14376	GALE	2582
G6PD	ENSG00000160211	P11413	G6PD	2539
GALK1	ENSG00000108479	P51570	GALK1	2584
UROS	ENSG00000188690	P10746	UROS	7390
UROD	ENSG00000126088	P06132	UROD	7389
AKR1A1	ENSG00000117448	P14550	AKR1A1	10327
SLC14A1	ENSG00000141469	Q13336	SLC14A1	6563
XYLB	ENSG00000093217	O75191	XYLB	9942
DCXR	ENSG00000169738	Q7Z4W1	DCXR	51181
AKR1B1	ENSG00000085662	P15121	AKR1B1	231
GALT	ENSG00000213930	P07902	GALT	2592
UGP2	ENSG00000169764	Q16851	UGP2	7360
SLC2A3	ENSG00000059804	P11169	SLC2A3	6515
SLC2A4	ENSG00000181856	P14672	SLC2A4	6517
GAPDH	ENSG00000111640	P04406	GAPDH	2597
GGCT	ENSG00000006625	O75223	GGCT	79017
GUK1	ENSG00000143774	Q16774	GUK1	2987
GLUL	ENSG00000135821	P15104	GLUL	2752
GCLC	ENSG00000001084	P48506	GCLC	2729
GCLM	ENSG00000023909	P48507	GCLM	2730
HAGH	ENSG00000063854	Q16775	HAGH	3029
SLC6A9	ENSG00000196517	P48067	SLC6A9	6536
GMPR	ENSG00000137198	P36959	GMPR	2766
GMPS	ENSG00000163655	P49915	GMPS	8833
PGD	ENSG00000142657	P52209	PGD	5226
GSR	ENSG00000104687	P00390	GSR	2936
PRDX1	ENSG00000117450	Q06830	PRDX1	5052
GPX1	ENSG00000233276	P07203	GPX1	2876
PRDX2	ENSG00000167815	P32119	PRDX2	7001
GPX4	ENSG00000167468	P36969	GPX4	2879
GSS	ENSG00000100983	P48637	GSS	2937
HPRT1	ENSG00000165704	P00492	HPRT1	3251
CA2	ENSG00000104267	P00918	CA2	760
CA1	ENSG00000133742	P00915	CA1	759
CA3	ENSG00000164879	P07451	CA3	761
SLC4A1	ENSG00000004939	P02730	SLC4A1	6521
HK1	ENSG00000156515	P19367	HK1	3098
HK3	ENSG00000160883	P52790	HK3	3101
HMBS	ENSG00000256269	P08397	HMBS	3145
IDH1	ENSG00000138413	O75874	IDH1	3417
IMPDH2	ENSG00000178035	P12268	IMPDH2	3615
SLC12A7	ENSG00000113504	Q9Y666	SLC12A7	10723
LDHB	ENSG00000111716	P07195	LDHB	3945
LDHA	ENSG00000134333	P00338	LDHA	3939
GLO1	ENSG00000124767	Q04760	GLO1	2739
PLA2G4A	ENSG00000116711	P47712	PLA2G4A	5321
LTA4H	ENSG00000111144	P09960	LTA4H	4048
MPI	ENSG00000178802	P34949	MPI	4351
MDH1	ENSG00000014641	P40925	MDH1	4190
ME1	ENSG00000065833	P48163	ME1	4199
SLC43A1	ENSG00000149150	O75387	SLC43A1	8501
SYNJ1	ENSG00000159082	O43426	SYNJ1	8867
INPP5D	ENSG00000168918	Q92835	INPP5D	3635
IMPA1	ENSG00000133731	P29218	IMPA1	3612
ISYNA1	ENSG00000105655	Q9NPH2	ISYNA1	51477
MTAP	ENSG00000099810	Q13126	MTAP	4507
NADSYN1	ENSG00000172890	Q6IA69	NADSYN1	55191
NME3	ENSG00000103024	Q13232	NME3	4832
RHAG	ENSG00000112077	Q02094	RHAG	6005
NMNAT3	ENSG00000163864	Q96T66	NMNAT3	349565
NT5C2	ENSG00000076685	P49902	NT5C2	22978
NT5C3A	ENSG00000122643	Q9H0P0	NT5C3A	51251
NT5C	ENSG00000125458	Q8TCD5	NT5C	30833
UMPS	ENSG00000114491	P11172	UMPS	7372
ODC1	ENSG00000115758	P11926	ODC1	4953
PDE1A	ENSG00000115252	P54750	PDE1A	5136
PDE4D	ENSG00000113448	Q08499	PDE4D	5144
PDE2A	ENSG00000186642	O00408	PDE2A	5138
PDE3A	ENSG00000172572	Q14432	PDE3A	5139
PDE3B	ENSG00000152270	Q13370	PDE3B	5140
PNPO	ENSG00000108439	Q9NVS9	PNPO	55163
PDXP	ENSG00000241360	Q96GD0	PDXP	57026
PCYT2	ENSG00000185813	Q99447	PCYT2	5833
PFKL	ENSG00000141959	P17858	PFKL	5211
PFKM	ENSG00000152556	P08237	PFKM	5213
GPI	ENSG00000105220	P06744	GPI	2821
PGK1	ENSG00000102144	P00558	PGK1	5230
PGLS	ENSG00000130313	O95336	PGLS	25796
GOT1	ENSG00000120053	P17174	GOT1	2805
PLCB3	ENSG00000149782	Q01970	PLCB3	5331
PIP4K2A	ENSG00000150867	P48426	PIP4K2A	5305
PIP5K1C	ENSG00000186111	O60331	PIP5K1C	23396
PIP4K2C	ENSG00000166908	Q8TBX8	PIP4K2C	79837
PIP5K1A	ENSG00000143398	Q99755	PIP5K1A	8394
PIP4K2B	ENSG00000276293	P78356	PIP4K2B	8396
PI4K2A	ENSG00000155252	Q9BTU6	PI4K2A	55361
PI4KA	ENSG00000241973	P42356	PI4KA	5297
PMM2	ENSG00000140650	O15305	PMM2	5373
PPA2	ENSG00000138777	Q9H2U2	PPA2	27068
ALAD	ENSG00000148218	P13716	ALAD	210
PGM1	ENSG00000079739	P36871	PGM1	5236
PRPS1	ENSG00000147224	P60891	PRPS1	5631
PRPS1L1	ENSG00000229937	P21108	PRPS1L1	221823
PDXK	ENSG00000160209	O00764	PDXK	8566;105372824
PKLR	ENSG00000143627	P30613	PKLR	5313
PKM	ENSG00000067225	P14618	PKM	5315
RFK	ENSG00000135002	Q969G6	RFK	55312
PGM2	ENSG00000169299	Q96G03	PGM2	55276
ABCG2	ENSG00000118777	Q9UNQ0	ABCG2	9429
