	metabolites	references
0	10fthf_c	
1	12ppd__R_c	
2	12ppd__S_c	
3	13dampp_c	
4	13dpg_c	
5	15kprostge1_c	
6	15kprostge2_c	
7	15kprostge3_c	
8	15kprostgf1_c	
9	15kprostgf2_c	
10	15kprostgf3_c	
11	15ppins4p_c	
12	1acadprib_c	
13	1p3h5c__L_c	
14	1p3h5c__L_e	
15	1ppins5p_c	
16	1pyr5c__L_c	
17	1pyr5c__L_e	
18	1sgth2hoxe1_c	
19	1sgth2hoxe1_e	
20	1sgth2hoxe2_c	
21	1sgth2hoxe2_e	
22	20bdhcrtsl_c	
23	20bdhcrtstrn_c	
24	23camp_c	
25	23ccmp_c	
26	23cgamp_c	
27	23cgamp_e	
28	23cgmp_c	
29	23cump_c	
30	23doguln_c	
31	23dpg_c	
32	2abut_c	
33	2abut_e	
34	2abuten_c	
35	2abutgly_c	
36	2acadprib_c	
37	2amp_c	
38	2cmp_c	
39	2dadn_c	
40	2dadn_e	
41	2dcytd_c	
42	2dcytd_e	
43	2ddglcn_c	
44	2dgsn_c	
45	2dgsn_e	
46	2dins_c	
47	2dins_e	
48	2dr1p_c	
49	2dr5p_c	
50	2duri_c	
51	2duri_e	
52	2gmp_c	
53	2h34hppr_c	
54	2h3mv_c	
55	2h3ppr_c	
56	2hb_c	
57	2hb_e	
58	2hglut__L_c	
59	2hiv_c	
60	2hox3mtoxe1_c	
61	2hox3mtoxe1_e	
62	2hox3mtoxe2_c	
63	2hox3mtoxe2_e	
64	2hoxe1_c	
65	2hoxe2_c	
66	2ibut_c	
67	2kmb_c	
68	2mtoxe1_c	
69	2mtoxe1_e	
70	2mtoxe2_c	
71	2mtoxe2_e	
72	2obut_c	
73	2obut_e	
74	2ogm_c	
75	2oxosucc_c	
76	2pg_c	
77	2pglyc_c	
78	2plac__L_c	
79	2sgth4hoxe1_c	
80	2sgth4hoxe1_e	
81	2sgth4hoxe2_c	
82	2sgth4hoxe2_e	
83	2ump_c	
84	34dhpac_c	
85	34dhpha_c	
86	34hpl_c	
87	34hpp_c	
88	35camp_c	
89	35camp_e	
90	35cgmp_c	
91	35cgmp_e	
92	35cimp_c	
93	35cimp_e	
94	3dfru_c	
95	3dglc_c	
96	3dglc_e	
97	3dhguln_c	
98	3dsphgn_c	
99	3dxyl_c	
100	3htmelys_c	
101	3mob_c	
102	3mop_c	
103	3mox4hpac_c	
104	3moxtyr_c	
105	3moxtyr_e	
106	3mtp_c	
107	3mtp_e	
108	3ohdcaACP_c	
109	3ohddcaACP_c	
110	3ohhxaACP_c	
111	3ohhxdcaACP_c	
112	3ohocaACP_c	
113	3ohocdcaACP_c	
114	3ohttdcaACP_c	
115	3omdopa_c	
116	3oxdcaACP_c	
117	3oxddcaACP_c	
118	3oxhxaACP_c	
119	3oxhxdcaACP_c	
120	3oxocaACP_c	
121	3oxocdcaACP_c	
122	3oxttdcaACP_c	
123	3pg_c	
124	3php_c	
125	3sala__L_c	
126	3snpyr_c	
127	3spyr_c	
128	45cfmn_c	
129	4aabutn_c	
130	4abut_c	
131	4abut_e	
132	4abutn_c	
133	4aphdob_c	
134	4fumacac_c	
135	4h2hxea_2E_c	
136	4h2hxeal_2E_c	
137	4h2nonea_2E_c	
138	4h2noneal_2E_c	
139	4h2oglt_c	
140	4hglusa__L_c	
141	4hoxe1_c	
142	4hoxe2_c	
143	4hpro_LT_c	
144	4hpro_LT_e	
145	4mlacac_c	
146	4mtoxe1_c	
147	4mtoxe1_e	
148	4mtoxe2_c	
149	4mtoxe2_e	
150	4ohbut_c	
151	4pcys__R_c	
152	4per_c	
153	4ppcys__R_c	
154	4ppnto__R_c	
155	4pptth__R_c	
156	4pyrdp_c	
157	4pyrdx_c	
158	4pyrdx_e	
159	4pyrmp_c	
160	4pyrn_c	
161	4pyrn_e	
162	4pyrnad_c	
163	4pyrtp_c	
164	4sgth2hoxe1_c	
165	4sgth2hoxe1_e	
166	4sgth2hoxe2_c	
167	4sgth2hoxe2_e	
168	4sgth56dhi_c	
169	4sgth56dhi_e	
170	4sgth56dhilne_c	
171	4sgth56dhilne_e	
172	4tmeabut_c	
173	4tmeabutn_c	
174	56dhi_c	
175	56dhica_c	
176	5aand3a17bdiol_c	
177	5adtststerone_c	
178	5aizc_c	
179	5aop_c	
180	5aop_e	
181	5dpmev_c	
182	5flura_c	
183	5flura_e	
184	5fthf_c	
185	5fthf_e	
186	5hiu_c	
187	5houdic_c	
188	5hoxindact_c	
189	5hoxindoa_c	
190	5mdr1p_c	
191	5mdru1p_c	
192	5mta_c	
193	5mta_e	
194	5mthf_c	
195	5mthf_e	
196	5oxpro_c	
197	5oxpro_e	
198	5ppins5p_c	
199	5sgthadrnl__L_c	
200	5sgthadrnl__L_e	
201	5sgthdopa__L_c	
202	5sgthdopa__L_e	
203	5sgthdpam__L_c	
204	5sgthdpam__L_e	
205	5sgthleuadrnchrm_c	
206	5sgthleuadrnchrm_e	
207	5sgthleudopachr__L_c	
208	5sgthleudopachr__L_e	
209	5sgthleunrpphrchrm_c	
210	5sgthleunrpphrchrm_e	
211	5sgthnrpphr__L_c	
212	5sgthnrpphr__L_e	
213	67dhbpt_c	
214	6hopthp_c	
215	6lthp_c	
216	6pgc_c	
217	6pgl_c	
218	6pthp_c	
219	78dhbpt_c	
220	78dhbpt_e	
221	ACP_c	
222	FA_hs_10_0_c	
223	FA_hs_10_0_e	
224	FA_hs_10_10OH_c	
225	FA_hs_10_10O_c	
226	FA_hs_10_DC_c	
227	FA_hs_11_0_c	
228	FA_hs_11_0_e	
229	FA_hs_12_0_c	
230	FA_hs_12_0_e	
231	FA_hs_12_12OH_c	
232	FA_hs_12_12O_c	
233	FA_hs_12_DC_c	
234	FA_hs_13_0_c	
235	FA_hs_13_0_e	
236	FA_hs_14_0_c	
237	FA_hs_14_0_e	
238	FA_hs_14_14OH_c	
239	FA_hs_14_14O_c	
240	FA_hs_14_5Z_c	
241	FA_hs_14_5Z_e	
242	FA_hs_14_7Z_c	
243	FA_hs_14_7Z_e	
244	FA_hs_14_9Z_c	
245	FA_hs_14_9Z_e	
246	FA_hs_14_DC_c	
247	FA_hs_15_0_c	
248	FA_hs_15_0_e	
249	FA_hs_16_0_c	
250	FA_hs_16_0_e	
251	FA_hs_16_16OH_c	
252	FA_hs_16_16O_c	
253	FA_hs_16_2E_c	
254	FA_hs_16_2E_e	
255	FA_hs_16_7Z_c	
256	FA_hs_16_7Z_e	
257	FA_hs_16_9Z_c	
258	FA_hs_16_9Z_e	
259	FA_hs_16_DC_c	
260	FA_hs_17_0_c	
261	FA_hs_17_0_e	
262	FA_hs_17_10Z_c	
263	FA_hs_17_10Z_e	
