reactions	references
5FLUDPK
5FLUMPK
5FLURAPT
D5FURADy
FACOAE_10_0	pubmed:10578051;pubmed:5042454
FACOAE_11_0	pubmed:10578051;pubmed:5042454
FACOAE_12_0	pubmed:10578051;pubmed:5042454
FACOAE_13_0	pubmed:10578051;pubmed:5042454
FACOAE_14_0	pubmed:10578051;pubmed:5042454
FACOAE_14_5Z	pubmed:10578051;pubmed:5042454
FACOAE_14_7Z	pubmed:10578051;pubmed:5042454
FACOAE_14_9Z	pubmed:10578051;pubmed:5042454
FACOAE_15_0	pubmed:10578051;pubmed:5042454
FACOAE_16_0	pubmed:10578051;pubmed:5042454
FACOAE_16_7Z	pubmed:10578051;pubmed:5042454
FACOAE_16_9Z	pubmed:10578051;pubmed:5042454
FACOAE_17_0	pubmed:10578051;pubmed:5042454
FACOAE_17_10Z	pubmed:10578051;pubmed:5042454
FACOAE_17_9Z	pubmed:10578051;pubmed:5042454
FACOAE_18_0	pubmed:10578051;pubmed:5042454
FACOAE_18_11Z
FACOAE_18_13Z
FACOAE_18_6Z9Z
FACOAE_18_6Z9Z12Z
FACOAE_18_6Z9Z12Z15Z
FACOAE_18_7Z
FACOAE_18_9E
FACOAE_18_9Z
FACOAE_18_9Z12Z
FACOAE_18_9Z12Z15Z
FACOAE_19_0
FACOAE_20_0
FACOAE_20_11Z
FACOAE_20_11Z14Z
FACOAE_20_11Z14Z17Z
FACOAE_20_13Z
FACOAE_20_5Z8Z11Z
FACOAE_20_5Z8Z11Z14Z
FACOAE_20_5Z8Z11Z14Z17Z
FACOAE_20_8Z11Z
FACOAE_20_8Z11Z14Z
FACOAE_20_8Z11Z14Z17Z
FACOAE_20_9Z
FACOAE_21_0
FACOAE_22_0
FACOAE_22_10Z13Z16Z
FACOAE_22_10Z13Z16Z19Z
FACOAE_22_11Z
FACOAE_22_13Z
FACOAE_22_13Z16Z
FACOAE_22_13Z16Z19Z
FACOAE_22_4Z7Z10Z13Z16Z
FACOAE_22_4Z7Z10Z13Z16Z19Z
FACOAE_22_7Z10Z13Z16Z
FACOAE_22_7Z10Z13Z16Z19Z
FACOAE_23_0
FACOAE_24_0
