metabolites	name	notes
band_c	Band membrane protein (universal, erythrocyte -> 2.1,3,4.1)	Replaced by generic methylation reactions. Band 3 protein is a major methyl-accepting substrate of the intracellular erythrocyte PCMT1 (PMID: 7240192, PMID: 3828308)
bandmt_c	Band membrane protein (methylated, universal, erythrocyte -> 2.1,3,4.1)	Replaced by generic methylation reactions. Band 3 protein is a major methyl-accepting substrate of the intracellular erythrocyte PCMT1 (PMID: 7240192, PMID: 3828308)
bilglcur_c	Bilirubin monoglucuronide	Heme oxygenase occurs in macrophages. Furthermore, mature erythrocytes do not enzymatically degrade heme, heme degradation is from oxidative damage that under physiological conditions, does not form bilirubin. No evidence currently for  glucuronidation in erythrocytes.
bilglcur_e	Bilirubin monoglucuronide	Heme oxygenase occurs in macrophages. Furthermore, mature erythrocytes do not enzymatically degrade heme, heme degradation is from oxidative damage that under physiological conditions, does not form bilirubin. No evidence currently for  glucuronidation in erythrocytes.
cdpdag_hs_16_0_16_0_c	CDP diacylglycerol (homo sapiens, C16:0, C16:0)	Lipids are pooled, replaced with pooled version (cdpdag_hs)
cdpdag_hs_16_0_18_9Z12Z_c	CDP diacylglycerol (homo sapiens, C16:0, C18:2)	Lipids are pooled, replaced with pooled version (cdpdag_hs)
cdpdag_hs_16_0_18_9Z_c	CDP diacylglycerol (homo sapiens, C16:0, C18:1)	Lipids are pooled, replaced with pooled version (cdpdag_hs)
cdpdag_hs_18_9Z12Z_16_0_c	CDP diacylglycerol (homo sapiens, C18:2, C16:0)	Lipids are pooled, replaced with pooled version (cdpdag_hs)
cdpdag_hs_18_9Z12Z_18_9Z_c	CDP diacylglycerol (homo sapiens, C18:2, C18:1)	Lipids are pooled, replaced with pooled version (cdpdag_hs)
cdpdag_hs_18_9Z_18_9Z12Z_c	CDP diacylglycerol (homo sapiens, C18:1, C18:2)	Lipids are pooled, replaced with pooled version (cdpdag_hs)
cdpdag_hs_18_9Z_18_9Z_c	CDP diacylglycerol (homo sapiens, C18:1, C18:1)	Lipids are pooled, replaced with pooled version (cdpdag_hs)
dag_hs_16_0_16_0_c	Diacylglycerol (homo sapiens, C16:0, C16:0)	Lipids are pooled, replaced with pooled version (dag_hs)
