	metabolites	name	notes
0	cdpdag_hs_16_0_16_0_c	"CDP diacylglycerol (homo sapiens, C16:0, C16:0)"	"Lipids are pooled, replaced with pooled version (cdpdag_hs)"
1	cdpdag_hs_16_0_18_9Z12Z_c	"CDP diacylglycerol (homo sapiens, C16:0, C18:2)"	"Lipids are pooled, replaced with pooled version (cdpdag_hs)"
2	cdpdag_hs_16_0_18_9Z_c	"CDP diacylglycerol (homo sapiens, C16:0, C18:1)"	"Lipids are pooled, replaced with pooled version (cdpdag_hs)"
3	cdpdag_hs_18_9Z12Z_16_0_c	"CDP diacylglycerol (homo sapiens, C18:2, C16:0)"	"Lipids are pooled, replaced with pooled version (cdpdag_hs)"
4	cdpdag_hs_18_9Z12Z_18_9Z_c	"CDP diacylglycerol (homo sapiens, C18:2, C18:1)"	"Lipids are pooled, replaced with pooled version (cdpdag_hs)"
5	cdpdag_hs_18_9Z_18_9Z12Z_c	"CDP diacylglycerol (homo sapiens, C18:1, C18:2)"	"Lipids are pooled, replaced with pooled version (cdpdag_hs)"
6	cdpdag_hs_18_9Z_18_9Z_c	"CDP diacylglycerol (homo sapiens, C18:1, C18:1)"	"Lipids are pooled, replaced with pooled version (cdpdag_hs)"
7	dag_hs_16_0_16_0_c	"Diacylglycerol (homo sapiens, C16:0, C16:0)"	"Lipids are pooled, replaced with pooled version (dag_hs)"
8	dag_hs_16_0_18_9Z12Z_c	"Diacylglycerol (homo sapiens, C16:0, C18:2)"	"Lipids are pooled, replaced with pooled version (dag_hs)"
9	dag_hs_16_0_18_9Z_c	"Diacylglycerol (homo sapiens, C16:0, C18:1) cytosol"	"Lipids are pooled, replaced with pooled version (dag_hs)"
10	dag_hs_18_9Z12Z_16_0_c	"Diacylglycerol (homo sapiens, C18:2, C16:0)"	"Lipids are pooled, replaced with pooled version (dag_hs)"
11	dag_hs_18_9Z12Z_18_9Z_c	"Diacylglycerol (homo sapiens, C18:2, C18:1)"	"Lipids are pooled, replaced with pooled version (dag_hs)"
12	dag_hs_18_9Z_18_9Z12Z_c	"Diacylglycerol (homo sapiens, C18:1, C18:2)"	"Lipids are pooled, replaced with pooled version (dag_hs)"
13	dag_hs_18_9Z_18_9Z_c	"Diacylglycerol (homo sapiens, C18:1, C18:1)"	"Lipids are pooled, replaced with pooled version (dag_hs)"
14	lpa_hs_16_0_c	"Lysophosphatidic acid (homo sapiens, C16:0)"	"Lipids are pooled, replaced with pooled version (lpa_hs)"
15	lpa_hs_18_9Z12Z_c	"Lysophosphatidic acid (homo sapiens, C18:2)"	"Lipids are pooled, replaced with pooled version (lpa_hs)"
16	lpa_hs_18_9Z_c	"Lysophosphatidic acid (homo sapiens, C18:1)"	"Lipids are pooled, replaced with pooled version (lpa_hs)"
17	lpc_hs_16_0_c	"Lysophosphatidylcholine (homo sapiens, C16:0) cytosol"	"Lipids are pooled, replaced with pooled version (lpc_hs)"
18	lpc_hs_18_9Z12Z_c	"Lysophosphatidylcholine (homo sapiens, C18:2)"	"Lipids are pooled, replaced with pooled version (lpc_hs)"
19	lpc_hs_18_9Z_c	"Lysophosphatidylcholine (homo sapiens, C18:1)"	"Lipids are pooled, replaced with pooled version (lpc_hs)"
20	pa_hs_16_0_16_0_c	"Phosphatidic acid (homo sapiens, C16:0, C16:0)"	"Lipids are pooled, replaced with pooled version (pa_hs)"
21	pa_hs_16_0_18_9Z12Z_c	"Phosphatidic acid (homo sapiens, C16:0, C18:2)"	"Lipids are pooled, replaced with pooled version (pa_hs)"
22	pa_hs_16_0_18_9Z_c	"Phosphatidic acid (homo sapiens, C16:0, C18:1)"	"Lipids are pooled, replaced with pooled version (pa_hs)"
