	reactions	metatlas	bigg.reaction	vmhreaction
0	FACOAE_10_0
1	FACOAE_11_0
2	FACOAE_8_0
3	FACOAE_9_0
4	FACOAE_12_0	MAR00189		HMR_0189
5	FACOAE_13_0	MAR00193	HMR_0193	HMR_0193
6	FACOAE_14_0	MAR00197		HMR_0197
7	FACOAE_14_5Z	MAR00210	HMR_0210	HMR_0210
8	FACOAE_14_7Z	MAR00206	HMR_0206	HMR_0206
9	FACOAE_14_9Z	MAR00201	HMR_0201	HMR_0201
10	FACOAE_15_0	MAR00214	HMR_0214	HMR_0214
11	FACOAE_16_0	MAR00223		HDCAc
12	FACOAE_16_7Z	MAR00234	HMR_0234	HMR_0234
13	FACOAE_16_9Z	MAR00230		HMR_0230
14	FACOAE_17_0	MAR00238	HMR_0238	HMR_0238
15	FACOAE_17_10Z	MAR00242	HMR_0242	HMR_0242
16	FACOAE_17_9Z	MAR00246	HMR_0246	HMR_0246
17	FACOAE_18_0	MAR00250		RE0344C
18	FACOAE_18_11Z	MAR00260	HMR_0260	HMR_0260
19	FACOAE_18_13Z	MAR00256	HMR_0256	HMR_0256
20	FACOAE_18_6Z9Z	MAR00276	HMR_0276	HMR_0276
21	FACOAE_18_6Z9Z12Z	MAR00402		HMR_0402
22	FACOAE_18_6Z9Z12Z15Z	MAR00354	HMR_0354	HMR_0354
23	FACOAE_18_7Z	MAR00272	HMR_0272	HMR_0272
24	FACOAE_18_9E	MAR00268	HMR_0268	HMR_0268
25	FACOAE_18_9Z	MAR00264	FACOAE181	RE3245C
26	FACOAE_18_9Z12Z	MAR00398		HMR_0398
27	FACOAE_18_9Z12Z15Z	MAR00350		HMR_0350
28	FACOAE_19_0	MAR00280	HMR_0280	HMR_0280
29	FACOAE_20_0	MAR00284	RE0577C	RE0577C
30	FACOAE_20_11Z	MAR00294	RE3238C	RE3238C
31	FACOAE_20_11Z14Z	MAR00430	HMR_0430	HMR_0430
32	FACOAE_20_11Z14Z17Z	MAR00382	HMR_0382	HMR_0382
33	FACOAE_20_13Z	MAR00290	HMR_0290	HMR_0290
34	FACOAE_20_5Z8Z11Z	MAR00306	HMR_0306	HMR_0306
35	FACOAE_20_5Z8Z11Z14Z
36	FACOAE_20_5Z8Z11Z14Z17Z	MAR00362	HMR_0362	HMR_0362
37	FACOAE_20_8Z11Z	MAR00302	HMR_0302	HMR_0302
38	FACOAE_20_8Z11Z14Z	MAR00406	HMR_0406	HMR_0406
39	FACOAE_20_8Z11Z14Z17Z	MAR00358	HMR_0358	HMR_0358
40	FACOAE_20_9Z	MAR00298	HMR_0298	HMR_0298
41	FACOAE_21_0	MAR00310	HMR_0310	HMR_0310
42	FACOAE_22_0	MAR00314	RE0578C	RE0578C
43	FACOAE_22_10Z13Z16Z	MAR00438	HMR_0438	HMR_0438
44	FACOAE_22_10Z13Z16Z19Z	MAR00390	HMR_0390	HMR_0390
45	FACOAE_22_11Z	MAR00324	HMR_0324	HMR_0324
46	FACOAE_22_13Z	MAR00320	RE3239C	RE3239C
47	FACOAE_22_13Z16Z	MAR00434	HMR_0434	HMR_0434
48	FACOAE_22_13Z16Z19Z	MAR00386	HMR_0386	HMR_0386
49	FACOAE_22_4Z7Z10Z13Z16Z	MAR00426	HMR_0426	HMR_0426
50	FACOAE_22_4Z7Z10Z13Z16Z19Z	MAR00378	HMR_0378	HMR_0378
51	FACOAE_22_7Z10Z13Z16Z	MAR00414	HMR_0414	HMR_0414
52	FACOAE_22_7Z10Z13Z16Z19Z	MAR00366	HMR_0366	HMR_0366
53	FACOAE_23_0	MAR00328	HMR_0328	HMR_0328
54	FACOAE_24_0	MAR00332		RE0579C
55	FACOAE_24_12Z15Z18Z21Z	MAR00394	HMR_0394	HMR_0394
56	FACOAE_24_15Z	MAR00338	RE3237C	RE3237C
57	FACOAE_24_6Z9Z12Z15Z18Z	MAR00422	HMR_0422	HMR_0422
58	FACOAE_24_6Z9Z12Z15Z18Z21Z	MAR00374	HMR_0374	HMR_0374
59	FACOAE_24_9Z12Z15Z18Z	MAR00418	HMR_0418	HMR_0418
60	FACOAE_24_9Z12Z15Z18Z21Z	MAR00370	HMR_0370	HMR_0370
61	FACOAE_26_0	MAR00342		HMR_0342
62	FACOAE_26_17Z	MAR00346	HMR_0346	HMR_0346
63	FACOAE_3_0	MAR00154	RE2649C	RE2649C
64	FACOAE_4_0
65	FACOAE_5_0
66	FACOAE_6_0		FACOAE60
67	FACOAE_7_0
68	FACOAE_2_0
69	GLNS	MAR03890	GLNS	GLNS
70	2ABUTTA	MAR06970	RE2034C	RE2034C
71	ASPTA	MAR03829	ASPTA	ASPTA
72	ALATA_L	MAR03899	ALATA_L	ALATA_L
73	ASNTA
74	OXOGAH	MAR04114	r0085	r0085
75	OXOSUCAH
76	GOATA
77	L2HGDHx	MAR00719		HMR_0719
78	GLUN	MAR09802	GLUN	HMR_9802
79	AC4OACNAMDC
80	AC9OACNAMDC
81	UAG4E	MAR04159	UAG4E	UAG4E
82	ACGAMPM	MAR04631	ACGAMPM	ACGAMPM
83	AGDC	MAR04629	AGDC	AGDC
84	ACNAM9PL	MAR04529	ACNAM9PL	ACNAM9PL
85	ACNAM9PL2	MAR08371	ACNAM9PL2	ACNAM9PL2
86	ACNAM9PL3
87	ACGAMK	MAR04524	ACGAMK	ACGAMK
88	AMANK	MAR04528	AMANK	AMANK
89	ACNML	MAR08373	ACNML	ACNMLr
90	ACNAMPH	MAR04530	ACNAMPH	ACNAMPH
91	G6PDA	MAR04299	G6PDA	G6PDA
92	HEX10	MAR04494	HEX10	HEX10
93	ACGAM2E	MAR04527	ACGAM2E	ACGAM2E
94	KDNH	MAR08372	KDNH	KDNH
95	ACGALK	MAR08366	ACGALK	ACGALK
96	ALATRS	MAR05131		HMR_5131
97	CYSTRS	MAR05135		HMR_5135
98	ASPTRS	MAR05134		HMR_5134
99	GLUTRS	MAR05137		HMR_5137
100	PROTRS	MAR05146		HMR_5146
101	GLYTRS	MAR05138		HMR_5138
102	HISTRS	MAR05139		HMR_5139
103	ILETRS	MAR05140		HMR_5140
104	LYSTRS	MAR05142		HMR_5142
105	METTRS	MAR05143		HMR_5143
106	ASNTRS	MAR05133		HMR_5133
107	GLNTRS	MAR05136		HMR_5136
108	ARGTRS	MAR05132		HMR_5132
109	SERTRS	MAR05147		HMR_5147
110	THRTRS	MAR05148		HMR_5148
111	VALTRS	MAR05150		HMR_5150
112	TRPTRS	MAR05149		HMR_5149
113	TYRTRS	MAR05130		HMR_5130
114	LEUTRS	MAR05141		HMR_5141
115	PHETRS	MAR05145		HMR_5145
116	ANDRSTRNRy
117	ANDRSTNDNRy	MAR01973	RE2766C	RE2766C
118	5ADHTRy
119	EET1112EPHX	MAR00953		HMR_0953
120	EET1314EPHX	MAR00957		HMR_0957
121	EET56EPHX	MAR00945		HMR_0945
122	EET89EPHX	MAR00949		HMR_0949
123	HPETE11GTHR
124	HPETE12GTHR	MAR01037	HMR_1037	HMR_1037
125	HPETE15GTHR
126	HPETE5GTHR	MAR00960	HMR_0960	HMR_0960
127	HPETE8GTHR
128	HPETE9GTHR
129	ARACHD1112MOXy	MAR00950	HMR_0950	HMR_0950
130	ARACHD1415MOXy	MAR00954	HMR_0954	HMR_0954
131	ARACHD56MOXy	MAR00942	HMR_0942	HMR_0942
132	ARACHD89MOXy	MAR00946	HMR_0946	HMR_0946
133	BAMPPALDOXx	MAR07993	BAMPPALDOX	BAMPPALDOX
134	NABTNO	MAR08605	NABTNO	NABTNO
135	ARGN	MAR03816	ARGN	ARGN
136	ARGSL	MAR03813	ARGSL	ARGSL
137	EHGLAT	MAR11399	EHGLAT	EHGLAT
138	NOS1	MAR04190	NOS1	NOS1
139	NOS2	MAR03993	NOS2	NOS2;r0024
140	ORNDC	MAR04212	ORNDC	ORNDC
141	SPRMS	MAR04077	SPRMS	SPRMS
142	SPMS	MAR04075	SPMS	SPMS
143	N1ASPMDOX	MAR06961		RE1537C
144	N1SPRMOX	MAR06958		RE1539C
145	SMOX	MAR04078	SMOX	HMR_4078
146	SPMDOX	MAR07991	SPMDOX	SPMDOX
147	HPROy		HPROb
148	P5CRx	MAR03835	PRO1x	PRO1x
149	P5CRy	MAR03833	P5CR	P5CR
150	CK	MAR04584	CKc	CKc
151	ABUTDx	MAR04689	ABUTD	ABUTD
152	UREAHYDL
153	GHBDHy
154	13DAMPPOX	MAR07992	13DAMPPOX	13DAMPPOX
155	CRTNP	MAR08431	CRTSLt	CRTNsyn
156	G5SAD	MAR03819	G5SADs	G5SADs
157	L4HGSA
158	PYRRLHYD	MAR02527	RE0691C	RE0691C
159	GACMTR	MAR04583	GACMTRc	GACMTRc
160	GLYAMDTRc	MAR04582	GLYAMDTRc	GLYAMDTRc
161	SPMDACT	MAR06938		RE1234C
162	SPRMACT	MAR06929		HMR_6929
163	GTHDH	MAR08620	GTHDH	GTHDH
164	CYTB5ASCBR
165	MDHDASCBRy
166	TMASCBOXt
167	TMASCBOXt2
168	TMASCBOXt3
169	ASCBCU2R
170	ASCBFE3R
171	ASCBO2SX
172	ASCBOH1R
173	DASCBH	MAR08621	DASCBH	DASCBH
174	LIPTASCBR	MAR06394		RE2899C
175	MDHDASCBDP
176	DOGULND1	MAR08622	DOGULNO1	DOGULND1
177	DOGULND2	MAR08623	DOGULNO2	DOGULND2
178	DOGULNO1	MAR08624	DOGULNO1	DOGULNO1
179	DOGULNO2	MAR08625	DOLASNT_Uer	DOGULNO2
180	6HOPTHPDH
181	SPPTDH
182	PTHPS	MAR04163	PTHPS	PTHPS
183	DHPRx	MAR03925	DHPR	DHPR
184	DHPRy	MAR04523	r0398	r0398
185	6PTHPDH2
186	6PTHPDH
187	THBPT4ACAMDASE	MAR08538	THBPT4ACAMDASE	THBPT4ACAMDASE
188	6LTHPI
189	DHBPTT
190	GTPCH3	MAR04835		r0777
191	GTPCH4	MAR04817		r0708
192	GTPCH1	MAR04169		r0120
193	GTPCH2	MAR04833		r0775
194	AHDTPPPH	MAR04816	HMR_4816	HMR_4816
195	CRNAT_10_0	MAR04457	C100CPT1	C100CPT1
196	CRNAT_11_0
197	CRNAT_12_0	MAR02602	HMR_2602	C120CPT1;HMR_2602
198	CRNAT_13_0	MAR02605		HMR_2605
199	CRNAT_14_0	MAR02608	HMR_2608	HMR_2608
200	CRNAT_14_5Z	MAR02620	HMR_2620	HMR_2620
201	CRNAT_14_7Z	MAR02614		HMR_2614
202	CRNAT_14_9Z	MAR02611	HMR_2611	HMR_2611
203	CRNAT_15_0	MAR02623	PTDCACRNCPT1	PTDCACRNCPT1
204	CRNAT_16_0	MAR02626	C160CPT1	C160CPT1;C160CPT2rbc
205	CRNAT_16_7Z	MAR02633	HMR_2633	HMR_2633
206	CRNAT_16_9Z	MAR02636	C161CPT1	C161CPT1
207	CRNAT_17_0	MAR02642	HPDCACRNCPT1	HPDCACRNCPT1
208	CRNAT_17_10Z	MAR02648	HMR_2648	HMR_2648
209	CRNAT_17_9Z	MAR02651	HMR_2651	HMR_2651
210	CRNAT_18_0	MAR02654	C180CPT1	C180CPT1
211	CRNAT_18_11Z	MAR06598	VACCCPT1	OCD11COACPT1
212	CRNAT_18_13Z	MAR02657	HMR_2657	HMR_2657
213	CRNAT_18_6Z9Z	MAR02672	LNELDCCPT1	LNELDCCPT1
214	CRNAT_18_6Z9Z12Z	MAR02746	LNLNCGCPT1	LNLNCGCPT1
215	CRNAT_18_6Z9Z12Z15Z	MAR02714	STRDNCCPT1	STRDNCCPT1
216	CRNAT_18_7Z	MAR02669	HMR_2669	HMR_2669
217	CRNAT_18_9E	MAR02666	HMR_2666	HMR_2666
218	CRNAT_18_9Z	MAR00108	C181CPT1	C181CPT1
219	CRNAT_18_9Z12Z	MAR02742	LNLCCPT1	LNLCCPT1;LNLCCPT2rbc
220	CRNAT_18_9Z12Z15Z	MAR01488	LNLNCACPT1	LNLNCACPT1
221	CRNAT_19_0	MAR02675	HMR_2675	HMR_2675
222	CRNAT_20_0	MAR02678	ARACHCPT1	ARACHCPT1
223	CRNAT_20_11Z	MAR02684	HMR_2684	HMR_2684
224	CRNAT_20_11Z14Z	MAR02768	HMR_2768	HMR_2768
225	CRNAT_20_11Z14Z17Z	MAR02733	HMR_2733	HMR_2733
226	CRNAT_20_13Z	MAR02681	HMR_2681	HMR_2681
227	CRNAT_20_5Z8Z11Z	MAR02693	HMR_2693	HMR_2693
228	CRNAT_20_5Z8Z11Z14Z	MAR02755	C204CPT1	C204CPT1
229	CRNAT_20_5Z8Z11Z14Z17Z	MAR02720	TMNDNCCPT1	TMNDNCCPT1
230	CRNAT_20_8Z11Z	MAR02690	HMR_2690	HMR_2690
231	CRNAT_20_8Z11Z14Z	MAR02752	DLNLCGCPT1	DLNLCGCPT1
232	CRNAT_20_8Z11Z14Z17Z	MAR02717	EICOSTETCPT1	EICOSTETCPT1
233	CRNAT_20_9Z	MAR02687	HMR_2687	HMR_2687
234	CRNAT_21_0	MAR02699	HMR_2699	HMR_2699
235	CRNAT_22_0	MAR02702	HMR_2702	HMR_2702
236	CRNAT_22_10Z13Z16Z	MAR02774	HMR_2774	HMR_2774
237	CRNAT_22_10Z13Z16Z19Z	MAR02739	HMR_2739	HMR_2739
238	CRNAT_22_11Z	MAR02708	HMR_2708	HMR_2708
239	CRNAT_22_13Z	MAR02705	HMR_2705	HMR_2705
240	CRNAT_22_13Z16Z	MAR02771	HMR_2771	HMR_2771
241	CRNAT_22_13Z16Z19Z	MAR02736	HMR_2736	HMR_2736
242	CRNAT_22_4Z7Z10Z13Z16Z	MAR02762	DCSPTN1CPT1	DCSPTN1CPT1
243	CRNAT_22_4Z7Z10Z13Z16Z19Z	MAR02730	C226CPT1	C226CPT1
244	CRNAT_22_7Z10Z13Z16Z	MAR02759	ADRNCPT1	ADRNCPT1
245	CRNAT_22_7Z10Z13Z16Z19Z	MAR02726	CLPNDCPT1	CLPNDCPT1
246	CRNAT_6_0	MAR04719	C60CPT1	C60CPT1
247	CRNAT_7_0
248	CRNAT_8_0	MAR03032	C80CPT1	C80CPT1
249	CRNAT_9_0
250	CRNAT_2_0	MAR02591	CSNATr	CSNATr
251	CRNAT_23_0	MAR02906		HMR_2906
252	CRNAT_24_0	MAR02909		LGNCCPT1
253	CRNAT_24_12Z15Z18Z21Z	MAR02877		HMR_2877
254	CRNAT_24_15Z	MAR02912		NRVNCCPT1
255	CRNAT_24_6Z9Z12Z15Z18Z	MAR02927	TETPENT6CPT1	TETPENT6CPT1
256	CRNAT_24_6Z9Z12Z15Z18Z21Z	MAR02930		HMR_2930
257	CRNAT_24_9Z12Z15Z18Z	MAR02924	TETTET6CPT1	TETTET6CPT1
258	CRNAT_24_9Z12Z15Z18Z21Z	MAR02921	TETPENT3CPT1	TETPENT3CPT1
259	CRNAT_26_0	MAR02915		HEXCCPT1
260	CRNAT_26_17Z	MAR02918		HMR_2918
261	CRNAT_3_0	MAR02594	C30CPT1	C30CPT1
262	CRNAT_4_0	MAR00159	C40CPT1	C40CPT1
263	CRNAT_5_0	MAR04707	C50CPT1	C50CPT1
264	XOLEST2EH
265	AHC	MAR03877	AHCi	AHC
266	CYSL	MAR04302	r0193	r0193
267	CYSTCYSL
268	3SALATA	MAR03861	3SALATAi	3SALATAi
269	UNK3	MAR05391	UNK3	UNK3r
270	GTHS2
271	SLDx	MAR08068	SLDx	SLDx
272	MCPST4
273	MTAP	MAR05384	MTAP	MTAP
274	MDRPD	MAR05386	MDRPD	MDRPD
275	ARD	MAR05389	HMR_5389	DKMPPD2;HMR_5389
276	ENOPH	MAR05387	HMR_5387	DKMPPD3;HMR_5387
277	GGLUCT2ABUT	MAR06971		RE2040C
278	MTRI	MAR05385	MTRI	MTRI
279	METAT	MAR03875	METAT	METAT
280	MCPST3
281	GLU2ABUTS
282	CYSTA	MAR03912	CYSTA	CYSTA
283	LCYSTAT	MAR08066	LCYSTAT	LCYSTAT
284	OPHGLXTA
285	OPHOXATA
286	2HBO	MAR05351	2HBO	2HBO
287	MCLOR	MAR06519	MCLORi	MCLOR
288	CYSTRDX
289	DHLIPTRD
290	HCYSTRDX
291	2ABUTGLYDP
292	3SALACBOXL	MAR03910	3SALACBOXL	3SALACBOXL
293	3SALAOX	MAR08063	3SALAOX	3SALAOX
294	CYSO	MAR03908	CYSO	CYSO
295	CYSTS	MAR03879	CYSTS	CYSTS
296	HYPTROX	MAR08759	HYPTROX	HYPTROX
297	3SPYRSP	MAR03851	3SPYRSP	3SPYRSP
298	CYSGLTH	MAR08682	CYSGLTH	CYSGLTH
299	LHCYSTIN	MAR11299	LHCYSTIN	LHCYSTIN
300	ADMDC	MAR04073	ADMDC	ADMDC
301	EDP1011EPHX
302	EDP1314EPHX
303	EDP1617EPHX
304	EDP1920EPHX
305	EDP78EPHX
306	HPDHA10GTHR
307	HPDHA11GTHR
308	HPDHA13GTHR
309	HPDHA14GTHR
310	HPDHA16GTHR
311	HPDHA17GTHR
312	HPDHA20GTHR
313	HPDHA4GTHR
314	HPDHA7GTHR
315	HPDHA8GTHR
316	CRVNC1011MOXy
317	CRVNC1314MOXy
318	CRVNC1617MOXy
319	CRVNC1920MOXy
320	CRVNC78MOXy
321	EEQ1112EPHX
322	EEQ1415EPHX
323	EEQ1718EPHX
324	EEQ56EPHX
325	EEQ89EPHX
326	HPEPE11GTHR
327	HPEPE12GTHR
328	HPEPE15GTHR
329	HPEPE18GTHR
330	HPEPE5GTHR
331	HPEPE8GTHR
332	HPEPE9GTHR
333	TMDNC1112MOXy
334	TMDNC1415MOXy
335	TMDNC1718MOXy
336	TMDNC56MOXy
337	TMDNC89MOXy
338	2OHE1MT	MAR02058	RE1630C	RE1630C
339	2OHE1MT2	MAR02060		RE1631C
340	2OHE2MT	MAR02045	RE2386C	RE2386C
341	2OHE2MT2	MAR02044		RE1627C
342	4OHE1MT	MAR02052		RE1629C
343	4OHE2MT	MAR02048		RE1628C
344	ESTRADIOL23Q2ERz
345	ESTRADIOL34Q2ERz
346	ESTRONE23Q2ERz
347	ESTRONE34Q2ERz
348	ESTRADIOL23Q1ERx
349	ESTRADIOL34Q1ERx
350	ESTRONE23Q1ERx
351	ESTRONE34Q1ERx
352	23E1QN1GST	MAR02068		RE1815C
353	23E1QN4GST	MAR02072		RE2319C
354	23E2QN1GST	MAR02110		RE2318C
355	23E2QN4GST	MAR02106		RE1635C
356	34E1QN2GST	MAR02083		RE1817C
357	34E2QN2GST	MAR02095		RE1816C
358	ESTRONEDHy	MAR02036	HSD17B1	HSD17B1
359	ESTRADIOL23Q2ERy
360	ESTRADIOL34Q2ERy
361	ESTRONE23Q2ERy
362	ESTRONE34Q2ERy
363	2OHE1PX	MAR02061		HMR_2061
364	2OHE2PX	MAR02099		HMR_2099
365	4OHE1PX	MAR02076		HMR_2076
366	4OHE2PX	MAR02088	HMR_2088	HMR_2088
367	ESTRADIOL2OXRx
368	ESTRADIOL2OXRy	MAR02042	RE3013C	RE3013C
369	ESTRADIOL4OXRx
370	ESTRADIOL4OXRy	MAR02046	RE1632C	RE1632C
371	ESTRONE2OXRx
372	ESTRONE2OXRy	MAR02055	RE1587C	RE1587C
373	ESTRONE4OXRx
374	ESTRONE4OXRy	MAR02049		RE1582C
375	23E1SQOX	MAR02064		RE1699C
376	23E2SQOX	MAR02102		RE1701C
377	34E1SQOX	MAR02079		RE1700C
378	34E2SQOX	MAR02091		RE1702C
379	ESTRADIOL23SQDP
380	ESTRADIOL34SQDP
381	ESTRONE23SQDP
382	ESTRONE34SQDP
383	NAPEPLD
384	LPCOLPLD	MAR03824		RE3378C
385	LPCOAT
386	LPCPAT
387	PCOPLA2
388	PCPPLA2
389	PEPPLA2
390	LPEPAT
391	PAOACPP
392	FACOAL_2_0
393	FACOAL_3_0
394	FACOAL_12_0	MAR00188	HMR_0188	HMR_0188
395	FACOAL_13_0	MAR00192	HMR_0192	HMR_0192
396	FACOAL_14_0	MAR00196	FACOAL140	FACOAL140i
397	FACOAL_14_5Z	MAR00209	HMR_0209	HMR_0209
398	FACOAL_14_7Z	MAR00204	HMR_0204	HMR_0204
399	FACOAL_14_9Z	MAR00200	HMR_0200	HMR_0200
400	FACOAL_15_0	MAR00213	FACOAL150	FACOAL150
401	FACOAL_16_0	MAR00217	FACOAL160	FACOAL160i
402	FACOAL_16_7Z	MAR00233	HMR_0233	HMR_0233
403	FACOAL_16_9Z	MAR00226	FACOAL161	FACOAL161
404	FACOAL_17_0	MAR00237	FACOAL170	FACOAL170
405	FACOAL_17_10Z	MAR00241	HMR_0241	HMR_0241
406	FACOAL_17_9Z	MAR00245	HMR_0245	HMR_0245
407	FACOAL_18_0	MAR00249	FACOAL180	FACOAL180i
408	FACOAL_18_11Z	MAR00259	FACOAL1812	FACOAL1812;HMR_0259
409	FACOAL_18_13Z
410	FACOAL_18_6Z9Z	MAR00275	FACOAL1822	FACOAL1822
411	FACOAL_18_6Z9Z12Z	MAR00401	FACOAL1831	FACOAL1831
412	FACOAL_18_6Z9Z12Z15Z	MAR00353	FACOAL184	FACOAL184
413	FACOAL_18_7Z	MAR00255	HMR_0255	HMR_0255
414	FACOAL_18_9E	MAR00267	HMR_0267	HMR_0267
415	FACOAL_18_9Z	MAR00263	FACOAL181	FACOAL181i
416	FACOAL_18_9Z12Z	MAR00397	FACOAL1821	FACOAL1821
417	FACOAL_18_9Z12Z15Z	MAR00349	FACOAL1832	FACOAL1832
418	FACOAL_19_0	MAR00279	HMR_0279	HMR_0279
419	FACOAL_20_0	MAR00283	FACOAL200	FACOAL200
420	FACOAL_20_11Z	MAR00293	HMR_0293	HMR_0293
421	FACOAL_20_11Z14Z	MAR00429	HMR_0429	HMR_0429
422	FACOAL_20_11Z14Z17Z	MAR00381	HMR_0381	HMR_0381
423	FACOAL_20_13Z	MAR00289	HMR_0289	HMR_0289
424	FACOAL_20_5Z8Z11Z	MAR00305	HMR_0305	HMR_0305
425	FACOAL_20_5Z8Z11Z14Z	MAR00409	FACOAL204	FACOAL204
426	FACOAL_20_5Z8Z11Z14Z17Z	MAR00361	FACOAL205	FACOAL205
427	FACOAL_20_8Z11Z	MAR00301	HMR_0301	HMR_0301
428	FACOAL_20_8Z11Z14Z	MAR00405	FACOAL203	FACOAL203
429	FACOAL_20_8Z11Z14Z17Z	MAR00357	FACOAL2042	FACOAL2042
430	FACOAL_20_9Z	MAR00297	HMR_0297	HMR_0297
431	FACOAL_21_0	MAR00309	HMR_0309	HMR_0309
432	FACOAL_22_0	MAR00313	DOCOSACT	DOCOSACT
433	FACOAL_22_10Z13Z16Z	MAR00437	HMR_0437	HMR_0437
434	FACOAL_22_10Z13Z16Z19Z	MAR00389	HMR_0389	HMR_0389
435	FACOAL_22_11Z	MAR00323	HMR_0323	HMR_0323
436	FACOAL_22_13Z	MAR00319	HMR_0319	HMR_0319
