reactions	name	notes
3MOXTYRESSte	3-Methoxytyramine secretion via secretory vesicle (ATP driven)	Replaced by simple transport reaction (3MOXTYRt), no evidence of formula for secretory vesicle (ATP driven) stoichiometry/formula
ALAt4	Alanine-Sodium symporter	Replaced by reactions involving the amino acid transport proteins for the ASCT system (Gene ID: 6509, SLC1A4; Gene ID: 6510, SLC1A5), the y+ system (Gene ID: 9057, SLC7A6; Gene ID: 6520, SLC3A2), and the L system (Gene ID: 8501; SLC43A1, Gene ID: 124935, SLC43A2)
BANDMT	Band membrane protein-methyltransferase	Replaced by generic methylation reactions. Band 3 protein is a major methyl-accepting substrate of the intracellular erythrocyte PCMT1 (PMID: 7240192, PMID: 3828308)
BILGLCURt	Bilirubin monoglucuronide transport via bicarbonate countertransport	Heme oxygenase occurs in macrophages. Furthermore, mature erythrocytes do not enzymatically degrade heme, heme degradation is from oxidative damage that under physiological conditions, does not form bilirubin. No evidence of glucuronidation in erythrocytes.
BILIRBU	Bilirubin UDP-glucuronosyltransferase	Heme oxygenase occurs in macrophages. Furthermore, mature erythrocytes do not enzymatically degrade heme, heme degradation is from oxidative damage that under physiological conditions, does not form bilirubin. No evidence of glucuronidation in erythrocytes.
CAATPS2	P-type Ca(2+) transporter (2:1 stoichiometry)	Stoichiometry of calcium pump is probably 1:1 (pubmed:4271735)
CDIPT_16_0_16_0	Phosphatidylinositol synthase (Homo sapiens, C16:0, C16:0)	Lipids are pooled, replaced with pooled version (CDIPT)
CDIPT_16_0_18_9Z	Phosphatidylinositol synthase (Homo sapiens, C16:0, C18:1)	Lipids are pooled, replaced with pooled version (CDIPT)
CDIPT_16_0_18_9Z12Z	Phosphatidylinositol synthase (Homo sapiens, C16:0, C18:2)	Lipids are pooled, replaced with pooled version (CDIPT)
CDIPT_18_9Z12Z_16_0	Phosphatidylinositol synthase (Homo sapiens, C18:2,C16:0)	Lipids are pooled, replaced with pooled version (CDIPT)
CDIPT_18_9Z12Z_18_9Z	Phosphatidylinositol synthase (Homo sapiens, C18:2,C18:1)	Lipids are pooled, replaced with pooled version (CDIPT)
CDIPT_18_9Z_18_9Z	Phosphatidylinositol synthase (Homo sapiens, C18:1,C18:1)	Lipids are pooled, replaced with pooled version (CDIPT)
CDIPT_18_9Z_18_9Z12Z	Phosphatidylinositol synthase (Homo sapiens, C18:1,C18:2)	Lipids are pooled, replaced with pooled version (CDIPT)
CDS_16_0_16_0	Phosphatidate cytidylyltransferase (C16:0, C16:0)	Lipids are pooled, replaced with pooled version (CDS)
CDS_16_0_18_9Z	Phosphatidate cytidylyltransferase (C16:0, C18:1)	Lipids are pooled, replaced with pooled version (CDS)
CDS_16_0_18_9Z12Z	Phosphatidate cytidylyltransferase (C16:0, C18:2)	Lipids are pooled, replaced with pooled version (CDS)
CDS_18_9Z12Z_16_0	Phosphatidate cytidylyltransferase (C18:2,C16:0)	Lipids are pooled, replaced with pooled version (CDS)
CDS_18_9Z12Z_18_9Z	Phosphatidate cytidylyltransferase (C18:2,C18:1)	Lipids are pooled, replaced with pooled version (CDS)
CDS_18_9Z_18_9Z	Phosphatidate cytidylyltransferase (C18:1,C18:1)	Lipids are pooled, replaced with pooled version (CDS)
CDS_18_9Z_18_9Z12Z	Phosphatidate cytidylyltransferase (C18:1,C18:2)	Lipids are pooled, replaced with pooled version (CDS)
CEPTC	Choline phosphotransferase	Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
CEPTC_16_0_16_0	Choline phosphotransferase (C16:0, C16:0)	Lipids are pooled, replaced with pooled version (CEPTC). Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
CEPTC_16_0_18_9Z	Choline phosphotransferase (C16:0, C18:1)	Lipids are pooled, replaced with pooled version (CEPTC). Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
