reactions	name	reaction	gene reaction rule	subsystem	spontaneous	proteomic evidence (#studies)	references	notes	metatlas
5FLUDPK	Nucleoside-diphosphate kinase (ATP:5-fluorouridine 5-diphosphate)	atp_c + 5fludp_c --> adp_c + 5flutp_c	NME1 or (NME1 and NME2) or NME2 or (NME1 and NME3) or NME3	5-fluorouracil metabolism	0
5FLUMPK	Uridylate kinase (ATP:5-fluorouridine 5-monophosphate)	atp_c + 5flump_c --> adp_c + 5fludp_c	CMPK1	5-fluorouracil metabolism	0
5FLURAPT	5-fluorouracil phosphoribosyltransferase	5flura_c + prpp_c --> 5flump_c + ppi_c	UMPS	5-fluorouracil metabolism	0
D5FURADy	"5,6-dihydro-5-fluorouracil:NADP + 5-oxidoreductase"	5flura_c + nadph_c + h_c --> 56dh5flura_c + nadp_c	DPYD	5-fluorouracil metabolism	0
L2HGDHx	L-2-hydroxyglutarate dehydrogenase	akg_c + h_c + nadh_c --> 2hglut__L_c + nad_c	LDHB or LDHA or PHGDH or MDH1 or MDH2 or (LDHA and LDHB)	"Alanine, aspartate and glutamate metabolism"	0	LDHA (22);LDHB (22);MDH1 (16);PHGDH (2)	pubmed:27813142;pubmed:31473074
KDNH	2-keto-3-deoxy-D-glycero-D-galactononic acid phosphohydrolase	h2o_c + kdnp_c --> kdn_c + pi_c		Amino sugar and nucleotide sugar metabolism	0		pubmed:9765240;pubmed:14235556
UAGALDP	UDP-N-acetylgalactosamine diphosphorylase	acgal1p_c + h_c + utp_c --> ppi_c + udpacgal_c	UAP1	Amino sugar and nucleotide sugar metabolism	0
UAGDP	UDP-N-acetylglucosamine diphosphorylase	acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c	UAP1	Amino sugar and nucleotide sugar metabolism	0
EET1112EPHX	"Epoxide hydrolase (11,12-EET)"	eet1112_c + h2o_c --> dhet1112_c	EPHX1 or EPHX2	Arachidonic acid metabolism	0	EPHX1(10)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EET1314EPHX	"Epoxide hydrolase (14,15-EET)"	eet1415_c + h2o_c --> dhet1415_c	EPHX1 or EPHX2	Arachidonic acid metabolism	0	EPHX1(10)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EET56EPHX	"Epoxide hydrolase (5,6-EET)"	eet56_c + h2o_c --> dhet56_c	EPHX1 or EPHX2	Arachidonic acid metabolism	0	EPHX1(10)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EET89EPHX	"Epoxide hydrolase (8,9-EET)"	eet89_c + h2o_c --> dhet89_c	EPHX1 or EPHX2	Arachidonic acid metabolism	0	EPHX1(10)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
13DAMPPOX	"1,3-Diaminopropane:oxygen oxidoreductase (deaminating)"	13dampp_c + h2o_c + o2_c --> bamppald_c + h2o2_c + nh4_c		Arginine and proline metabolism	0		pubmed:23330127	GAPFILLING
ABUTDx	4-aminobutyraldehyde:NAD + oxidoreductase	4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c	ALDH9A1 or ALDH1A1 or ALDH3A2	Arginine and proline metabolism	0	ALDH1A1 (22);ALDH9A1 (14)	pubmed:19296407;pubmed:30914451
BAMPPALDOXx	3-amino-propanal:NAD + oxidoreductase	bamppald_c + h2o_c + nad_c --> ala_B_c + 2.0 h_c + nadh_c	ALDH3B1 or ALDH9A1 or ALDH3A2	Arginine and proline metabolism	0	ALDH9A1 (14)	pubmed:23330127;pubmed:30914451
