genes	geneRetired
NMRK1	54981_AT1
RPE	6120_AT1
RPIA	22934_AT1
COMTD1	118881_AT1
SORD	6652_AT1
AKR7A2	8574_AT1
SRM	6723_AT1
ADI1	55256_AT1
SMS	6611_AT1
TALDO1	6888_AT1
THTPA	79178_AT1
TKT	7086_AT1
TPK1	27010_AT1
ENOPH1	58478_AT1
GNPDA1	10007_AT1
TPI1	7167_AT1
GALE	2582_AT1
UGDH	7358_AT1
G6PD	2539_AT1
GALK1	2584_AT1
UROS	7390_AT1
UROD	7389_AT1
AKR1A1	10327_AT1
SLC14A1	6563_AT1
XYLB	9942_AT1
DCXR	51181_AT1
AKR1B1	231_AT1
GALT	2592_AT1
UGP2	7360_AT1
SLC2A3	6515_AT1
SLC2A4	6517_AT1
GAPDH	2597_AT1
GGCT	79017_AT1
GUK1	2987_AT1
GLUL	2752_AT1
GCLC	2729_AT1
GCLM	2730_AT1
GK2	2712_AT1
GK3	2713_AT1
GK	2710_AT1
HAGH	3029_AT1
SLC6A9	6536_AT1
GMPR	2766_AT1
GMPS	8833_AT1
PGD	5226_AT1
GPAM	57678_AT1
GSR	2936_AT2
PRDX1	5052_AT1
GPX1	2876_AT1
PRDX2	7001_AT1
GPX4	2879_AT1
GSS	2937_AT1
GUCY2F	2986_AT1
NPR1	4881_AT1
GUCY2C	2984_AT1
NPR2	4882_AT1
GUCY2D	3000_AT1
HPRT1	3251_AT1
SLC5A1	6523_AT1
CA2	760_AT1
CA1	759_AT1
CA3	761_AT1
SLC4A1	6521_AT1
HK1	3098_AT1
HK2	3099_AT1
HKDC1	80201_AT1
HK3	3101_AT1
HMBS	3145_AT1
HMOX1	3162_AT1
HMOX2	3163_AT1
IDH1	3417_AT1
IMPDH1	3614_AT1
IMPDH2	3615_AT1
SLC12A7	10723_AT1
LDHB	3945_AT1
LDHA	3939_AT1
GLO1	2739_AT1
PLA2G4A	5321_AT1
CLC	1178_AT1
LTA4H	4048_AT1
MPI	4351_AT1
MDH1	4190_AT1
ME1	4199_AT1
MAT1A	4143_AT1
SLC43A1	8501_AT1
SYNJ1	8867_AT1
INPP5D	3635_AT1
ITPKC	80271_AT1
ITPKA	3706_AT1
ITPKB	3707_AT1
IMPA1	3612_AT1
ISYNA1	51477_AT1
MTAP	4507_AT1
NADK	65220_AT1
NADSYN1	55191_AT1
SLC5A3	6526_AT1
SLC5A5	6528_AT1
NME6	10201_AT1
NME7	29922_AT1
NME3	4832_AT1
RHAG	6005_AT1
RHBG	57127_AT1
NMNAT3	349565_AT1
ZNF384	171017_AT1
NT5C2	22978_AT1
NT5C3A	51251_AT1
NT5C	30833_AT1
UMPS	7372_AT1
OPLAH	26873_AT1
ODC1	4953_AT1
PDE1A	5136_AT1
PDE4B	5142_AT1
PDE7A	5150_AT1
PDE11A	50940_AT1
PDE8B	8622_AT1
PDE4D	5144_AT1
PDE1B	5153_AT1
PDE8A	5151_AT1
PDE1C	5137_AT1
PDE4C	5143_AT1
PDE4A	5141_AT1
PDE2A	5138_AT1
PDE3A	5139_AT1
PDE7B	27115_AT1
PDE3B	5140_AT1
PNPO	55163_AT1
PDXP	57026_AT1
PCYT2	5833_AT1
PFKL	5211_AT1
PFKM	5213_AT1
GPI	2821_AT1
PGK1	5230_AT1
PGLS	25796_AT1
GOT1	2805_AT1
PLCB3	5331_AT1
PIP5K1B	8395_AT1
PIP4K2A	5305_AT1
PIP5K1C	23396_AT1
PIP4K2C	79837_AT1
PIKFYVE	200576_AT1
PIP5K1A	8394_AT1
PIP4K2B	8396_AT1
PI4K2A	55361_AT1
PI4KB	5298_AT1
PI4KA	5297_AT1
PLA2G2A	5320_AT1
PLA2G6	8398_AT1
PMM2	5373_AT1
PPA2	27068_AT1
PLPP2	8612_AT1
PLPP3	8613_AT1
PLPP1	8611_AT1
ALAD	210_AT1
PGM1	5236_AT1
PRPS1	5631_AT1
PRPS1L1	221823_AT1
PDXK	8566_AT1
AOX1	316_AT1
PKLR	5313_AT1
PKM	5315_AT1
RFK	55312_AT1
CEPT1	10390_AT1
ETNK1	55500_AT1
ETNK2	55224_AT1
LGALS13	29124_AT1
PDE10A	10846_AT1
PGM2	55276_AT1
ABCG2	9429_AT1
CRYL1	51084_AT1
TAT	6898_AT1
RENBP	5973_AT1
NAGK	55577_AT1
NANS	54187_AT1
NANP	140838_AT1
ACP1	52_AT1
ADA	100_AT1
SLC29A2	3177_AT1
AK1	203_AT1
AMD1	262_AT1
ADCY1	107_AT1
ADCY9	115_AT1
ADCY7	113_AT1
ADCY5	111_AT1
ADCY6	112_AT1
ADCY2	108_AT1
ADCY4	196883_AT1
ADCY3	109_AT1
ADCY8	114_AT1
ADK	132_AT1
SLC29A1	2030_AT1
APRT	353_AT1
AMDHD2	51005_AT1
AGPAT4	56895_AT1
AGPAT2	10555_AT1
AGPAT1	10554_AT1
AGPAT5	55326_AT1
AGPAT3	56894_AT1
GPAT4	137964_AT1
AHCY	191_AT1
SLC38A2	54407_AT1
SLC38A1	81539_AT1
SLC7A2	6542_AT1
SLC6A14	11254_AT1
SLC7A1	6541_AT1
SLC38A4	55089_AT1
SLC7A3	84889_AT1
ALDH3A1	218_AT1
ALDH9A1	223_AT1
ALDH1A2	8854_AT2
ALDH1A1	216_AT1
