mets	metRetired
35camp	camp
FA_hs_16_0	hdca
FA_hs_18_9Z	ocdcea
FA_hs_18_9Z12Z	lnlc
FAcoa_hs_16_0	pmtcoa
FAcoa_hs_18_9Z	odecoa
FAcoa_hs_18_9Z12Z	lnlccoa
FAcrn_hs_16_0	pmtcrn
FAcrn_hs_18_9Z	odecrn
FAcrn_hs_18_9Z12Z	lnlccrn
adrnl__L	adrnl
ahcys__L	ahcys
amet__L	amet
cdpdag_hs_16_0_18_9Z	cdpdag_hs_16_0_18_1
cdpdag_hs_16_0_18_9Z12Z	cdpdag_hs_16_0_18_2
cdpdag_hs_18_9Z12Z_16_0	cdpdag_hs_18_2_16_0
cdpdag_hs_18_9Z12Z_18_9Z	cdpdag_hs_18_2_18_1
cdpdag_hs_18_9Z_18_9Z	cdpdag_hs_18_1_18_1
cdpdag_hs_18_9Z_18_9Z12Z	cdpdag_hs_18_1_18_2
dag_hs_16_0_18_9Z	dag_hs_16_0_18_1
dag_hs_16_0_18_9Z12Z	dag_hs_16_0_18_2
dag_hs_18_9Z12Z_16_0	dag_hs_18_2_16_0
dag_hs_18_9Z12Z_18_9Z	dag_hs_18_2_18_1
dag_hs_18_9Z_18_9Z	dag_hs_18_1_18_1
dag_hs_18_9Z_18_9Z12Z	dag_hs_18_1_18_2
dhdascb__L	dhdascb
dpam__L	dopa
gglucys__L	glucys
lpa_hs_16_0	alpa_hs_16_0
lpa_hs_18_9Z	alpa_hs_18_1
lpa_hs_18_9Z12Z	alpa_hs_18_2
lpc_hs_16_0	lpchol_hs_16_0
lpc_hs_18_9Z	lpchol_hs_18_1
lpc_hs_18_9Z12Z	lpchol_hs_18_2
mepi__L	mepi
nrpphr__L	nrpphr
orn__L	orn
pa_hs_16_0_18_9Z	pa_hs_16_0_18_1
pa_hs_16_0_18_9Z12Z	pa_hs_16_0_18_2
pa_hs_18_9Z12Z_16_0	pa_hs_18_2_16_0
pa_hs_18_9Z12Z_18_9Z	pa_hs_18_2_18_1
pa_hs_18_9Z_18_9Z	pa_hs_18_1_18_1
pa_hs_18_9Z_18_9Z12Z	pa_hs_18_1_18_2
pail45p_hs_16_0_18_9Z	pail45p_hs_16_0_18_1
pail45p_hs_16_0_18_9Z12Z	pail45p_hs_16_0_18_2
pail45p_hs_18_9Z12Z_16_0	pail45p_hs_18_2_16_0
pail45p_hs_18_9Z12Z_18_9Z	pail45p_hs_18_2_18_1
pail45p_hs_18_9Z_18_9Z	pail45p_hs_18_1_18_1
pail45p_hs_18_9Z_18_9Z12Z	pail45p_hs_18_1_18_2
pail4p_hs_16_0_18_9Z	pail4p_hs_16_0_18_1
pail4p_hs_16_0_18_9Z12Z	pail4p_hs_16_0_18_2
pail4p_hs_18_9Z12Z_16_0	pail4p_hs_18_2_16_0
pail4p_hs_18_9Z12Z_18_9Z	pail4p_hs_18_2_18_1
pail4p_hs_18_9Z_18_9Z	pail4p_hs_18_1_18_1
pail4p_hs_18_9Z_18_9Z12Z	pail4p_hs_18_1_18_2
pail_hs_16_0_18_9Z	pail_hs_16_0_18_1
