rxns	rxnRetired
4PYRDXABCte	4PYRDX
ACt2	ACt2r
ADRNLt	ADRNLtu
AHC	AHCi
ARDFE2	ARD
ARGtec	ARGt5r
BILIREDy	BILIRED
CAATPS2	CAATPS
CAMPABCte	CAMPt
CDIPT_16_0_16_0	CDIPTr_16_0_16_0
CDIPT_16_0_18_9Z	CDIPTr_16_0_18_1
CDIPT_16_0_18_9Z12Z	CDIPTr_16_0_18_2
CDIPT_18_9Z12Z_16_0	CDIPTr_18_2_16_0
CDIPT_18_9Z12Z_18_9Z	CDIPTr_18_2_18_1
CDIPT_18_9Z_18_9Z	CDIPTr_18_1_18_1
CDIPT_18_9Z_18_9Z12Z	CDIPTr_18_1_18_2
CDS_16_0_18_9Z	CDS_16_0_18_1
CDS_16_0_18_9Z12Z	CDS_16_0_18_2
CDS_18_9Z12Z_16_0	CDS_18_2_16_0
CDS_18_9Z12Z_18_9Z	CDS_18_2_18_1
CDS_18_9Z_18_9Z	CDS_18_1_18_1
CDS_18_9Z_18_9Z12Z	CDS_18_1_18_2
CEPTC_16_0_18_9Z	CEPTC_16_0_18_1
CEPTC_16_0_18_9Z12Z	CEPTC_16_0_18_2
CEPTC_18_9Z12Z_16_0	CEPTC_18_2_16_0
CEPTC_18_9Z12Z_18_9Z	CEPTC_18_2_18_1
CEPTC_18_9Z_18_9Z	CEPTC_18_1_18_1
CEPTC_18_9Z_18_9Z12Z	CEPTC_18_1_18_2
CEPTE_16_0_18_9Z	CEPTE_16_0_18_1
CEPTE_16_0_18_9Z12Z	CEPTE_16_0_18_2
CEPTE_18_9Z12Z_16_0	CEPTE_18_2_16_0
CEPTE_18_9Z12Z_18_9Z	CEPTE_18_2_18_1
CEPTE_18_9Z_18_9Z	CEPTE_18_1_18_1
CEPTE_18_9Z_18_9Z12Z	CEPTE_18_1_18_2
CGMPABCte	CGMPt
CRNAT_16_0	C160CPT1
CRNAT_16_0rbc	C160CPT2rbc
CRNAT_18_9Z	C181CPT1
CRNAT_18_9Z12Z	LNLCCPT1
CRNAT_18_9Z12Zrbc	LNLCCPT2rbc
CRNAT_18_9Zrbc	C181CPT2rbc
CYSLNET	CYSL
CYSTL1	CYSTCYSL
Cl_PItex	ClPItex
DAGK_16_0_16_0	DAGK_hs_16_0_16_0
DAGK_16_0_18_9Z	DAGK_hs_16_0_18_1
DAGK_16_0_18_9Z12Z	DAGK_hs_16_0_18_2
DAGK_18_9Z12Z_16_0	DAGK_hs_18_2_16_0
DAGK_18_9Z12Z_18_9Z	DAGK_hs_18_2_18_1
DAGK_18_9Z_18_9Z	DAGK_hs_18_1_18_1
DAGK_18_9Z_18_9Z12Z	DAGK_hs_18_1_18_2
DM_adprbp_c	SK_adprbp_c
DM_mi1345p_c	SK_mi1345p_c
DM_mi134p_c	SK_mi134p_c
DM_mi145p_c	SK_mi145p_c
DM_mi14p_c	SK_mi14p_c
EX_35camp_e	EX_camp_e
EX_FA_hs_16_0_e	EX_hdca_e
EX_FA_hs_18_9Z12Z_e	EX_lnlc_e
EX_FA_hs_18_9Z_e	EX_ocdcea_e
EX_adrnl__L_e	EX_adrnl_e
EX_dhdascb__L_e	EX_dhdascb_e
EX_dpam__L_e	EX_dopa_e
EX_mepi__L_e	EX_mepi_e
EX_nrpphr__L_e	EX_nrpphr_e
EX_protres_Nwadpribarg__L_e	EX_protein_Nwadpribarg__L_e
EX_protres_arg__L_e	EX_protein_arg__L_e
FACOAL_16_0	FACOAL160
FACOAL_18_9Z	FACOAL181
FACOAL_18_9Z12Z	FACOAL1821
FAt_16_0	HDCAt
FAt_18_9Z	OCDCEAt
FAt_18_9Z12Z	LNLCt
FMNPH	ACP1_FMN
G6PDH2	G6PDH2r
GALK	GALKr
GALU	GALUi
GAL_Dt	GALt1r
GGLUCTC	GGLUCT
GLY_Cl_2Nat	GLYt7_211_r
GPAT_16_0	GPAM_hs_16_0;GPAM_hs_16_1
GPAT_18_9Z	GPAM_hs_18_1;GPAM_hs_18_3
GPAT_18_9Z12Z	GPAM_hs_18_2;GPAM_hs_18_4
GTHOXABCte	GTHOXti2
GTHOy	GTHOr
GTHP	GTHPi
HCO3_Cltex	HCO3_CLt
HSERL1	HSERL1
ICDHy	ICDHyr
KHtex	NaKtex
LCMTPP2A	LCMTPPP2CA
LDPAMMT	DOPAMT
LDPAMt	DOPAtu
LPAAT_16_0_16_0	AGPAT1_16_0_16_0;AGPAT1_16_0_16_1
LPAAT_16_0_18_9Z	AGPAT1_16_0_18_1;AGPAT1_16_0_18_3
LPAAT_16_0_18_9Z12Z	AGPAT1_16_0_18_2;AGPAT1_16_0_18_4
LPAAT_18_9Z12Z_16_0	AGPAT1_18_2_16_0
LPAAT_18_9Z12Z_18_9Z	AGPAT1_18_2_18_1
LPAAT_18_9Z_18_9Z	AGPAT1_18_1_18_1;AGPAT1_18_1_18_3
LPAAT_18_9Z_18_9Z12Z	AGPAT1_18_1_18_2;AGPAT1_18_1_18_4
LPCLPLB_16_0	LPASE_16_0
LPCLPLB_18_9Z	LPASE_18_1
LPCLPLB_18_9Z12Z	LPASE_18_2
L_LACt2	L_LACt2r
MI1345P5PP	MI1345PP
MI145P3K	MI145PK
MI145P5PP	MI145PP
NADHload	DM_nadh
NCAMt	NCAMUP
NDPADPe	NDPAe
NDPADPe	NTDADPe;NDPAe
NICHYD	NT5C
NNAT	NNATr
NO2_2Natex	NO22Natex
NRPPHRt	NRPPHRtu
NTD2AMP	2NTDA
NTD2CMP	2NTDC
NTD2GMP	2NTDG
NTD2UMP	2NTDU
NTDADPe	NDPAe
NTDAMP	NTD7
NTDAMPe	NTDAe
NTDCMP	NTD4
NTDDAMP	NTD6
