	genes	geneRetired
0	Abcg2_AT1	9429
1	Adi1_AT1	55256
2	Enoph1_AT1	58478
3	Etnk1_AT1	55500
4	Lgals13_AT1	29124
5	Pde10A_AT1	10846
6	Pgm2_AT1	55276
7	Cryl1_AT1	51084
8	Cept1_AT1	10390_AT1
9	Etnk2_AT1	55224_AT1
10	Abcc4_AT1	Abcc4_1_e
11	Rhag_AT1	Rhag_1_e
12	Rhbg_AT1	Rhbg_1_e
13	Slc12a7_AT1	Slc12a7_1_e
14	Slc14a1_AT1	Slc14a1_1_e
15	Slc29a1_AT1	Slc29a1_1_e
16	Slc29a2_AT1	Slc29a2_1_e
17	Slc2a11_AT1	Slc2a11_1_e
18	Slc2a1_AT1	Slc2a1_1_e
19	Slc2a2_AT1	Slc2a2_1_e
20	Slc2a3_AT1	Slc2a3_1_e
21	Slc2a4_AT1	Slc2a4_1_e
22	Slc2a5_AT1	Slc2a5_1_e
23	Slc2a7_AT1	Slc2a7_1_e
24	Slc2a8_AT1	Slc2a8_1_e
25	Slc4a1_AT1	Slc4a1_1_e
26	Slc5a1_AT1	Slc5a1_1_e
27	Slc5a3_AT1	Slc5a3_1_e
28	Slc5a5_AT1	Slc5a5_1_e
