	mets	metRetired
0	adrnl__L	adrnl
1	ahcys__L	ahcys
2	amet__L	amet
3	dhdascb__L	dhdascb
4	mepi__L	mepi
5	nrpphr__L	nrpphr
6	orn__L	orn
7	dpam__L	dopa
8	gglucys__L	glucys
9	slgth__R	lgt__S
10	udpglc__D	udpg
11	35camp	camp
12	FA_hs_16_0	hdca
13	FA_hs_18_9Z	ocdcea
14	FA_hs_18_9Z12Z	lnlc
15	FAcoa_hs_16_0	pmtcoa
16	FAcoa_hs_18_9Z	odecoa
17	FAcoa_hs_18_9Z12Z	lnlccoa
18	FAcrn_hs_16_0	pmtcrn
19	FAcrn_hs_18_9Z	odecrn
20	FAcrn_hs_18_9Z12Z	lnlccrn
21	dag_hs_16_0_18_9Z	dag_hs_16_0_18_1
22	dag_hs_16_0_18_9Z12Z	dag_hs_16_0_18_2
23	dag_hs_18_9Z_18_9Z	dag_hs_18_1_18_1
24	dag_hs_18_9Z_18_9Z12Z	dag_hs_18_1_18_2
25	dag_hs_18_9Z12Z_16_0	dag_hs_18_2_16_0
26	dag_hs_18_9Z12Z_18_9Z	dag_hs_18_2_18_1
27	pa_hs_16_0_18_9Z	pa_hs_16_0_18_1
28	pa_hs_16_0_18_9Z12Z	pa_hs_16_0_18_2
29	pa_hs_18_9Z_18_9Z	pa_hs_18_1_18_1
30	pa_hs_18_9Z_18_9Z12Z	pa_hs_18_1_18_2
31	pa_hs_18_9Z12Z_16_0	pa_hs_18_2_16_0
32	pa_hs_18_9Z12Z_18_9Z	pa_hs_18_2_18_1
33	lpa_hs_16_0	alpa_hs_16_0
34	lpa_hs_18_9Z	alpa_hs_18_1
35	lpa_hs_18_9Z12Z	alpa_hs_18_2
36	pc_hs_16_0_16_0	pchol_hs_16_0_16_0
37	pc_hs_16_0_18_9Z	pchol_hs_16_0_18_1
38	pc_hs_16_0_18_9Z12Z	pchol_hs_16_0_18_2
39	pc_hs_18_9Z_18_9Z	pchol_hs_18_1_18_1
40	pc_hs_18_9Z_18_9Z12Z	pchol_hs_18_1_18_2
41	pc_hs_18_9Z12Z_16_0	pchol_hs_18_2_16_0
42	pc_hs_18_9Z12Z_18_9Z	pchol_hs_18_2_18_1
43	lpc_hs_16_0	lpchol_hs_16_0
44	lpc_hs_18_9Z	lpchol_hs_18_1
45	lpc_hs_18_9Z12Z	lpchol_hs_18_2
46	pe_hs_16_0_18_9Z	pe_hs_16_0_18_1
47	pe_hs_16_0_18_9Z12Z	pe_hs_16_0_18_2
48	pe_hs_18_9Z_18_9Z	pe_hs_18_1_18_1
49	pe_hs_18_9Z_18_9Z12Z	pe_hs_18_1_18_2
50	pe_hs_18_9Z12Z_16_0	pe_hs_18_2_16_0
51	pe_hs_18_9Z12Z_18_9Z	pe_hs_18_2_18_1
52	pail_hs_16_0_18_9Z	pail_hs_16_0_18_1
53	pail_hs_16_0_18_9Z12Z	pail_hs_16_0_18_2
54	pail_hs_18_9Z_18_9Z	pail_hs_18_1_18_1
55	pail_hs_18_9Z_18_9Z12Z	pail_hs_18_1_18_2
56	pail_hs_18_9Z12Z_16_0	pail_hs_18_2_16_0
57	pail_hs_18_9Z12Z_18_9Z	pail_hs_18_2_18_1
58	pail4p_hs_16_0_18_9Z	pail4p_hs_16_0_18_1
59	pail4p_hs_16_0_18_9Z12Z	pail4p_hs_16_0_18_2
60	pail4p_hs_18_9Z_18_9Z	pail4p_hs_18_1_18_1
61	pail4p_hs_18_9Z_18_9Z12Z	pail4p_hs_18_1_18_2
62	pail4p_hs_18_9Z12Z_16_0	pail4p_hs_18_2_16_0
63	pail4p_hs_18_9Z12Z_18_9Z	pail4p_hs_18_2_18_1
64	pail45p_hs_16_0_18_9Z	pail45p_hs_16_0_18_1
65	pail45p_hs_16_0_18_9Z12Z	pail45p_hs_16_0_18_2
66	pail45p_hs_18_9Z_18_9Z	pail45p_hs_18_1_18_1
67	pail45p_hs_18_9Z_18_9Z12Z	pail45p_hs_18_1_18_2
68	pail45p_hs_18_9Z12Z_16_0	pail45p_hs_18_2_16_0
69	pail45p_hs_18_9Z12Z_18_9Z	pail45p_hs_18_2_18_1
70	cdpdag_hs_16_0_18_9Z	cdpdag_hs_16_0_18_1
71	cdpdag_hs_16_0_18_9Z12Z	cdpdag_hs_16_0_18_2
72	cdpdag_hs_18_9Z_18_9Z	cdpdag_hs_18_1_18_1
73	cdpdag_hs_18_9Z_18_9Z12Z	cdpdag_hs_18_1_18_2
74	cdpdag_hs_18_9Z12Z_16_0	cdpdag_hs_18_2_16_0
75	cdpdag_hs_18_9Z12Z_18_9Z	cdpdag_hs_18_2_18_1
