	genes	ec-code	uniprot	class	class.description	subclass	subclass.description	subsubclass	subsubclass.description	ec-code.description	alternate	catalytic activity	comments
0	A4GALT	2.4.1.228	Q9NPC4	2.-.-.-	Transferases	2.4.-.-	Glycosyltransferases	2.4.1.-	Hexosyltransferases	lactosylceramide 4-alpha-galactosyltransferase	Galbeta1-4Glcbeta1-Cer alpha1,4-galactosyltransferase;globotriaosylceramide/CD77 synthase;histo-blood group P(k) UDP-galactose	a beta-D-Gal-(1->4)-beta-D-Glc-(1<->1)-Cer(d18:1(4E)) + UDP-alpha-D-;galactose = a globoside Gb3Cer (d18:1(4E)) + H(+) + UDP	
1	AARS1	6.1.1.7	P49588	6.-.-.-	Ligases	6.1.-.-	Forming carbon-oxygen bonds	6.1.1.-	Ligases forming aminoacyl-tRNA and related compounds	alanine--tRNA ligase	alanine translase;alanyl-tRNA synthetase	ATP + L-alanine + tRNA(Ala) = AMP + diphosphate + L-alanyl-tRNA(Ala)	
2	AASDHPPT	2.7.8.7	Q9NRN7	2.-.-.-	Transferases	2.7.-.-	Transferring phosphorus-containing groups	2.7.8.-	Transferases for other substituted phosphate groups	holo-[acyl-carrier-protein] synthase	4'-phosphopantetheinyl transferase;ACPS;acyl carrier protein holoprotein (holo-ACP) synthetase;acyl carrier protein synthase;acyl carrier protein synthetase;alphaaminoadipic semialdehyde dehydrogenase-phosphopantetheinyl;transferase;holo-ACP synthase;holo-ACP synthetase;holosynthase;L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl;transferase;P-pant transferase;PPTase	apo-[ACP] + CoA = adenosine 3',5'-bisphosphate + H(+) + holo-[ACP]	-!- All polyketide synthases, fatty-acid synthases and non-ribosomal;    peptide synthases require post-translational modification of their;    constituent acyl-carrier-protein (ACP) domains to become;    catalytically active;-!- The inactive apo-proteins are converted into their active holo-forms;    by transfer of the 4'-phosphopantetheinyl moiety of CoA to the;    sidechain hydroxy group of a conserved serine residue in each ACP;    domain;-!- The enzyme from human can activate both the ACP domain of the human;    cytosolic multifunctional fatty acid synthase system (EC 2.3.1.85);    and that associated with human mitochondria as well as peptidyl-;    carrier and acyl-carrier-proteins from prokaryotes;-!- Removal of the 4-phosphopantetheinyl moiety from holo-ACP is carried;    out by EC 3.1.4.14
3	ABCA1	7.6.2.1	O95477	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	P-type phospholipid transporter	flippase;phospholipid-transporting ATPase	ATP + H2O + phospholipidSide 1 = ADP + phosphate + phospholipidSide 2	-!- A P-type ATPase that undergoes covalent phosphorylation during the;    transport cycle;-!- Different forms of the enzyme move phospholipids such as;    phosphatidylcholine, lyso-phosphatidylcholine, phosphatidylserine,;    phosphatidylethanolamine, phosphatidyglycerol, sphingomyelin and;    glucosylceramide from one membrane face to the other ('flippase');-!- Formerly EC 3.6.3.1
4	ABCA7	7.6.2.1	Q8IZY2	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	P-type phospholipid transporter	flippase;phospholipid-transporting ATPase	ATP + H2O + phospholipidSide 1 = ADP + phosphate + phospholipidSide 2	-!- A P-type ATPase that undergoes covalent phosphorylation during the;    transport cycle;-!- Different forms of the enzyme move phospholipids such as;    phosphatidylcholine, lyso-phosphatidylcholine, phosphatidylserine,;    phosphatidylethanolamine, phosphatidyglycerol, sphingomyelin and;    glucosylceramide from one membrane face to the other ('flippase');-!- Formerly EC 3.6.3.1
5	ABCB1	7.6.2.1	P08183	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	P-type phospholipid transporter	flippase;phospholipid-transporting ATPase	ATP + H2O + phospholipidSide 1 = ADP + phosphate + phospholipidSide 2	-!- A P-type ATPase that undergoes covalent phosphorylation during the;    transport cycle;-!- Different forms of the enzyme move phospholipids such as;    phosphatidylcholine, lyso-phosphatidylcholine, phosphatidylserine,;    phosphatidylethanolamine, phosphatidyglycerol, sphingomyelin and;    glucosylceramide from one membrane face to the other ('flippase');-!- Formerly EC 3.6.3.1
6	ABCB1	7.6.2.2	P08183	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	ABC-type xenobiotic transporter	ATP phosphohydrolase (steroid-exporting);MDR protein;multidrug-resistance protein;PDR protein;P-glycoprotein;pleiotropic-drug-resistance protein;steroid-transporting ATPase;xenobiotic-transporting ATPase	ATP + H2O + xenobioticSide 1 = ADP + phosphate + xenobioticSide 2	-!- An ATP-binding cassette (ABC) type transporter, characterized by the;    presence of two similar ATP-binding domains/proteins and two integral;    membrane domains/proteins;-!- Does not undergo phosphorylation during the transport process;-!- The enzymes from Gram-positive bacteria and eukaryotic cells export a;    number of drugs with unusual specificity, covering various groups of;    unrelated substances while ignoring some that are closely related;    structurally;-!- Several distinct enzymes may be present in a single eukaryotic cell;-!- Many of them also transport glutathione--drug conjugates (see;    EC 7.6.2.3) while others also show some 'flippase' activity (cf;    EC 7.6.2.1);-!- Formerly EC 3.6.3.44
7	ABCB4	7.6.2.1	P21439	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	P-type phospholipid transporter	flippase;phospholipid-transporting ATPase	ATP + H2O + phospholipidSide 1 = ADP + phosphate + phospholipidSide 2	-!- A P-type ATPase that undergoes covalent phosphorylation during the;    transport cycle;-!- Different forms of the enzyme move phospholipids such as;    phosphatidylcholine, lyso-phosphatidylcholine, phosphatidylserine,;    phosphatidylethanolamine, phosphatidyglycerol, sphingomyelin and;    glucosylceramide from one membrane face to the other ('flippase');-!- Formerly EC 3.6.3.1
8	ABCB6	7.6.2.5	Q9NP58	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	ABC-type heme transporter	heme-transporting ATPase	ATP + H2O + heme b(in) = ADP + H(+) + heme b(out) + phosphate	-!- An ATP-binding cassette (ABC) type transporter, characterized by the;    presence of two similar ATP-binding domains/proteins and two integral;    membrane domains/proteins;-!- Does not undergo phosphorylation during the transport process;-!- The enzyme has been described from Gram-negative bacteria and green;    plants;-!- Formerly EC 3.6.3.41
9	ABCC1	7.6.2.2	P33527	7.-.-.-	Translocases	7.6.-.-	Catalysing the translocation of other compounds	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate	ABC-type xenobiotic transporter	ATP phosphohydrolase (steroid-exporting);MDR protein;multidrug-resistance protein;PDR protein;P-glycoprotein;pleiotropic-drug-resistance protein;steroid-transporting ATPase;xenobiotic-transporting ATPase	ATP + H2O + xenobioticSide 1 = ADP + phosphate + xenobioticSide 2	-!- An ATP-binding cassette (ABC) type transporter, characterized by the;    presence of two similar ATP-binding domains/proteins and two integral;    membrane domains/proteins;-!- Does not undergo phosphorylation during the transport process;-!- The enzymes from Gram-positive bacteria and eukaryotic cells export a;    number of drugs with unusual specificity, covering various groups of;    unrelated substances while ignoring some that are closely related;    structurally;-!- Several distinct enzymes may be present in a single eukaryotic cell;-!- Many of them also transport glutathione--drug conjugates (see;    EC 7.6.2.3) while others also show some 'flippase' activity (cf;    EC 7.6.2.1);-!- Formerly EC 3.6.3.44
