#TCID	Subfamily	Family	Fam_abbreviation	Superfamily
1.A.1.1.1	1.A.1.1	1.A.1	VIC	VIC Superfamily
1.A.1.10.1	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.10	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.11	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.12	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.13	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.14	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.15	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.16	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.17	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.18	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.19	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.2	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.20	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.21	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.22	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.3	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.4	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.5	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.6	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.7	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.8	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.10.9	1.A.1.10	1.A.1	VIC	VIC Superfamily
1.A.1.11.1	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.10	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.11	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.12	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.13	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.14	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.15	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.16	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.17	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.18	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.19	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.2	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.20	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.21	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.22	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.23	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.24	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.25	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.26	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.27	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.28	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.29	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.3	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.30	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.31	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.32	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.33	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.34	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.35	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.36	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.4	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.5	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.6	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.7	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.8	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.11.9	1.A.1.11	1.A.1	VIC	VIC Superfamily
1.A.1.12.1	1.A.1.12	1.A.1	VIC	VIC Superfamily
1.A.1.12.2	1.A.1.12	1.A.1	VIC	VIC Superfamily
1.A.1.12.3	1.A.1.12	1.A.1	VIC	VIC Superfamily
1.A.1.12.4	1.A.1.12	1.A.1	VIC	VIC Superfamily
1.A.1.12.5	1.A.1.12	1.A.1	VIC	VIC Superfamily
1.A.1.12.6	1.A.1.12	1.A.1	VIC	VIC Superfamily
1.A.1.13.1	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.10	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.2	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.3	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.4	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.5	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.6	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.7	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.8	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.13.9	1.A.1.13	1.A.1	VIC	VIC Superfamily
1.A.1.14.1	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.14.2	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.14.3	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.14.4	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.14.5	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.14.6	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.14.7	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.14.8	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.14.9	1.A.1.14	1.A.1	VIC	VIC Superfamily
1.A.1.15.1	1.A.1.15	1.A.1	VIC	VIC Superfamily
1.A.1.15.2	1.A.1.15	1.A.1	VIC	VIC Superfamily
1.A.1.15.3	1.A.1.15	1.A.1	VIC	VIC Superfamily
1.A.1.15.4	1.A.1.15	1.A.1	VIC	VIC Superfamily
1.A.1.15.5	1.A.1.15	1.A.1	VIC	VIC Superfamily
1.A.1.15.6	1.A.1.15	1.A.1	VIC	VIC Superfamily
1.A.1.15.7	1.A.1.15	1.A.1	VIC	VIC Superfamily
1.A.1.15.8	1.A.1.15	1.A.1	VIC	VIC Superfamily
1.A.1.16.1	1.A.1.16	1.A.1	VIC	VIC Superfamily
1.A.1.16.2	1.A.1.16	1.A.1	VIC	VIC Superfamily
1.A.1.16.3	1.A.1.16	1.A.1	VIC	VIC Superfamily
1.A.1.16.4	1.A.1.16	1.A.1	VIC	VIC Superfamily
1.A.1.16.5	1.A.1.16	1.A.1	VIC	VIC Superfamily
1.A.1.16.6	1.A.1.16	1.A.1	VIC	VIC Superfamily
1.A.1.16.7	1.A.1.16	1.A.1	VIC	VIC Superfamily
1.A.1.16.8	1.A.1.16	1.A.1	VIC	VIC Superfamily
1.A.1.17.1	1.A.1.17	1.A.1	VIC	VIC Superfamily
1.A.1.17.2	1.A.1.17	1.A.1	VIC	VIC Superfamily
1.A.1.18.1	1.A.1.18	1.A.1	VIC	VIC Superfamily
1.A.1.18.2	1.A.1.18	1.A.1	VIC	VIC Superfamily
1.A.1.19.1	1.A.1.19	1.A.1	VIC	VIC Superfamily
1.A.1.19.2	1.A.1.19	1.A.1	VIC	VIC Superfamily
1.A.1.19.3	1.A.1.19	1.A.1	VIC	VIC Superfamily
1.A.1.2.1	1.A.1.2	1.A.1	VIC	VIC Superfamily
1.A.1.2.10	1.A.1.2	1.A.1	VIC	VIC Superfamily
