reaction	genes	rho	pvalue	subsystem	category
PSFLOPt	ABCA1;ABCA7	1.0	0.0	Transport, extracellular	Transport reactions
PCFLOPt	ABCA1;ABCA7;ABCB1;ABCB4	1.0	0.0	Transport, extracellular	Transport reactions
SMFLOPt	ABCA1;ABCA7;ABCB1;ABCB4	1.0	0.0	Transport, extracellular	Transport reactions
PEFLOPt	ABCA7;ABCB1;ABCB4	1.0	0.0	Transport, extracellular	Transport reactions
PRGNSABCte	ABCB1	1.0	0.0	Transport, extracellular	Transport reactions
CPPP3ABCte	ABCB6	1.0	0.0	Transport, extracellular	Transport reactions
HEMATINABCte	ABCB6;ABCG2	1.0	0.0	Transport, extracellular	Transport reactions
23CGAMPABCte	ABCC1	1.0	0.0	Transport, extracellular	Transport reactions
E217BGLCRABCte	ABCC1;ABCC4;ABCG2	1.0	0.0	Transport, extracellular	Transport reactions
SPHS1PABCte	ABCC1;ABCG2	1.0	0.0	Transport, extracellular	Transport reactions
CHOLATEGTHABCte	ABCC4	1.0	0.0	Transport, extracellular	Transport reactions
DGCHOGTHABCte	ABCC4	1.0	0.0	Transport, extracellular	Transport reactions
GCHOGTHABCte	ABCC4	1.0	0.0	Transport, extracellular	Transport reactions
GDCHOGTHABCte	ABCC4	1.0	0.0	Transport, extracellular	Transport reactions
GUDCHOGTHABCte	ABCC4	1.0	0.0	Transport, extracellular	Transport reactions
LEUKTRB4ABCte	ABCC4	1.0	0.0	Transport, extracellular	Transport reactions
LEUKTRB5ABCte	ABCC4	1.0	0.0	Transport, extracellular	Transport reactions
PGE1ABCte	ABCC4	1.0	0.0	Transport, extracellular	Transport reactions
PGE2ABCte	ABCC4	1.0	0.0	Transport, extracellular	Transport reactions
PGE3ABCte	ABCC4	1.0	0.0	Transport, extracellular	Transport reactions
PGF1ABCte	ABCC4	1.0	0.0	Transport, extracellular	Transport reactions
PGF2ABCte	ABCC4	1.0	0.0	Transport, extracellular	Transport reactions
PGF3ABCte	ABCC4	1.0	0.0	Transport, extracellular	Transport reactions
TCHOGTHABCte	ABCC4	1.0	0.0	Transport, extracellular	Transport reactions
TDCHOGTHABCte	ABCC4	1.0	0.0	Transport, extracellular	Transport reactions
TUDCHOGTHABCte	ABCC4	1.0	0.0	Transport, extracellular	Transport reactions
CAMPABCte	ABCC4;ABCC5	1.0	0.0	Transport, extracellular	Transport reactions
CGMPABCte	ABCC4;ABCC5	1.0	0.0	Transport, extracellular	Transport reactions
CIMPABCte	ABCC4;ABCC5	1.0	0.0	Transport, extracellular	Transport reactions
5FLURAABCte	ABCC4;ABCC5;ABCG2	1.0	0.0	Transport, extracellular	Transport reactions
5FTHFABCte	ABCC4;ABCG2	1.0	0.0	Transport, extracellular	Transport reactions
5MTHFABCte	ABCC4;ABCG2	1.0	0.0	Transport, extracellular	Transport reactions
DHEASABCte	ABCC4;ABCG2	1.0	0.0	Transport, extracellular	Transport reactions
URATEABCte	ABCC4;ABCG2	1.0	0.0	Transport, extracellular	Transport reactions
LLACPHEABCte	ABCC5	1.0	0.0	Transport, extracellular	Transport reactions
NTPC	ABCE1	1.0	0.0	Nucleotide metabolism	Nucleotide metabolism
NTPU	ABCE1	1.0	0.0	Nucleotide metabolism	Nucleotide metabolism
INDSABCte	ABCG2	1.0	0.0	Transport, extracellular	Transport reactions
RIBFLVABCte	ABCG2	1.0	0.0	Transport, extracellular	Transport reactions
ACHEe	ACHE	1.0	0.0	Glycerophospholipid metabolism	Lipid metabolism
ACITL	ACLY	1.0	0.0	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	Carbohydrate metabolism
ACONT	ACO1	1.0	0.0	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	Carbohydrate metabolism
FACOAE_10_0	ACOT7	1.0	0.0	Acyl-CoA hydrolysis	Lipid metabolism
FACOAE_11_0	ACOT7	1.0	0.0	Acyl-CoA hydrolysis	Lipid metabolism
FACOAE_8_0	ACOT7	1.0	0.0	Acyl-CoA hydrolysis	Lipid metabolism
FACOAE_9_0	ACOT7	1.0	0.0	Acyl-CoA hydrolysis	Lipid metabolism
PROTYPP	ACP1;DUSP23;MDP1;PGP;PTPN1;PTPN11;PTPN3;PTPN6	1.0	0.0	Protein modification	Other
ADNCYC	ADCY10;ADCY2	1.0	0.0	Purine metabolism	Nucleotide metabolism
