Variables		Abundance and Age	Abundance and Age	Abundance and BMI	Abundance and BMI	Abundance and Weight	Abundance and Weight	Abundance and Height	Abundance and Height	Abundance and Hemolysis.volume	Abundance and Hemolysis.volume	Abundance and Hemolysis.hct	Abundance and Hemolysis.hct	Abundance and Hemolysis.storage_total_hb	Abundance and Hemolysis.storage_total_hb	Abundance and Hemolysis.storage_pct_hemol	Abundance and Hemolysis.storage_pct_hemol	Abundance and Hemolysis.pink_total_hb	Abundance and Hemolysis.pink_total_hb	Abundance and Hemolysis.pink_pct_hemol	Abundance and Hemolysis.pink_pct_hemol	Abundance and Recall.Transfer.Storage.Hemolysis	Abundance and Recall.Transfer.Storage.Hemolysis	Abundance and Recall.Transfer.Osmotic.Hemolysis	Abundance and Recall.Transfer.Osmotic.Hemolysis	Abundance and Recall.Transfer.Oxidative.Hemolysis	Abundance and Recall.Transfer.Oxidative.Hemolysis	Abundance and Adjusted.Storage.Hemolysis	Abundance and Adjusted.Storage.Hemolysis	Abundance and Adjusted.Osmotic.Hemolysis	Abundance and Adjusted.Osmotic.Hemolysis	Abundance and Adjusted.Oxidative.Hemolysis	Abundance and Adjusted.Oxidative.Hemolysis	Abundance and CBC.WBC	Abundance and CBC.WBC	Abundance and CBC.RBC	Abundance and CBC.RBC	Abundance and CBC.HGB	Abundance and CBC.HGB	Abundance and CBC.HCT	Abundance and CBC.HCT	Abundance and CBC.MCV	Abundance and CBC.MCV	Abundance and CBC.RDW	Abundance and CBC.RDW	Abundance and CBC.PLT	Abundance and CBC.PLT	Abundance and Ferritin	Abundance and Ferritin	subsystem	category
Spearman correlation		rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue	rho	pvalue
reaction	genes
PSFLOPt	ABCA1;ABCA7	0.1136000153464904	9.77913152373856e-07	-0.1602709903828061	4.2093216051095175e-12	-0.1764782361588831	2.1482521393721312e-14	-0.0930820193344707	6.138052674916992e-05	0.0637836430956403	0.0060900556843455	0.5013593814045125	3.320974836188599e-118	0.3743582982164047	1.475468120326117e-62	-0.129962890604853	2.11467375855944e-08	-0.0412328923156858	0.0763797618503614	-0.1158803010177585	5.884489186438261e-07	-0.0911964305710911	9.735459590518826e-05	-0.1003499877882362	1.7855626606779973e-05	-0.2112655832740521	8.071255975054904e-20	-0.1042028685135367	7.289513577886573e-06	-0.0059144393523309	0.7994319765573589	-0.0639977028370534	0.0186899234063542	0.0266732755986341	0.2564442336549991	-0.0570476798189209	0.0151537058743185	-0.0251570538446896	0.2844817538672102	-0.0276421554427523	0.2395657956115646	0.0677042214793644	0.0039350026339923	-0.080199982849905	0.0006329907024505	0.1710344053799447	2.308946704542469e-13	-0.046474034524055	0.0459397667441737	Transport, extracellular	Transport reactions
PCFLOPt	ABCA1;ABCA7;ABCB1;ABCB4	0.1136000153464904	9.77913152373856e-07	-0.1602709903828061	4.2093216051095175e-12	-0.1764782361588831	2.1482521393721312e-14	-0.0930820193344707	6.138052674916992e-05	0.0637836430956403	0.0060900556843455	0.5013593814045125	3.320974836188599e-118	0.3743582982164047	1.475468120326117e-62	-0.129962890604853	2.11467375855944e-08	-0.0412328923156858	0.0763797618503614	-0.1158803010177585	5.884489186438261e-07	-0.0911964305710911	9.735459590518826e-05	-0.1003499877882362	1.7855626606779973e-05	-0.2112655832740521	8.071255975054904e-20	-0.1042028685135367	7.289513577886573e-06	-0.0059144393523309	0.7994319765573589	-0.0639977028370534	0.0186899234063542	0.0266732755986341	0.2564442336549991	-0.0570476798189209	0.0151537058743185	-0.0251570538446896	0.2844817538672102	-0.0276421554427523	0.2395657956115646	0.0677042214793644	0.0039350026339923	-0.080199982849905	0.0006329907024505	0.1710344053799447	2.308946704542469e-13	-0.046474034524055	0.0459397667441737	Transport, extracellular	Transport reactions
SMFLOPt	ABCA1;ABCA7;ABCB1;ABCB4	0.1136000153464904	9.77913152373856e-07	-0.1602709903828061	4.2093216051095175e-12	-0.1764782361588831	2.1482521393721312e-14	-0.0930820193344707	6.138052674916992e-05	0.0637836430956403	0.0060900556843455	0.5013593814045125	3.320974836188599e-118	0.3743582982164047	1.475468120326117e-62	-0.129962890604853	2.11467375855944e-08	-0.0412328923156858	0.0763797618503614	-0.1158803010177585	5.884489186438261e-07	-0.0911964305710911	9.735459590518826e-05	-0.1003499877882362	1.7855626606779973e-05	-0.2112655832740521	8.071255975054904e-20	-0.1042028685135367	7.289513577886573e-06	-0.0059144393523309	0.7994319765573589	-0.0639977028370534	0.0186899234063542	0.0266732755986341	0.2564442336549991	-0.0570476798189209	0.0151537058743185	-0.0251570538446896	0.2844817538672102	-0.0276421554427523	0.2395657956115646	0.0677042214793644	0.0039350026339923	-0.080199982849905	0.0006329907024505	0.1710344053799447	2.308946704542469e-13	-0.046474034524055	0.0459397667441737	Transport, extracellular	Transport reactions
PEFLOPt	ABCA7;ABCB1;ABCB4	0.1136000153464904	9.77913152373856e-07	-0.1602709903828061	4.2093216051095175e-12	-0.1764782361588831	2.1482521393721312e-14	-0.0930820193344707	6.138052674916992e-05	0.0637836430956403	0.0060900556843455	0.5013593814045125	3.320974836188599e-118	0.3743582982164047	1.475468120326117e-62	-0.129962890604853	2.11467375855944e-08	-0.0412328923156858	0.0763797618503614	-0.1158803010177585	5.884489186438261e-07	-0.0911964305710911	9.735459590518826e-05	-0.1003499877882362	1.7855626606779973e-05	-0.2112655832740521	8.071255975054904e-20	-0.1042028685135367	7.289513577886573e-06	-0.0059144393523309	0.7994319765573589	-0.0639977028370534	0.0186899234063542	0.0266732755986341	0.2564442336549991	-0.0570476798189209	0.0151537058743185	-0.0251570538446896	0.2844817538672102	-0.0276421554427523	0.2395657956115646	0.0677042214793644	0.0039350026339923	-0.080199982849905	0.0006329907024505	0.1710344053799447	2.308946704542469e-13	-0.046474034524055	0.0459397667441737	Transport, extracellular	Transport reactions
PRGNSABCte	ABCB1	0.1136000153464904	9.77913152373856e-07	-0.1602709903828061	4.2093216051095175e-12	-0.1764782361588831	2.1482521393721312e-14	-0.0930820193344707	6.138052674916992e-05	0.0637836430956403	0.0060900556843455	0.5013593814045125	3.320974836188599e-118	0.3743582982164047	1.475468120326117e-62	-0.129962890604853	2.11467375855944e-08	-0.0412328923156858	0.0763797618503614	-0.1158803010177585	5.884489186438261e-07	-0.0911964305710911	9.735459590518826e-05	-0.1003499877882362	1.7855626606779973e-05	-0.2112655832740521	8.071255975054904e-20	-0.1042028685135367	7.289513577886573e-06	-0.0059144393523309	0.7994319765573589	-0.0639977028370534	0.0186899234063542	0.0266732755986341	0.2564442336549991	-0.0570476798189209	0.0151537058743185	-0.0251570538446896	0.2844817538672102	-0.0276421554427523	0.2395657956115646	0.0677042214793644	0.0039350026339923	-0.080199982849905	0.0006329907024505	0.1710344053799447	2.308946704542469e-13	-0.046474034524055	0.0459397667441737	Transport, extracellular	Transport reactions
CPPP3ABCte	ABCB6	0.1558926198717193	1.6028307004937874e-11	-0.0642620354565679	0.0057183752625396	-0.0844943476071721	0.0002765599732316	-0.0777135021535696	0.000827066828685	-0.0206151005083948	0.3757770134195235	0.3241979751495393	1.7454579313848251e-46	0.2748942033245326	2.137366993657701e-33	-0.0318188814149376	0.1718916369973877	0.0033449055129649	0.885741203334685	-0.1237731666172845	9.411077323229783e-08	-0.0270578379106046	0.2484746116015582	-0.120822346277308	2.3248649468548333e-07	-0.1654182310030518	1.220237019387065e-12	-0.0167994343434157	0.4708137025647908	-0.0527501733187865	0.0233481975572297	-0.1077338044609569	7.300474165509727e-05	0.0008611375872865	0.9707790135891782	-0.082421496714618	0.0004446804021995	-0.0289260955837417	0.218426818274036	-0.0176168606137707	0.4535872112373504	0.1306728484323042	2.3702814528220077e-08	-0.0350716192385944	0.135609169499283	0.1234935260374164	1.3392551098474256e-07	-0.098794038604551	2.1274859170399288e-05	Transport, extracellular	Transport reactions
HEMATINABCte	ABCB6;ABCG2	0.1562002258030592	1.4609083132894355e-11	-0.074835550719977	0.0012846063625309	-0.1010377650593787	1.351169094619394e-05	-0.0902878659225585	0.0001016403917229	-0.0167420777899917	0.4719695983506836	0.3634852472191637	8.022855125592343e-59	0.3001097722004099	9.022535434421868e-40	-0.0511858596753794	0.027909143949962	-0.003787133656937	0.8707600539658236	-0.1357283414501	4.687034484223818e-09	-0.0384124622998101	0.101283881811994	-0.1269326551842387	5.482819329171165e-08	-0.1687482408225709	4.226093718416844e-13	-0.0323478170088225	0.1648715055419148	-0.0539553054471689	0.0203640981970706	-0.1046130941025011	0.0001177614670582	0.0143789188608036	0.5407460433305631	-0.0850470103252321	0.0002897269836795	-0.0357639469950465	0.1280538288010016	-0.0238178783962585	0.3109102660450013	0.1299916789970255	2.80500500499422e-08	-0.0393962579341455	0.0936407898507149	0.1420023555814711	1.2686530952017843e-09	-0.0983021487519495	2.338949948666102e-05	Transport, extracellular	Transport reactions
23CGAMPABCte	ABCC1	0.0006015289492164	0.9793839559316448	-0.0821046039538981	0.0004106839271327	-0.0976974871988517	2.586897914508688e-05	-0.0620944487142246	0.0075826432347895	0.0768060425965863	0.000951749876965	0.2975998644450697	4.1617023607663774e-39	0.167673908668035	4.029470065572481e-13	-0.0896950403508556	0.0001143749837018	-0.1045669911730521	6.65367957368749e-06	-0.0714866012887053	0.0021053943636941	-0.0680554269253714	0.003666480111627	-0.0771513224854483	0.0009844155588997	-0.1422997272656983	1.0655133810657314e-09	-0.086012215362227	0.0002165572354382	-0.0200930375005658	0.3879892284202186	-0.0147152511288006	0.5890582428669868	-0.0155025914219385	0.509579717033795	-0.0438661291185984	0.0619175606761384	-0.0328613678422211	0.162040505796334	-0.0648431971826525	0.0057585817632358	-0.0106472219394229	0.6506015276295478	-0.0134940574531846	0.5659412043902068	0.0932874525187207	6.980279367944944e-05	-0.0270013522218281	0.2463637032001422	Transport, extracellular	Transport reactions
