reactions	minimum	maximum
13DAMPPOX	0.0	0.1087147487069766
15KPGE1Ry	0.0	0.0
15KPGE2Ry	0.0	0.0
15KPGE3Ry	0.0	0.0
15KPGF1Ry	0.0	0.0
15KPGF2Ry	0.0	0.0
15KPGF3Ry	0.0	0.0
1P3H5Ct	-0.3619308580113236	0.0
1PYR5Ct	-0.3619308580113236	0.0
1SGTH2OHE1ABCte	0.0	1.8070190669574344
1SGTH2OHE2ABCte	0.0	1.8070190669574333
23CGAMPABCte	0.0	0.92409813610062
23CGAMP_AICARtex	0.0	0.92409813610062
23CGAMP_OHtex	0.0	0.92409813610062
23CGAMP_THMMPtex	0.0	0.92409813610062
23CN3PA	0.0	0.0
23CN3PC	0.0	0.0
23CN3PG	0.0	0.0
23CN3PU	0.0	0.0
23E1QN1GST	0.0	1.8070190669574333
23E1QN4GST	0.0	1.8070190669574333
23E1SQOX	0.0	71.53707054290149
23E2QN1GST	0.0	1.8070190669574333
23E2QN4GST	0.0	1.8070190669574333
23E2SQOX	0.0	71.53707054455157
2ABUTENT	0.0	6.979905551975104
2ABUTGLYDP	0.0	2.241096060222896
2ABUTTA	-2.939014691096182	2.939014691096182
2ABUTtec	-2.939014691096182	2.939014691096182
2AMACT	0.0	7.541539506909784
2DADNt	-8.319866481518227	7.301025630333981
2DCYTt	0.0	0.0
2DGSNt	-4.898334396329627	7.25504900969994
2DINSt	-4.898334396329626	7.38288475662729
2DURIt	0.0	7.113779359345538
2H3MV	0.0	0.0
2HBO	-3.9836521572663983	3.9836521572663983
2HB_5OXPROtex	-3.489952775987552	2.0288743173412445
2HB_ACACtex	-3.363216660095913	2.0288743173412445
2HB_ACtex	-3.489952775987552	2.0288743173412445
2HB_BUTtex	-3.489952775987552	4.014361877253578
2HB_DLACtex	-3.489952775987552	2.0288743173412445
2HB_GLYCLTtex	-3.489952775987552	3.95775144176316
2HB_PPAtex	-3.489952775987552	4.014361877253578
2HBt2	-3.489952775987552	4.014361877253578
2HIV	0.0	0.0
2IMBUTDA	0.0	6.979905551975104
2IMPPADA	0.0	7.541539506909784
2LACK_L	0.0	1.034523894479184
2LACP_L	0.0	1.034523894479184
2MTOXE1t	0.0	9.442766203406451
2MTOXE2t	0.0	9.442766203406451
2OBUT_2HBtex	-4.014361877253578	4.014361877253578
2OBUT_5OXPROtex	-3.489952775987552	2.0288743173412445
2OBUT_ACACtex	-3.3632166600959126	2.0288743173412445
2OBUT_ACtex	-3.489952775987552	2.0288743173412445
2OBUT_BUTtex	-3.489952775987552	4.057748634682489
2OBUT_DLACtex	-3.489952775987552	2.0288743173412445
2OBUT_GLYCLTtex	-3.489952775987552	4.051209671443625
2OBUT_LLACtex	-3.489952775987552	4.057748634682489
2OBUT_PPAtex	-3.489952775987552	4.057748634682489
2OBUTt	-3.489952775987552	4.057748634682489
2OH3MTOXE1t	0.0	9.442766203406451
2OH3MTOXE2t	0.0	9.442766203406451
2OHE1MT	0.0	9.442766203406451
2OHE1MT2	0.0	9.442766203406451
2OHE1PX	0.0	20.806422895824017
2OHE2MT	0.0	9.442766203406451
2OHE2MT2	0.0	9.442766203406451
2OHE2PX	0.0	20.806422895824017
2SGTH4OHE1ABCte	0.0	1.8070190669574333
2SGTH4OHE2ABCte	0.0	1.8070190669574333
34DHALDDx	0.0	9.260988366217122
34DHALDDy	0.0	9.282004884202392
34DHOXMANDMT	0.0	9.306672247171845
34DHPHAMT	0.0	9.282004884202392
34DHXMANDACOXx	0.0	9.299301141071092
34DHXMANDACOXy	0.0	9.306672247171845
34E1QN2GST	0.0	1.8070190669574333
34E1SQOX	0.0	71.53707054455158
34E2QN2GST	0.0	1.8070190669574333
34E2SQOX	0.0	71.53707054561472
34HPLDH	0.0	0.0
34HPPOR	0.0	2.875514515274
34HPPT	0.0	0.0
3DFRUt	0.0	27.144370924407244
3DGDH	0.0	0.0
3DGRy	0.0	27.144370924407244
3DGt	-27.144370924407244	5.421057200872301
3DSPHR	0.0	0.9541978276557184
3HKYNAKGAT	0.0	0.0
3M4HDXPACx	0.0	9.260988366217122
3M4HDXPACy	0.0	9.282004885001507
3MLDAt	0.0	9.327245833132208
3MOBt2	0.0	0.0
3MOX4HOXMte	0.0	9.306672247171845
3MOXTYROX	0.0	9.282004885001507
3MOXTYRt	0.0	9.442766203406451
3MTPte	0.0	1.9723701066390145
3OHAACPDH1	0.0	0.0
3OHAACPDH2	0.0	0.0
3OHAACPDH3	0.0	0.0
3OHAACPDH4	0.0	0.0
3OHAACPDH5	0.0	0.0
3OHAACPDH6	0.0	0.0
3OHAACPDH7	0.0	0.0
3OHAACPDH8	0.0	0.0
3OXAACPR1y	0.0	0.0
3OXAACPR2y	0.0	0.0
3OXAACPR3y	0.0	0.0
3OXAACPR4y	0.0	0.0
3OXAACPR5y	0.0	0.0
3OXAACPR6y	0.0	0.0
3OXAACPR7y	0.0	0.0
3OXAACPR8y	0.0	0.0
3SALACBOXL	0.0	0.1087147487069766
3SALAOX	0.0	0.0
3SALATA	0.0	2.939014691096182
3SPYRSP	0.0	2.939014691096182
41R2A1H12BOOX	0.0	9.306672247171845
42A12BOOX	0.0	9.282004885001507
4ABUTt	0.0	0.1087147487069766
4GTH56DHIABCte	0.0	1.8070190669574333
4H2HXEAL2EDHx	0.0	0.0
4H2NNEAL2EDHx	0.0	0.0
4HOXPACDORx	0.0	0.0
4HOXPACDORy	0.0	0.0
4HPROLTASCT1	0.0	0.3619308580113236
4MOPt2	0.0	0.0
4OH3MTOXE1t	0.0	9.442766203406451
4OH3MTOXE2t	0.0	9.442766203406451
4OHE1MT	0.0	9.442766203406451
4OHE1PX	0.0	20.806422895824017
4OHE2MT	0.0	9.442766203406451
4OHE2PX	0.0	20.806422895824017
4PCYSK	0.0	0.0
4PERK	-5.421057200872301	0.0
4PERP	0.0	0.0
4PYRDXABCte	0.0	5.421057200872301
4PYRNDK	0.0	0.0
4PYRNK	0.0	0.444781282744804
4PYRNMAT	0.0	0.0
4PYRNMK	0.0	0.0
4PYRNN	0.0	0.444781282744804
4PYRNt	0.0	0.0
4SGTH2OHE1ABCte	0.0	1.8070190669574333
4SGTH2OHE2ABCte	0.0	1.8070190669574333
56DH5FUt	0.0	0.5611608751842367
56DHIGTHABCte	0.0	1.8070190669574333
56DHIO2SX	0.0	125.18504645672012
56DHIPX	0.0	22.04380301557829
56DHISQDP	0.0	79.95490404494272
56DTHMt	0.0	0.5611608751842367
56DURAt	0.0	0.5611608751842367
5ADHTRy	0.0	0.0
5AOPt2	0.0	0.8490626089721657
5FLUDPK	0.0	0.0
5FLUMPK	0.0	0.0
5FLURAABCte	0.0	2.468449270762357
5FLURAPT	0.0	0.0
5FLURAt	-3.019677211910562	0.0
5FTHFABCte	0.0	1.4826695169581652
5FTHF_5MTHFtex	-2.2945111012067945	2.193423751768789
5FTHF_AICARtex	0.0	3.1393069456781
5FTHF_OHtex	-2.40124234812022	2.687646924088177
5FTHF_THMMPtex	0.0	2.745499950201004
5HOXINDACTOX	0.0	0.0
5HPUDICDC	0.0	1000.0
5INS7P5PP	0.0	0.0
5MTAtec	-1.9723701066390145	1.5132544130570396
5MTHFABCte	0.0	1.4826695169581652
5MTHF_AICARtex	0.0	3.1393069456781
5MTHF_OHtex	-2.40124234812022	2.5870944694381213
5MTHF_THMMPtex	0.0	2.745499950201005
5OXPRO_ACACtex	-2.0288743173412445	2.0288743173412445
5OXPRO_ACtex	-2.0288743173412445	2.0288743173412445
5OXPRO_BUTtex	-2.0288743173412445	3.772153053489903
5OXPRO_DLACtex	-2.0288743173412445	2.0288743173412445
5OXPRO_GLYCLTtex	-2.0288743173412445	3.7538931344800415
5OXPRO_PPAtex	-2.0288743173412445	3.772153053489902
5OXPROt2	-2.0288743173412445	3.7721530534899017
5PPINSP5P1K	0.0	0.0
6HOPTHPDH	0.0	0.0934610192885968
6LTHPI	0.0	0.0934610192885967
6PTHPDH	0.0	0.0934610192885967
6PTHPDH2	0.0	0.0934610192885968
78DHBPTt	-4.159933240759114	4.2064885858886605
A4GALTc	0.0	0.0
AASDHPPT	0.0	1.8070190669574333
ABO1A	0.0	0.0
ABO1B	0.0	0.0
ABO2A	0.0	0.0
ABO2B	0.0	0.0
ABO3A	0.0	0.0
ABO3AB	0.0	0.0
ABO4A	0.0	0.0
ABO4B	0.0	0.0
ABO5A	0.0	0.0
ABO5B	0.0	0.0
ABTt	0.0	1.2885041645749102
ABUTDx	0.0	0.1087147487069766
AC4OACNAMDC	0.0	0.0
AC9OACNAMDC	0.0	0.0
ACACT1	0.0	0.0
ACAC_ACtex	-2.0288743173412445	2.0288743173412445
ACAC_GLYCLTtex	-2.0288743173412445	3.429847715111847
ACACt2	-2.0288743173412445	3.449784603177339
ACALDt	-11.350326641716672	12.285831386160805
ACER	0.0	2.499565289963253
ACGAM2E	-1.291397896610652	0.0
ACGAMK	0.0	3.188040257181867
ACGAMNT2	0.0	0.0
ACGAMPM	0.0	1.7204690401095646
ACHEe	0.0	1.4128226444460192
ACHt	0.0	0.0
ACITL	0.0	0.1491539175812956
ACMAH	0.0	0.0
ACMDAC	0.0	0.0
ACNAM9PL	0.0	1.291397896610652
ACNAM9PL2	0.0	9.026188595986437
ACNAM9PL3	0.0	1.291397896610652
ACNAMPH	0.0	1.291397896610652
ACNAMt2	0.0	1.291397896610652
ACNML	0.0	1.291397896610652
ACOATA	0.0	0.0
ACONT	0.0	2.3388650601099483
ACPPDE	0.0	1.8070190669574333
ACYP	0.0	5.421057200872301
ACYP2	0.0	0.0
AC_GLYCLTtex	-2.0288743173412445	4.051209671443625
ACt2	-2.0288743173412445	4.057748634682489
ADA	0.0	7.114408105810671
ADEt	-9.738357911513631	6.96006685651382
ADK1	-21.24615096542975	15.637847329246414
ADK3	-13.211583645294796	24.58933219645077
ADK4	-11.917329564004833	15.508527697211791
ADK5	-13.069413322844705	24.58933219645077
ADK6	-13.105588045640625	18.535462530291447
ADK7	-13.211583645294796	12.294666098225385
ADMARGARGtex	-3.237545254380489	3.636355602667144
ADMARGCITRtex	-2.424237068444763	2.5142597521796604
ADMARGHIStex	-3.636355602667144	3.636355602667144
ADMARGLYStex	-2.424237068444763	2.4242370684447625
ADMARGORNtex	-3.636355602667144	3.1475887344688176
ADMARGt_L	0.0	3.636355602667144
ADMDC	0.0	1.5132544130570396
ADNCYC	0.0	2.306603032345695
ADNK1	0.0	2.088388904429133
ADNt	-7.656440613041662	1.0919182388662312
ADPGK	0.0	6.532822118923486
ADPGKa	0.0	6.6062256000268444
ADPGLCDP	0.0	0.0
ADPMNDP	0.0	0.0
ADPRDACAC1	0.0	0.0
ADPRDACAC2	0.0	1.4671828131282896
ADPRDP	0.0	3.132583356643698
ADPRPI	0.0	3.1325833566437016
ADPRUDP	0.0	3.1325833566437
ADPT	0.0	1.56629167832185
ADRNCHR1ERx	0.0	17.455052448867537
ADRNCHR2ERy	0.0	37.3367702627738
ADRNCHR2ERz	0.0	6.450115429146166
ADRNCHRGST	0.0	1.8070190669574333
ADRNCHRSQOX	0.0	79.9814441380088
ADRNLGTHABCte	0.0	1.8070190669574333
ADRNLO2SX_L	0.0	125.23812664285228
ADRNLPX_L	0.0	22.04380301557829
ADRNLQ1ERx_L	0.0	17.455052448867537
ADRNLQ2ERy_L	0.0	37.3367702627738
ADRNLQ2ERz_L	0.0	6.450115429146166
ADRNLQC_L	0.0	1.8070190669574333
ADRNLQGST_L	0.0	1.8070190669574333
ADRNLSQDP_L	0.0	79.9814441406518
ADRNLSQOX_L	0.0	79.98144413580476
ADRNLt	-10.769470413251604	9.442766203406451
ADSL1	0.0	0.6057307364409313
ADSL2	-0.444781282744804	0.0
ADSS	0.0	0.6057307364409313
AG1tec	0.0	0.0
AGDC	0.0	1.4758831703049424
AHC	-0.8633524801287595	0.662576444643181
AHDTPPPH	0.0	0.0934610192885967
AICAK	0.0	3.6841131034265167
AICART	0.0	0.692234234670105
AICAt	-3.542856377636604	0.444781282744804
AICRT	0.0	2.612711325531799
AICt	-2.6127113255318	0.0
AIRC	0.0	0.0
AKGtec	-10.778497029657538	9.339137833826468
ALAADMARGNaEx	0.0	2.80685038886982
