model	slack	objective	relaxation	NaKt
RBC_GEM_PC_Mean_D10	0.020544633859450195	-0.8482020932818659	0.047353423823510085	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.02154779180974832	-0.8453733504276812	0.045014178668411044	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.022599932179501125	-0.8423103424449578	0.04277947193513696	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.023703446693177213	-0.838992012412324	0.04064422369050819	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.02486084385889944	-0.8353953130283296	0.038603580090284695	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.026074754670782983	-0.8314950131648133	0.0366529023454126	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.02734793858970869	-0.8273086795437685	0.03478945189040514	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.028683289816126962	-0.8260879469120066	0.033126157872456256	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.030083843869151253	-0.8248076080758648	0.03154029854630884	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.03155278448689727	-0.8234647525703416	0.030028268938079836	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.03309345086375334	-0.8220563278176038	0.028586631903529624	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.034709345241033966	-0.8205791321878682	0.027212110314748548	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.03640414086827117	-0.8190298077214619	0.025901579610593476	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.03818169035324192	-0.817404832495509	0.02465206069393797	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.04004603441971247	-0.8157005126179016	0.023460713159592028	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.042001411092807486	-0.8139129738303457	0.022324828837495436	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.04405226533288477	-0.8120381527014022	0.021241825636508085	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.04620325913981497	-0.8100717873894987	0.020209241674803438	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.0484592821506349	-0.8080094079549127	0.019224729683520653	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.050825462754665846	-0.8058463261987145	0.018286051670955428	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.053307179751363336	-0.8035776250055515	0.017391073835159546	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.05591007457739858	-0.8011981471660712	0.016537761713384246	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.05864006413076702	-0.7987024836535552	0.015724175557341395	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.061503354221075	-0.796084961328126	0.014948465923769767	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.06450645367658042	-0.7933396300405704	0.014208869470282225	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.06765618914005445	-0.7904602491064672	0.013503704946937641	0.09990079596011714
RBC_GEM_PC_Mean_D10	0.07095972058709939	-0.7874402731198678	0.01283136937442514	0.09990079596011725
RBC_GEM_PC_Mean_D10	0.07442455760219853	-0.7842728370742871	0.01219033440017292	0.09990079596011714
