	rho	pvalue
15KPGE1Ry	-0.07833470244917914	0.003977244706526953
15KPGE2Ry	-0.07833470244917914	0.003977244706526953
15KPGE3Ry	-0.07833470244917914	0.003977244706526953
15KPGF1Ry	-0.07833470244917914	0.003977244706526953
15KPGF2Ry	-0.07833470244917914	0.003977244706526953
15KPGF3Ry	-0.07833470244917914	0.003977244706526953
1SGTH2OHE1ABCte	-0.06283980779831928	0.020942167890927062
1SGTH2OHE2ABCte	-0.06283980779831928	0.020942167890927062
23CGAMPABCte	-0.014715251128800684	0.5890582428669868
23CGAMP_AICARtex	-0.06399770283705344	0.018689923406354284
23CGAMP_OHtex	-0.06399770283705344	0.018689923406354284
23CGAMP_THMMPtex	-0.06399770283705344	0.018689923406354284
23CN3PA	-0.07379147755258615	0.006678602827288205
23CN3PC	-0.07379147755258615	0.006678602827288205
23CN3PG	-0.07379147755258615	0.006678602827288205
23CN3PU	-0.07379147755258615	0.006678602827288205
23E1QN1GST	-0.026419561071637742	0.3320530872557741
23E1QN4GST	-0.026419561071637742	0.3320530872557741
23E2QN1GST	-0.026419561071637742	0.3320530872557741
23E2QN4GST	-0.026419561071637742	0.3320530872557741
2ABUTGLYDP	0.004184675351493677	0.8779148572544426
2ABUTTA	-0.018960100530130954	0.48639386554199815
2ABUTtec	-0.06399770283705344	0.018689923406354284
2DADNt	-0.04346593660112347	0.11041835919985933
2DCYTt	-0.04346593660112347	0.11041835919985933
2DGSNt	-0.04346593660112347	0.11041835919985933
2DINSt	-0.04346593660112347	0.11041835919985933
2DURIt	-0.04346593660112347	0.11041835919985933
2H3MV	-0.06770421945915862	0.012840490752177934
2HBO	-0.06770421945915862	0.012840490752177934
2HB_5OXPROtex	-0.07032138458938911	0.009749787550508753
2HB_ACACtex	-0.07032138458938911	0.009749787550508753
2HB_ACtex	-0.07032138458938911	0.009749787550508753
2HB_BUTtex	-0.07032138458938911	0.009749787550508753
2HB_DLACtex	-0.07032138458938911	0.009749787550508753
2HB_GLYCLTtex	-0.07032138458938911	0.009749787550508753
2HB_PPAtex	-0.07032138458938911	0.009749787550508753
2HBt2	-0.07032138458938911	0.009749787550508753
2HIV	-0.06770421945915862	0.012840490752177934
2IMBUTDA	-0.08694710510154903	0.0013850972966719213
2IMPPADA	-0.08694710510154903	0.0013850972966719213
2LACK_L	-0.06058629146093718	0.026009791190696335
2LACP_L	-0.014993829544567001	0.5820250957090809
2OBUT_2HBtex	-0.07032138458938911	0.009749787550508753
2OBUT_5OXPROtex	-0.07032138458938911	0.009749787550508753
2OBUT_ACACtex	-0.07032138458938911	0.009749787550508753
2OBUT_ACtex	-0.07032138458938911	0.009749787550508753
2OBUT_BUTtex	-0.07032138458938911	0.009749787550508753
2OBUT_DLACtex	-0.07032138458938911	0.009749787550508753
2OBUT_GLYCLTtex	-0.07032138458938911	0.009749787550508753
2OBUT_LLACtex	-0.07032138458938911	0.009749787550508753
2OBUT_PPAtex	-0.07032138458938911	0.009749787550508753
2OBUTt	-0.07032138458938911	0.009749787550508753
2OHE1MT	-0.023701713233340235	0.38420636248141515
2OHE1MT2	-0.023701713233340235	0.38420636248141515
2OHE1PX	-0.04515044419685315	0.09726858858990822
2OHE2MT	-0.023701713233340235	0.38420636248141515
2OHE2MT2	-0.023701713233340235	0.38420636248141515
2OHE2PX	-0.04515044419685315	0.09726858858990822
2SGTH4OHE1ABCte	-0.06283980779831928	0.020942167890927062
2SGTH4OHE2ABCte	-0.06283980779831928	0.020942167890927062
34DHALDDx	-0.06199187678918719	0.02273801453717009
34DHALDDy	-0.06199187678918719	0.02273801453717009
34DHOXMANDMT	-0.023701713233340235	0.38420636248141515
34DHPHAMT	-0.023701713233340235	0.38420636248141515
34DHXMANDACOXx	-0.06199187678918719	0.02273801453717009
34DHXMANDACOXy	-0.06199187678918719	0.02273801453717009
34E1QN2GST	-0.026419561071637742	0.3320530872557741
34E2QN2GST	-0.026419561071637742	0.3320530872557741
34HPLDH	-0.02685349461789405	0.32417030125877366
34HPPT	-0.005702634346064675	0.8341861245488313
3DGDH	0.06458655255416566	0.01762795808706871
3DGRy	-0.04197578569937057	0.12318550783791592
3HKYNAKGAT	-0.0920232635738681	0.0007112549971542065
3M4HDXPACx	-0.06199187678918719	0.02273801453717009
3M4HDXPACy	-0.06199187678918719	0.02273801453717009
3MOBt2	-0.07032138458938911	0.009749787550508753
3OHAACPDH1	-0.07496843075543269	0.0058541050295819255
3OHAACPDH2	-0.07496843075543269	0.0058541050295819255
3OHAACPDH3	-0.07496843075543269	0.0058541050295819255
3OHAACPDH4	-0.07496843075543269	0.0058541050295819255
3OHAACPDH5	-0.07496843075543269	0.0058541050295819255
3OHAACPDH6	-0.07496843075543269	0.0058541050295819255
3OHAACPDH7	-0.07496843075543269	0.0058541050295819255
3OHAACPDH8	-0.07496843075543269	0.0058541050295819255
3OXAACPR1y	-0.07496843075543269	0.0058541050295819255
3OXAACPR2y	-0.07496843075543269	0.0058541050295819255
3OXAACPR3y	-0.07496843075543269	0.0058541050295819255
3OXAACPR4y	-0.07496843075543269	0.0058541050295819255
3OXAACPR5y	-0.07496843075543269	0.0058541050295819255
3OXAACPR6y	-0.07496843075543269	0.0058541050295819255
3OXAACPR7y	-0.07496843075543269	0.0058541050295819255
3OXAACPR8y	-0.07496843075543269	0.0058541050295819255
3SALATA	-0.018960100530130954	0.48639386554199815
4GTH56DHIABCte	-0.06283980779831928	0.020942167890927062
4H2HXEAL2EDHx	0.003903016902294993	0.8860740229062221
4H2NNEAL2EDHx	0.003903016902294993	0.8860740229062221
