	rho	pvalue
15KPGE1Ry	0.12088552484422731	1.865333087341379e-07
15KPGE2Ry	0.12088552484422731	1.865333087341379e-07
15KPGE3Ry	0.12088552484422731	1.865333087341379e-07
15KPGF1Ry	0.12088552484422731	1.865333087341379e-07
15KPGF2Ry	0.12088552484422731	1.865333087341379e-07
15KPGF3Ry	0.12088552484422731	1.865333087341379e-07
1SGTH2OHE1ABCte	0.10629084319565404	4.668570396836269e-06
1SGTH2OHE2ABCte	0.10629084319565404	4.668570396836269e-06
23CGAMPABCte	0.0006015289492164498	0.9793839559316447
23CGAMP_AICARtex	0.11360001534649042	9.77913152373856e-07
23CGAMP_OHtex	0.11360001534649042	9.77913152373856e-07
23CGAMP_THMMPtex	0.11360001534649042	9.77913152373856e-07
23CN3PA	0.07117141761107426	0.002203371140695282
23CN3PC	0.07117141761107426	0.002203371140695282
23CN3PG	0.07117141761107426	0.002203371140695282
23CN3PU	0.07117141761107426	0.002203371140695282
23E1QN1GST	0.04178949783386463	0.07248951307979445
23E1QN4GST	0.04178949783386463	0.07248951307979445
23E2QN1GST	0.04178949783386463	0.07248951307979445
23E2QN4GST	0.04178949783386463	0.07248951307979445
2ABUTGLYDP	0.12033896434657436	2.1194814613160167e-07
2ABUTTA	0.0731737419585635	0.001645538093567391
2ABUTtec	0.11360001534649042	9.77913152373856e-07
2DADNt	0.02631409132397358	0.2582107341380036
2DCYTt	0.02631409132397358	0.2582107341380036
2DGSNt	0.02631409132397358	0.2582107341380036
2DINSt	0.02631409132397358	0.2582107341380036
2DURIt	0.02631409132397358	0.2582107341380036
2H3MV	0.1378292511885569	2.6902741663897167e-09
2HBO	0.1378292511885569	2.6902741663897167e-09
2HB_5OXPROtex	0.10183610767248959	1.1534103714948263e-05
2HB_ACACtex	0.10183610767248959	1.1534103714948263e-05
2HB_ACtex	0.10183610767248959	1.1534103714948263e-05
2HB_BUTtex	0.10183610767248959	1.1534103714948263e-05
2HB_DLACtex	0.10183610767248959	1.1534103714948263e-05
2HB_GLYCLTtex	0.10183610767248959	1.1534103714948263e-05
2HB_PPAtex	0.10183610767248959	1.1534103714948263e-05
2HBt2	0.10183610767248959	1.1534103714948263e-05
2HIV	0.1378292511885569	2.6902741663897167e-09
2IMBUTDA	0.13381088534430152	7.722527042455623e-09
2IMPPADA	0.13381088534430152	7.722527042455623e-09
2LACK_L	0.08617177938473566	0.00020826178554497662
2LACP_L	0.01215373091146817	0.601576436975231
2OBUT_2HBtex	0.10183610767248959	1.1534103714948263e-05
2OBUT_5OXPROtex	0.10183610767248959	1.1534103714948263e-05
2OBUT_ACACtex	0.10183610767248959	1.1534103714948263e-05
2OBUT_ACtex	0.10183610767248959	1.1534103714948263e-05
2OBUT_BUTtex	0.10183610767248959	1.1534103714948263e-05
2OBUT_DLACtex	0.10183610767248959	1.1534103714948263e-05
2OBUT_GLYCLTtex	0.10183610767248959	1.1534103714948263e-05
2OBUT_LLACtex	0.10183610767248959	1.1534103714948263e-05
2OBUT_PPAtex	0.10183610767248959	1.1534103714948263e-05
2OBUTt	0.10183610767248959	1.1534103714948263e-05
2OHE1MT	0.05169672031101794	0.02626032762095677
2OHE1MT2	0.05169672031101794	0.02626032762095677
2OHE1PX	-0.03247131964593701	0.1629216041488683
2OHE2MT	0.05169672031101794	0.02626032762095677
2OHE2MT2	0.05169672031101794	0.02626032762095677
2OHE2PX	-0.03247131964593701	0.1629216041488683
2SGTH4OHE1ABCte	0.10629084319565404	4.668570396836269e-06
2SGTH4OHE2ABCte	0.10629084319565404	4.668570396836269e-06
34DHALDDx	0.11479147301011472	7.508687652445609e-07
34DHALDDy	0.11479147301011472	7.508687652445609e-07
34DHOXMANDMT	0.05169672031101794	0.02626032762095677
34DHPHAMT	0.05169672031101794	0.02626032762095677
34DHXMANDACOXx	0.11479147301011472	7.508687652445609e-07
34DHXMANDACOXy	0.11479147301011472	7.508687652445609e-07
34E1QN2GST	0.04178949783386463	0.07248951307979445
34E2QN2GST	0.04178949783386463	0.07248951307979445
34HPLDH	0.027687033034977236	0.23418667506639065
34HPPT	0.013162024119867019	0.5717639009125084
3DGDH	-0.07686542681738887	0.0009430863468199295
3DGRy	0.0724755795727504	0.0018233043204670884
3HKYNAKGAT	0.10986127906797412	2.2024944962346802e-06
3M4HDXPACx	0.11479147301011472	7.508687652445609e-07
3M4HDXPACy	0.11479147301011472	7.508687652445609e-07
3MOBt2	0.10183610767248959	1.1534103714948263e-05
3OHAACPDH1	0.1727765191319524	7.508156284373149e-14
