	rho	pvalue
15KPGE1Ry	0.0892324366015725	0.00014273632571991038
15KPGE2Ry	0.0892324366015725	0.00014273632571991038
15KPGE3Ry	0.0892324366015725	0.00014273632571991038
15KPGF1Ry	0.0892324366015725	0.00014273632571991038
15KPGF2Ry	0.0892324366015725	0.00014273632571991038
15KPGF3Ry	0.0892324366015725	0.00014273632571991038
1SGTH2OHE1ABCte	0.03344787997434511	0.1546748681170543
1SGTH2OHE2ABCte	0.03344787997434511	0.1546748681170543
23CGAMPABCte	-0.01064722193942298	0.6506015276295478
23CGAMP_AICARtex	0.06770422147936445	0.003935002633992376
23CGAMP_OHtex	0.06770422147936445	0.003935002633992376
23CGAMP_THMMPtex	0.06770422147936445	0.003935002633992376
23CN3PA	0.0833484327108921	0.00038278728501449973
23CN3PC	0.0833484327108921	0.00038278728501449973
23CN3PG	0.0833484327108921	0.00038278728501449973
23CN3PU	0.0833484327108921	0.00038278728501449973
23E1QN1GST	0.013956840624324765	0.5526940132135831
23E1QN4GST	0.013956840624324765	0.5526940132135831
23E2QN1GST	0.013956840624324765	0.5526940132135831
23E2QN4GST	0.013956840624324765	0.5526940132135831
2ABUTGLYDP	0.09674355369852654	3.707715936668821e-05
2ABUTTA	-0.08399449334518756	0.00034451244752772126
2ABUTtec	0.06770422147936445	0.003935002633992376
2DADNt	0.15705455575828234	1.78534339702098e-11
2DCYTt	0.15705455575828234	1.78534339702098e-11
2DGSNt	0.15705455575828234	1.78534339702098e-11
2DINSt	0.15705455575828234	1.78534339702098e-11
2DURIt	0.15705455575828234	1.78534339702098e-11
2H3MV	0.05387730822841312	0.02181862576811037
2HBO	0.05387730822841312	0.02181862576811037
2HB_5OXPROtex	0.022274697698371544	0.34331095489972474
2HB_ACACtex	0.022274697698371544	0.34331095489972474
2HB_ACtex	0.022274697698371544	0.34331095489972474
2HB_BUTtex	0.022274697698371544	0.34331095489972474
2HB_DLACtex	0.022274697698371544	0.34331095489972474
2HB_GLYCLTtex	0.022274697698371544	0.34331095489972474
2HB_PPAtex	0.022274697698371544	0.34331095489972474
2HBt2	0.022274697698371544	0.34331095489972474
2HIV	0.05387730822841312	0.02181862576811037
2IMBUTDA	0.049025262250674655	0.03691507033809479
2IMPPADA	0.049025262250674655	0.03691507033809479
2LACK_L	0.0019852084535313076	0.9327007896683136
2LACP_L	-0.0004038661832517551	0.986293217907356
2OBUT_2HBtex	0.022274697698371544	0.34331095489972474
2OBUT_5OXPROtex	0.022274697698371544	0.34331095489972474
2OBUT_ACACtex	0.022274697698371544	0.34331095489972474
2OBUT_ACtex	0.022274697698371544	0.34331095489972474
