	rho	pvalue
15KPGE1Ry	0.008610673948143605	0.7141490462935333
15KPGE2Ry	0.008610673948143605	0.7141490462935333
15KPGE3Ry	0.008610673948143605	0.7141490462935333
15KPGF1Ry	0.008610673948143605	0.7141490462935333
15KPGF2Ry	0.008610673948143605	0.7141490462935333
15KPGF3Ry	0.008610673948143605	0.7141490462935333
1SGTH2OHE1ABCte	0.01905736513125767	0.41751500127161323
1SGTH2OHE2ABCte	0.01905736513125767	0.41751500127161323
23CGAMPABCte	-0.015502591421938577	0.509579717033795
23CGAMP_AICARtex	0.02667327559863418	0.25644423365499913
23CGAMP_OHtex	0.02667327559863418	0.25644423365499913
23CGAMP_THMMPtex	0.02667327559863418	0.25644423365499913
23CN3PA	0.032834362363879856	0.16238591328345256
23CN3PC	0.032834362363879856	0.16238591328345256
23CN3PG	0.032834362363879856	0.16238591328345256
23CN3PU	0.032834362363879856	0.16238591328345256
23E1QN1GST	0.041775440145233114	0.07543195870035103
23E1QN4GST	0.041775440145233114	0.07543195870035103
23E2QN1GST	0.041775440145233114	0.07543195870035103
23E2QN4GST	0.041775440145233114	0.07543195870035103
2ABUTGLYDP	0.005432709767687019	0.817237501436558
2ABUTTA	0.0823713623563779	0.0004482805699514107
2ABUTtec	0.02667327559863418	0.25644423365499913
2DADNt	-0.025385289116179002	0.28013371003283144
2DCYTt	-0.025385289116179002	0.28013371003283144
2DGSNt	-0.025385289116179002	0.28013371003283144
2DINSt	-0.025385289116179002	0.28013371003283144
2DURIt	-0.025385289116179002	0.28013371003283144
2H3MV	0.02393602635215026	0.3085155403980517
2HBO	0.02393602635215026	0.3085155403980517
2HB_5OXPROtex	-0.006909653175184788	0.7688130379619756
2HB_ACACtex	-0.006909653175184788	0.7688130379619756
2HB_ACtex	-0.006909653175184788	0.7688130379619756
2HB_BUTtex	-0.006909653175184788	0.7688130379619756
2HB_DLACtex	-0.006909653175184788	0.7688130379619756
2HB_GLYCLTtex	-0.006909653175184788	0.7688130379619756
2HB_PPAtex	-0.006909653175184788	0.7688130379619756
2HBt2	-0.006909653175184788	0.7688130379619756
2HIV	0.02393602635215026	0.3085155403980517
2IMBUTDA	0.013836990617620256	0.5561100991279476
2IMPPADA	0.013836990617620256	0.5561100991279476
2LACK_L	0.07451297320387931	0.0015032143765692412
2LACP_L	-0.012473365695256268	0.5956853207494214
2OBUT_2HBtex	-0.006909653175184788	0.7688130379619756
2OBUT_5OXPROtex	-0.006909653175184788	0.7688130379619756
2OBUT_ACACtex	-0.006909653175184788	0.7688130379619756
2OBUT_ACtex	-0.006909653175184788	0.7688130379619756
