	rho	pvalue
15KPGE1Ry	-0.05336428182906014	0.02189060769034886
15KPGE2Ry	-0.05336428182906014	0.02189060769034886
15KPGE3Ry	-0.05336428182906014	0.02189060769034886
15KPGF1Ry	-0.05336428182906014	0.02189060769034886
15KPGF2Ry	-0.05336428182906014	0.02189060769034886
15KPGF3Ry	-0.05336428182906014	0.02189060769034886
1SGTH2OHE1ABCte	-0.059775294396665006	0.010225400916613853
1SGTH2OHE2ABCte	-0.059775294396665006	0.010225400916613853
23CGAMPABCte	-0.027001352221828135	0.24636370320014228
23CGAMP_AICARtex	-0.04647403452405505	0.04593976674417378
23CGAMP_OHtex	-0.04647403452405505	0.04593976674417378
23CGAMP_THMMPtex	-0.04647403452405505	0.04593976674417378
23CN3PA	-0.04454294993605809	0.05575743178646818
23CN3PC	-0.04454294993605809	0.05575743178646818
23CN3PG	-0.04454294993605809	0.05575743178646818
23CN3PU	-0.04454294993605809	0.05575743178646818
23E1QN1GST	-0.059567673114813036	0.010492046807320975
23E1QN4GST	-0.059567673114813036	0.010492046807320975
23E2QN1GST	-0.059567673114813036	0.010492046807320975
23E2QN4GST	-0.059567673114813036	0.010492046807320975
2ABUTGLYDP	0.04761134958387713	0.04087004071995084
2ABUTTA	-0.14958791031792903	1.0656798631019711e-10
2ABUTtec	-0.04647403452405505	0.04593976674417378
2DADNt	0.02448809220510034	0.2931239714698715
2DCYTt	0.02448809220510034	0.2931239714698715
2DGSNt	0.02448809220510034	0.2931239714698715
2DINSt	0.02448809220510034	0.2931239714698715
2DURIt	0.02448809220510034	0.2931239714698715
2H3MV	-0.15414825489028275	2.803562870486016e-11
2HBO	-0.15414825489028275	2.803562870486016e-11
2HB_5OXPROtex	-0.037502119658915825	0.10732786961976828
2HB_ACACtex	-0.037502119658915825	0.10732786961976828
2HB_ACtex	-0.037502119658915825	0.10732786961976828
2HB_BUTtex	-0.037502119658915825	0.10732786961976828
2HB_DLACtex	-0.037502119658915825	0.10732786961976828
2HB_GLYCLTtex	-0.037502119658915825	0.10732786961976828
2HB_PPAtex	-0.037502119658915825	0.10732786961976828
2HBt2	-0.037502119658915825	0.10732786961976828
2HIV	-0.15414825489028275	2.803562870486016e-11
2IMBUTDA	-0.037607777688686034	0.1063408486368993
2IMPPADA	-0.037607777688686034	0.1063408486368993
2LACK_L	-0.18065259501922287	5.332539804903976e-15
2LACP_L	-0.022578562875611607	0.33239864268891484
