	rho	pvalue
15KPGE1Ry	-0.06994417304221848	0.0026259569730434505
15KPGE2Ry	-0.06994417304221848	0.0026259569730434505
15KPGE3Ry	-0.06994417304221848	0.0026259569730434505
15KPGF1Ry	-0.06994417304221848	0.0026259569730434505
15KPGF2Ry	-0.06994417304221848	0.0026259569730434505
15KPGF3Ry	-0.06994417304221848	0.0026259569730434505
1SGTH2OHE1ABCte	-0.0990680644427869	1.9865977093424766e-05
1SGTH2OHE2ABCte	-0.0990680644427869	1.9865977093424766e-05
23CGAMPABCte	-0.0620944487142246	0.007582643234789532
23CGAMP_AICARtex	-0.09308201933447074	6.138052674916992e-05
23CGAMP_OHtex	-0.09308201933447074	6.138052674916992e-05
23CGAMP_THMMPtex	-0.09308201933447074	6.138052674916992e-05
23CN3PA	-0.042495793447635544	0.06778793947594204
23CN3PC	-0.042495793447635544	0.06778793947594204
23CN3PG	-0.042495793447635544	0.06778793947594204
23CN3PU	-0.042495793447635544	0.06778793947594204
23E1QN1GST	-0.09579300666134519	3.7123897010939e-05
23E1QN4GST	-0.09579300666134519	3.7123897010939e-05
23E2QN1GST	-0.09579300666134519	3.7123897010939e-05
23E2QN4GST	-0.09579300666134519	3.7123897010939e-05
2ABUTGLYDP	0.03790611445621857	0.10331196674036418
2ABUTTA	-0.05284172419845796	0.02310888356942547
2ABUTtec	-0.09308201933447074	6.138052674916992e-05
2DADNt	-0.060912334491409446	0.008814077725620768
2DCYTt	-0.060912334491409446	0.008814077725620768
2DGSNt	-0.060912334491409446	0.008814077725620768
2DINSt	-0.060912334491409446	0.008814077725620768
2DURIt	-0.060912334491409446	0.008814077725620768
2H3MV	-0.05851963387177552	0.011865546390373044
2HBO	-0.05851963387177552	0.011865546390373044
2HB_5OXPROtex	0.007942155236148213	0.7329570266063621
2HB_ACACtex	0.007942155236148213	0.7329570266063621
2HB_ACtex	0.007942155236148213	0.7329570266063621
2HB_BUTtex	0.007942155236148213	0.7329570266063621
2HB_DLACtex	0.007942155236148213	0.7329570266063621
2HB_GLYCLTtex	0.007942155236148213	0.7329570266063621
2HB_PPAtex	0.007942155236148213	0.7329570266063621
2HBt2	0.007942155236148213	0.7329570266063621
2HIV	-0.05851963387177552	0.011865546390373044
2IMBUTDA	0.012122523492717675	0.602510239645103
2IMPPADA	0.012122523492717675	0.602510239645103
2LACK_L	-0.1907931732249765	1.312446945218489e-16
2LACP_L	-0.02369807642044744	0.30858511671475264
2OBUT_2HBtex	0.007942155236148213	0.7329570266063621
2OBUT_5OXPROtex	0.007942155236148213	0.7329570266063621
2OBUT_ACACtex	0.007942155236148213	0.7329570266063621
2OBUT_ACtex	0.007942155236148213	0.7329570266063621
2OBUT_BUTtex	0.007942155236148213	0.7329570266063621
2OBUT_DLACtex	0.007942155236148213	0.7329570266063621
2OBUT_GLYCLTtex	0.007942155236148213	0.7329570266063621
2OBUT_LLACtex	0.007942155236148213	0.7329570266063621
2OBUT_PPAtex	0.007942155236148213	0.7329570266063621
2OBUTt	0.007942155236148213	0.7329570266063621
2OHE1MT	-0.09708079991746872	2.9099800241437054e-05
2OHE1MT2	-0.09708079991746872	2.9099800241437054e-05
2OHE1PX	0.020893428594696395	0.36936432796356367
2OHE2MT	-0.09708079991746872	2.9099800241437054e-05
2OHE2MT2	-0.09708079991746872	2.9099800241437054e-05
2OHE2PX	0.020893428594696395	0.36936432796356367
2SGTH4OHE1ABCte	-0.0990680644427869	1.9865977093424766e-05
2SGTH4OHE2ABCte	-0.0990680644427869	1.9865977093424766e-05
34DHALDDx	-0.08865832079299245	0.00013551459007232815
34DHALDDy	-0.08865832079299245	0.00013551459007232815
34DHOXMANDMT	-0.09708079991746872	2.9099800241437054e-05
34DHPHAMT	-0.09708079991746872	2.9099800241437054e-05
34DHXMANDACOXx	-0.08865832079299245	0.00013551459007232815
34DHXMANDACOXy	-0.08865832079299245	0.00013551459007232815
34E1QN2GST	-0.09579300666134519	3.7123897010939e-05
34E2QN2GST	-0.09579300666134519	3.7123897010939e-05
34HPLDH	-0.030525576212219695	0.18963401967181798
34HPPT	-0.05398603851486017	0.020292558714155553
3DGDH	-0.005245571277804062	0.8217089224021814
3DGRy	-0.11008744203219165	2.0984750804133437e-06
3HKYNAKGAT	-0.07235145146069448	0.0018566977210820205
3M4HDXPACx	-0.08865832079299245	0.00013551459007232815
3M4HDXPACy	-0.08865832079299245	0.00013551459007232815
3MOBt2	0.007942155236148213	0.7329570266063621
3OHAACPDH1	-0.07388964657813647	0.0014799227051287098
3OHAACPDH2	-0.07388964657813647	0.0014799227051287098
3OHAACPDH3	-0.07388964657813647	0.0014799227051287098
3OHAACPDH4	-0.07388964657813647	0.0014799227051287098
3OHAACPDH5	-0.07388964657813647	0.0014799227051287098
3OHAACPDH6	-0.07388964657813647	0.0014799227051287098
3OHAACPDH7	-0.07388964657813647	0.0014799227051287098
3OHAACPDH8	-0.07388964657813647	0.0014799227051287098
3OXAACPR1y	-0.07388964657813647	0.0014799227051287098
3OXAACPR2y	-0.07388964657813647	0.0014799227051287098
3OXAACPR3y	-0.07388964657813647	0.0014799227051287098
3OXAACPR4y	-0.07388964657813647	0.0014799227051287098
3OXAACPR5y	-0.07388964657813647	0.0014799227051287098
3OXAACPR6y	-0.07388964657813647	0.0014799227051287098
3OXAACPR7y	-0.07388964657813647	0.0014799227051287098
3OXAACPR8y	-0.07388964657813647	0.0014799227051287098
3SALATA	-0.05284172419845796	0.02310888356942547
4GTH56DHIABCte	-0.0990680644427869	1.9865977093424766e-05
4H2HXEAL2EDHx	-0.059451695093895716	0.010580297760944673
4H2NNEAL2EDHx	-0.059451695093895716	0.010580297760944673
4HOXPACDORx	-0.08865832079299245	0.00013551459007232815
4HOXPACDORy	-0.08865832079299245	0.00013551459007232815
4HPROLTASCT1	-0.09308201933447074	6.138052674916992e-05
4MOPt2	0.007942155236148213	0.7329570266063621
4OHE1MT	-0.09708079991746872	2.9099800241437054e-05
4OHE1PX	0.020893428594696395	0.36936432796356367
4OHE2MT	-0.09708079991746872	2.9099800241437054e-05
4OHE2PX	0.020893428594696395	0.36936432796356367
4PCYSK	-0.09616717397764252	3.4598628624589025e-05
4PERK	-0.05583393036156672	0.01637455790334958
4PERP	-0.02369807642044744	0.30858511671475264
4PYRNK	-0.0019214242314110662	0.9342148582387034
4PYRNMAT	-0.04837169010334358	0.03759618728634566
4PYRNN	-0.057905233123481475	0.01278666282062623
4PYRNt	-0.060912334491409446	0.008814077725620768
4SGTH2OHE1ABCte	-0.0990680644427869	1.9865977093424766e-05
4SGTH2OHE2ABCte	-0.0990680644427869	1.9865977093424766e-05
56DHIGTHABCte	-0.0990680644427869	1.9865977093424766e-05
56DHIPX	0.020626561655752846	0.3755115998486759
5ADHTRy	-0.07611899464056139	0.0010574827935321666
5AOPt2	-0.04032657523104251	0.08307687168819468
5FLUDPK	-0.026703865271767224	0.25122314580232424
5FLUMPK	0.06579580559907419	0.004660519749154296
5FLURAABCte	-0.11353109385873517	9.92892731645632e-07
5FLURAPT	-0.03402097093206396	0.14375772629740596
5FLURAt	-0.060912334491409446	0.008814077725620768
5FTHFABCte	-0.11070255765881258	1.8388679456009338e-06
5FTHF_5MTHFtex	-0.09308201933447074	6.138052674916992e-05
5FTHF_AICARtex	-0.09308201933447074	6.138052674916992e-05
5FTHF_OHtex	-0.09308201933447074	6.138052674916992e-05
5FTHF_THMMPtex	-0.09308201933447074	6.138052674916992e-05
5HOXINDACTOX	-0.01293908611283126	0.5782948457629737
5INS7P5PP	-0.03839555161345789	0.0989319279621062
5MTAtec	-0.060912334491409446	0.008814077725620768
5MTHFABCte	-0.11070255765881258	1.8388679456009338e-06
