	rho	pvalue
15KPGE1Ry	-0.1319258557705514	1.253127294962155e-08
15KPGE2Ry	-0.1319258557705514	1.253127294962155e-08
15KPGE3Ry	-0.1319258557705514	1.253127294962155e-08
15KPGF1Ry	-0.1319258557705514	1.253127294962155e-08
15KPGF2Ry	-0.1319258557705514	1.253127294962155e-08
15KPGF3Ry	-0.1319258557705514	1.253127294962155e-08
1SGTH2OHE1ABCte	-0.12214217187502716	1.3876863365299478e-07
1SGTH2OHE2ABCte	-0.12214217187502716	1.3876863365299478e-07
23CGAMPABCte	-0.07148660128870535	0.0021053943636941026
23CGAMP_AICARtex	-0.1158803010177585	5.884489186438261e-07
23CGAMP_OHtex	-0.1158803010177585	5.884489186438261e-07
23CGAMP_THMMPtex	-0.1158803010177585	5.884489186438261e-07
23CN3PA	-0.10719478220124187	3.868530479265197e-06
23CN3PC	-0.10719478220124187	3.868530479265197e-06
23CN3PG	-0.10719478220124187	3.868530479265197e-06
23CN3PU	-0.10719478220124187	3.868530479265197e-06
23E1QN1GST	-0.09036548999721616	0.00010024527778992442
23E1QN4GST	-0.09036548999721616	0.00010024527778992442
23E2QN1GST	-0.09036548999721616	0.00010024527778992442
23E2QN4GST	-0.09036548999721616	0.00010024527778992442
2ABUTGLYDP	0.02396890394298383	0.3030875186923543
2ABUTTA	-0.061222843622196134	0.008474425436883946
2ABUTtec	-0.1158803010177585	5.884489186438261e-07
2DADNt	-0.08396484008356958	0.00030214774836377026
2DCYTt	-0.08396484008356958	0.00030214774836377026
2DGSNt	-0.08396484008356958	0.00030214774836377026
2DINSt	-0.08396484008356958	0.00030214774836377026
2DURIt	-0.08396484008356958	0.00030214774836377026
2H3MV	-0.006050062951810312	0.7949341615811215
2HBO	-0.006050062951810312	0.7949341615811215
2HB_5OXPROtex	-0.003572777791398281	0.8780162402506275
2HB_ACACtex	-0.003572777791398281	0.8780162402506275
2HB_ACtex	-0.003572777791398281	0.8780162402506275
2HB_BUTtex	-0.003572777791398281	0.8780162402506275
2HB_DLACtex	-0.003572777791398281	0.8780162402506275
2HB_GLYCLTtex	-0.003572777791398281	0.8780162402506275
2HB_PPAtex	-0.003572777791398281	0.8780162402506275
2HBt2	-0.003572777791398281	0.8780162402506275
2HIV	-0.006050062951810312	0.7949341615811215
2IMBUTDA	-0.03558395058332752	0.12622842950186927
2IMPPADA	-0.03558395058332752	0.12622842950186927
2LACK_L	-0.13689960097723247	3.4429812539235224e-09
2LACP_L	-0.024508769816765988	0.2923238658426474
2OBUT_2HBtex	-0.003572777791398281	0.8780162402506275
2OBUT_5OXPROtex	-0.003572777791398281	0.8780162402506275
2OBUT_ACACtex	-0.003572777791398281	0.8780162402506275
2OBUT_ACtex	-0.003572777791398281	0.8780162402506275
2OBUT_BUTtex	-0.003572777791398281	0.8780162402506275
2OBUT_DLACtex	-0.003572777791398281	0.8780162402506275
2OBUT_GLYCLTtex	-0.003572777791398281	0.8780162402506275
2OBUT_LLACtex	-0.003572777791398281	0.8780162402506275
2OBUT_PPAtex	-0.003572777791398281	0.8780162402506275
2OBUTt	-0.003572777791398281	0.8780162402506275
2OHE1MT	-0.11139951266393298	1.5819736848814075e-06
2OHE1MT2	-0.11139951266393298	1.5819736848814075e-06
2OHE1PX	0.005361931829420541	0.8178226023289323
2OHE2MT	-0.11139951266393298	1.5819736848814075e-06
2OHE2MT2	-0.11139951266393298	1.5819736848814075e-06
2OHE2PX	0.005361931829420541	0.8178226023289323
2SGTH4OHE1ABCte	-0.12214217187502716	1.3876863365299478e-07
2SGTH4OHE2ABCte	-0.12214217187502716	1.3876863365299478e-07
34DHALDDx	-0.11340946452861263	1.0198679901995086e-06
34DHALDDy	-0.11340946452861263	1.0198679901995086e-06
34DHOXMANDMT	-0.11139951266393298	1.5819736848814075e-06
34DHPHAMT	-0.11139951266393298	1.5819736848814075e-06
34DHXMANDACOXx	-0.11340946452861263	1.0198679901995086e-06
34DHXMANDACOXy	-0.11340946452861263	1.0198679901995086e-06
34E1QN2GST	-0.09036548999721616	0.00010024527778992442
34E2QN2GST	-0.09036548999721616	0.00010024527778992442
34HPLDH	0.02051767832850843	0.37803775563766906
34HPPT	-0.0336965120641761	0.1476200675739189
3DGDH	-0.0331500007219949	0.15430416147839762
3DGRy	-0.06574205019891222	0.004694375126322864
3HKYNAKGAT	-0.11579749220681525	5.995053346038715e-07
3M4HDXPACx	-0.11340946452861263	1.0198679901995086e-06
3M4HDXPACy	-0.11340946452861263	1.0198679901995086e-06
3MOBt2	-0.003572777791398281	0.8780162402506275
3OHAACPDH1	-0.09490712289067975	4.381774804357044e-05
3OHAACPDH2	-0.09490712289067975	4.381774804357044e-05
3OHAACPDH3	-0.09490712289067975	4.381774804357044e-05
3OHAACPDH4	-0.09490712289067975	4.381774804357044e-05
3OHAACPDH5	-0.09490712289067975	4.381774804357044e-05
3OHAACPDH6	-0.09490712289067975	4.381774804357044e-05
3OHAACPDH7	-0.09490712289067975	4.381774804357044e-05
3OHAACPDH8	-0.09490712289067975	4.381774804357044e-05
3OXAACPR1y	-0.09490712289067975	4.381774804357044e-05
3OXAACPR2y	-0.09490712289067975	4.381774804357044e-05
3OXAACPR3y	-0.09490712289067975	4.381774804357044e-05
3OXAACPR4y	-0.09490712289067975	4.381774804357044e-05
3OXAACPR5y	-0.09490712289067975	4.381774804357044e-05
3OXAACPR6y	-0.09490712289067975	4.381774804357044e-05
3OXAACPR7y	-0.09490712289067975	4.381774804357044e-05
3OXAACPR8y	-0.09490712289067975	4.381774804357044e-05
3SALATA	-0.061222843622196134	0.008474425436883946
4GTH56DHIABCte	-0.12214217187502716	1.3876863365299478e-07
4H2HXEAL2EDHx	-0.08155260350589442	0.0004493081234426855
4H2NNEAL2EDHx	-0.08155260350589442	0.0004493081234426855
4HOXPACDORx	-0.11340946452861263	1.0198679901995086e-06
4HOXPACDORy	-0.11340946452861263	1.0198679901995086e-06
4HPROLTASCT1	-0.1158803010177585	5.884489186438261e-07
4MOPt2	-0.003572777791398281	0.8780162402506275
4OHE1MT	-0.11139951266393298	1.5819736848814075e-06
4OHE1PX	0.005361931829420541	0.8178226023289323
4OHE2MT	-0.11139951266393298	1.5819736848814075e-06
4OHE2PX	0.005361931829420541	0.8178226023289323
4PCYSK	-0.11454328981851868	7.935207516418244e-07
4PERK	-0.023862733315878983	0.3052349015171983
4PERP	-0.024508769816765988	0.2923238658426474
4PYRNK	-0.008953753308587232	0.700493380422815
4PYRNMAT	-0.07394766066812074	0.001467197835174971
4PYRNN	-0.06349086212708266	0.006328116196365404
4PYRNt	-0.08396484008356958	0.00030214774836377026
4SGTH2OHE1ABCte	-0.12214217187502716	1.3876863365299478e-07
4SGTH2OHE2ABCte	-0.12214217187502716	1.3876863365299478e-07
56DHIGTHABCte	-0.12214217187502716	1.3876863365299478e-07
56DHIPX	0.0024255360708703164	0.9170110737763704
5ADHTRy	-0.08647114283861332	0.00019787744603167335
5AOPt2	0.04583403797943476	0.04883461506405055
5FLUDPK	0.0752448418389517	0.0012077047522317005
5FLUMPK	0.03619399602596238	0.11985612894753525
5FLURAABCte	-0.1359657415392256	4.403896671218885e-09
5FLURAPT	-0.0560710283837444	0.0159233441814153
5FLURAt	-0.08396484008356958	0.00030214774836377026
5FTHFABCte	-0.1513537143593378	6.161955831943215e-11
5FTHF_5MTHFtex	-0.1158803010177585	5.884489186438261e-07
5FTHF_AICARtex	-0.1158803010177585	5.884489186438261e-07
5FTHF_OHtex	-0.1158803010177585	5.884489186438261e-07
5FTHF_THMMPtex	-0.1158803010177585	5.884489186438261e-07
5HOXINDACTOX	-0.04568132625647775	0.04959250866179811
5INS7P5PP	-0.05474672628630122	0.018590337454215667
