	rho	pvalue
15KPGE1Ry	-0.03330578952748945	0.15237579507980384
15KPGE2Ry	-0.03330578952748945	0.15237579507980384
15KPGE3Ry	-0.03330578952748945	0.15237579507980384
15KPGF1Ry	-0.03330578952748945	0.15237579507980384
15KPGF2Ry	-0.03330578952748945	0.15237579507980384
15KPGF3Ry	-0.03330578952748945	0.15237579507980384
1SGTH2OHE1ABCte	-0.0594958335518406	0.010522625300065864
1SGTH2OHE2ABCte	-0.0594958335518406	0.010522625300065864
23CGAMPABCte	-0.10456699117305211	6.65367957368749e-06
23CGAMP_AICARtex	-0.04123289231568583	0.07637976185036145
23CGAMP_OHtex	-0.04123289231568583	0.07637976185036145
23CGAMP_THMMPtex	-0.04123289231568583	0.07637976185036145
23CN3PA	-0.02513104981829295	0.2802390766376851
23CN3PC	-0.02513104981829295	0.2802390766376851
23CN3PG	-0.02513104981829295	0.2802390766376851
23CN3PU	-0.02513104981829295	0.2802390766376851
23E1QN1GST	0.002358899061017647	0.9192831398634752
23E1QN4GST	0.002358899061017647	0.9192831398634752
23E2QN1GST	0.002358899061017647	0.9192831398634752
23E2QN4GST	0.002358899061017647	0.9192831398634752
2ABUTGLYDP	-0.014182938047245785	0.5423126800341571
2ABUTTA	-0.05399874916985641	0.020263035345561942
2ABUTtec	-0.04123289231568583	0.07637976185036145
2DADNt	-0.024104774162266102	0.30035411159928066
2DCYTt	-0.024104774162266102	0.30035411159928066
2DGSNt	-0.024104774162266102	0.30035411159928066
2DINSt	-0.024104774162266102	0.30035411159928066
2DURIt	-0.024104774162266102	0.30035411159928066
2H3MV	-0.03435650568366177	0.1398454734970112
2HBO	-0.03435650568366177	0.1398454734970112
2HB_5OXPROtex	-0.0026252457439755322	0.9102058696531922
2HB_ACACtex	-0.0026252457439755322	0.9102058696531922
2HB_ACtex	-0.0026252457439755322	0.9102058696531922
2HB_BUTtex	-0.0026252457439755322	0.9102058696531922
2HB_DLACtex	-0.0026252457439755322	0.9102058696531922
2HB_GLYCLTtex	-0.0026252457439755322	0.9102058696531922
2HB_PPAtex	-0.0026252457439755322	0.9102058696531922
2HBt2	-0.0026252457439755322	0.9102058696531922
2HIV	-0.03435650568366177	0.1398454734970112
2IMBUTDA	0.03288111586973297	0.15767594513003058
2IMPPADA	0.03288111586973297	0.15767594513003058
2LACK_L	-0.13651687777621285	3.809199893815214e-09
2LACP_L	-0.06854809504199552	0.0031958334473104638
2OBUT_2HBtex	-0.0026252457439755322	0.9102058696531922
2OBUT_5OXPROtex	-0.0026252457439755322	0.9102058696531922
2OBUT_ACACtex	-0.0026252457439755322	0.9102058696531922
2OBUT_ACtex	-0.0026252457439755322	0.9102058696531922
2OBUT_BUTtex	-0.0026252457439755322	0.9102058696531922
2OBUT_DLACtex	-0.0026252457439755322	0.9102058696531922
2OBUT_GLYCLTtex	-0.0026252457439755322	0.9102058696531922
2OBUT_LLACtex	-0.0026252457439755322	0.9102058696531922
2OBUT_PPAtex	-0.0026252457439755322	0.9102058696531922
2OBUTt	-0.0026252457439755322	0.9102058696531922
2OHE1MT	-0.03527668423856692	0.12953631835813165
2OHE1MT2	-0.03527668423856692	0.12953631835813165
2OHE1PX	0.015672519211340757	0.5007427440079522
2OHE2MT	-0.03527668423856692	0.12953631835813165
2OHE2MT2	-0.03527668423856692	0.12953631835813165
2OHE2PX	0.015672519211340757	0.5007427440079522
2SGTH4OHE1ABCte	-0.0594958335518406	0.010522625300065864
2SGTH4OHE2ABCte	-0.0594958335518406	0.010522625300065864
34DHALDDx	-0.04135195417791412	0.0755336123963715
34DHALDDy	-0.04135195417791412	0.0755336123963715
34DHOXMANDMT	-0.03527668423856692	0.12953631835813165
34DHPHAMT	-0.03527668423856692	0.12953631835813165
34DHXMANDACOXx	-0.04135195417791412	0.0755336123963715
34DHXMANDACOXy	-0.04135195417791412	0.0755336123963715
34E1QN2GST	0.002358899061017647	0.9192831398634752
34E2QN2GST	0.002358899061017647	0.9192831398634752
34HPLDH	-0.06687128218928613	0.0040279832846573825
34HPPT	0.06407483028538632	0.005861316127397168
3DGDH	-0.03833309885724935	0.09948244246910841
3DGRy	-0.03257181004436252	0.16162324962805766
3HKYNAKGAT	-0.05431821571669257	0.019533200233857552
3M4HDXPACx	-0.04135195417791412	0.0755336123963715
3M4HDXPACy	-0.04135195417791412	0.0755336123963715
3MOBt2	-0.0026252457439755322	0.9102058696531922
3OHAACPDH1	0.025846125567238733	0.2667764999239699
3OHAACPDH2	0.025846125567238733	0.2667764999239699
3OHAACPDH3	0.025846125567238733	0.2667764999239699
3OHAACPDH4	0.025846125567238733	0.2667764999239699
3OHAACPDH5	0.025846125567238733	0.2667764999239699
3OHAACPDH6	0.025846125567238733	0.2667764999239699
3OHAACPDH7	0.025846125567238733	0.2667764999239699
3OHAACPDH8	0.025846125567238733	0.2667764999239699
3OXAACPR1y	0.025846125567238733	0.2667764999239699
3OXAACPR2y	0.025846125567238733	0.2667764999239699
3OXAACPR3y	0.025846125567238733	0.2667764999239699
3OXAACPR4y	0.025846125567238733	0.2667764999239699
3OXAACPR5y	0.025846125567238733	0.2667764999239699
3OXAACPR6y	0.025846125567238733	0.2667764999239699
3OXAACPR7y	0.025846125567238733	0.2667764999239699
3OXAACPR8y	0.025846125567238733	0.2667764999239699
3SALATA	-0.05399874916985641	0.020263035345561942
4GTH56DHIABCte	-0.0594958335518406	0.010522625300065864
4H2HXEAL2EDHx	-0.05247595311504087	0.024077915289048162
4H2NNEAL2EDHx	-0.05247595311504087	0.024077915289048162
4HOXPACDORx	-0.04135195417791412	0.0755336123963715
4HOXPACDORy	-0.04135195417791412	0.0755336123963715
4HPROLTASCT1	-0.04123289231568583	0.07637976185036145
4MOPt2	-0.0026252457439755322	0.9102058696531922
4OHE1MT	-0.03527668423856692	0.12953631835813165
4OHE1PX	0.015672519211340757	0.5007427440079522
4OHE2MT	-0.03527668423856692	0.12953631835813165
4OHE2PX	0.015672519211340757	0.5007427440079522
4PCYSK	-0.030496047673755643	0.19006287525906743
4PERK	-0.14781227114042186	1.7138463850454921e-10
4PERP	-0.06854809504199552	0.0031958334473104638
4PYRNK	0.044733805694366933	0.054518397333679414
4PYRNMAT	-0.04504455775381462	0.052859784276842396
4PYRNN	-0.0352577519790588	0.12974231357294463
4PYRNt	-0.024104774162266102	0.30035411159928066
4SGTH2OHE1ABCte	-0.0594958335518406	0.010522625300065864
4SGTH2OHE2ABCte	-0.0594958335518406	0.010522625300065864
56DHIGTHABCte	-0.0594958335518406	0.010522625300065864
56DHIPX	0.003500257296160857	0.8804734918323609
5ADHTRy	-0.05680083197329954	0.01460231310626292
5AOPt2	0.003158686473457841	0.8920622051149942
5FLUDPK	-0.029016889664134474	0.21246815505094835
5FLUMPK	-0.0009534590538777466	0.9673278423113731
5FLURAABCte	-0.017366877992667663	0.4555919642288839
5FLURAPT	-0.0442159397934087	0.05737874148706699
5FLURAt	-0.024104774162266102	0.30035411159928066
5FTHFABCte	-0.02488811957624242	0.28491585180179385
5FTHF_5MTHFtex	-0.04123289231568583	0.07637976185036145
5FTHF_AICARtex	-0.04123289231568583	0.07637976185036145
5FTHF_OHtex	-0.04123289231568583	0.07637976185036145
5FTHF_THMMPtex	-0.04123289231568583	0.07637976185036145
5HOXINDACTOX	-0.03578223860840612	0.12412889491746285
5INS7P5PP	-0.046788627622447225	0.04431411852667318
5MTAtec	-0.024104774162266102	0.30035411159928066
5MTHFABCte	-0.02488811957624242	0.28491585180179385
5MTHF_AICARtex	-0.04123289231568583	0.07637976185036145
5MTHF_OHtex	-0.04123289231568583	0.07637976185036145
5MTHF_THMMPtex	-0.04123289231568583	0.07637976185036145
5OXPRO_ACACtex	-0.0026252457439755322	0.9102058696531922
5OXPRO_ACtex	-0.0026252457439755322	0.9102058696531922
5OXPRO_BUTtex	-0.0026252457439755322	0.9102058696531922
5OXPRO_DLACtex	-0.0026252457439755322	0.9102058696531922
5OXPRO_GLYCLTtex	-0.0026252457439755322	0.9102058696531922
5OXPRO_PPAtex	-0.0026252457439755322	0.9102058696531922
5OXPROt2	-0.0026252457439755322	0.9102058696531922
5PPINSP5P1K	0.040530458991651905	0.08153028091634167
6HOPTHPDH	-0.03430546246358671	0.14043528860397125
6PTHPDH	-0.03428110753942214	0.14071738768103884
6PTHPDH2	-0.05646505179197086	0.01519762600767133
78DHBPTt	-0.024104774162266102	0.30035411159928066
A4GALTc	-0.04123289231568583	0.07637976185036145
AASDHPPT	-0.010612325884653091	0.648454153745539
ABO1A	-0.04123289231568583	0.07637976185036145
ABO1B	-0.04123289231568583	0.07637976185036145
ABO2A	-0.04123289231568583	0.07637976185036145
ABO2B	-0.04123289231568583	0.07637976185036145
ABO3A	-0.04123289231568583	0.07637976185036145
ABO3AB	-0.04123289231568583	0.07637976185036145
ABO4A	-0.04123289231568583	0.07637976185036145
ABO4B	-0.04123289231568583	0.07637976185036145
ABO5A	-0.04123289231568583	0.07637976185036145
ABO5B	-0.04123289231568583	0.07637976185036145
ABUTDx	-0.04986954549699446	0.03205742814959488
AC4OACNAMDC	0.01767919038750045	0.4475267758502066
AC9OACNAMDC	0.01767919038750045	0.4475267758502066
ACACT1	-0.003697806595539315	0.8737825903257846
ACAC_ACtex	-0.0026252457439755322	0.9102058696531922
ACAC_GLYCLTtex	-0.0026252457439755322	0.9102058696531922
ACACt2	-0.0026252457439755322	0.9102058696531922
ACER	-0.04123289231568583	0.07637976185036145
ACGAMK	-0.014993051628048096	0.5194931072598807
ACGAMNT2	-0.04123289231568583	0.07637976185036145
ACGAMPM	0.008611402561877281	0.7114223193335224
ACHEe	-0.08774162942993115	0.0001589818870819017
ACHt	-0.04123289231568583	0.07637976185036145
ACITL	-0.07834104231964739	0.0007498935453908531
ACMAH	-0.026239589664760424	0.25956152774063257
ACMDAC	-0.04123289231568583	0.07637976185036145
ACNAM9PL	-0.004848697994954953	0.8349964354783608
ACNAM9PL2	-0.004848697994954953	0.8349964354783608
ACNAM9PL3	-0.004848697994954953	0.8349964354783608
ACNAMPH	-0.025666875265109714	0.27010870598709436
ACNML	-0.006652599736901199	0.7750358405654069
ACOATA	0.025846125567238733	0.2667764999239699
ACONT	-0.07649025064523249	0.0009990708727170307
ACYP	-0.03376930327044443	0.1467467428033107
ACYP2	-0.03376930327044443	0.1467467428033107
AC_GLYCLTtex	-0.0026252457439755322	0.9102058696531922
ACt2	-0.0026252457439755322	0.9102058696531922
ADA	-0.058678702740604355	0.01163686275638179
ADEt	-0.027083591333999738	0.24454352438089474
ADK1	-0.023391615315292515	0.31488502907557314
ADK3	-0.023391615315292515	0.31488502907557314
ADK4	-0.023391615315292515	0.31488502907557314
ADK5	-0.023391615315292515	0.31488502907557314
ADK6	-0.023391615315292515	0.31488502907557314
ADK7	-0.023391615315292515	0.31488502907557314
ADMARGARGtex	-0.04123289231568583	0.07637976185036145
ADMARGCITRtex	-0.04123289231568583	0.07637976185036145
ADMARGHIStex	-0.04123289231568583	0.07637976185036145
ADMARGLYStex	-0.04123289231568583	0.07637976185036145
ADMARGORNtex	-0.04123289231568583	0.07637976185036145
ADMARGt_L	-0.04123289231568583	0.07637976185036145
ADNCYC	-0.04123289231568583	0.07637976185036145
ADNK1	0.044733805694366933	0.054518397333679414
ADNt	-0.024104774162266102	0.30035411159928066
ADPGK	-0.04123289231568583	0.07637976185036145
ADPGKa	-0.04123289231568583	0.07637976185036145
ADPGLCDP	-0.01405019258567135	0.5460989701386465
ADPMNDP	-0.01405019258567135	0.5460989701386465
ADPRDACAC1	-0.040742576175512496	0.07994609517923477
ADPRDACAC2	-0.055838085072961285	0.01636655557983503
ADPRDP	-0.01405019258567135	0.5460989701386465
ADPRPI	-0.003110159187221287	0.8937105536209371
ADPRUDP	-0.01405019258567135	0.5460989701386465
ADPT	-0.03949422229144812	0.08963888050661073
ADRNCHR1ERx	-0.061697036047785626	0.00797826901472596
ADRNCHR2ERy	-0.036564152050968676	0.11611409666092289
ADRNCHR2ERz	-0.002419697942915479	0.9172101047209007
ADRNCHRGST	0.002358899061017647	0.9192831398634752
ADRNLGTHABCte	-0.0594958335518406	0.010522625300065864
ADRNLPX_L	0.003500257296160857	0.8804734918323609
ADRNLQ1ERx_L	-0.061697036047785626	0.00797826901472596
ADRNLQ2ERy_L	-0.036564152050968676	0.11611409666092289
ADRNLQ2ERz_L	-0.002419697942915479	0.9172101047209007
ADRNLQGST_L	0.002358899061017647	0.9192831398634752
ADSL1	-0.048256087395479146	0.038055598966024416
ADSL2	-0.048256087395479146	0.038055598966024416
ADSS	-0.04123289231568583	0.07637976185036145
AG1tec	-0.04123289231568583	0.07637976185036145
AGDC	-0.04123289231568583	0.07637976185036145
