	rho	pvalue
15KPGE1Ry	-0.11456889641841904	8.054179827474913e-07
15KPGE2Ry	-0.11456889641841904	8.054179827474913e-07
15KPGE3Ry	-0.11456889641841904	8.054179827474913e-07
15KPGF1Ry	-0.11456889641841904	8.054179827474913e-07
15KPGF2Ry	-0.11456889641841904	8.054179827474913e-07
15KPGF3Ry	-0.11456889641841904	8.054179827474913e-07
1SGTH2OHE1ABCte	-0.10023835075657965	1.6066537602144085e-05
1SGTH2OHE2ABCte	-0.10023835075657965	1.6066537602144085e-05
23CGAMPABCte	-0.08969504035085567	0.00011437498370186828
23CGAMP_AICARtex	-0.12996289060485303	2.11467375855944e-08
23CGAMP_OHtex	-0.12996289060485303	2.11467375855944e-08
23CGAMP_THMMPtex	-0.12996289060485303	2.11467375855944e-08
23CN3PA	-0.06891253629710804	0.003060976557547039
23CN3PC	-0.06891253629710804	0.003060976557547039
23CN3PG	-0.06891253629710804	0.003060976557547039
23CN3PU	-0.06891253629710804	0.003060976557547039
23E1QN1GST	-0.06400738893382733	0.005954141592140104
23E1QN4GST	-0.06400738893382733	0.005954141592140104
23E2QN1GST	-0.06400738893382733	0.005954141592140104
23E2QN4GST	-0.06400738893382733	0.005954141592140104
2ABUTGLYDP	-0.08045654875512118	0.0005418746933276204
2ABUTTA	-0.04620726686838152	0.04720268898662874
2ABUTtec	-0.12996289060485303	2.11467375855944e-08
2DADNt	-0.14017230024245325	1.4786069023994272e-09
2DCYTt	-0.14017230024245325	1.4786069023994272e-09
2DGSNt	-0.14017230024245325	1.4786069023994272e-09
2DINSt	-0.14017230024245325	1.4786069023994272e-09
2DURIt	-0.14017230024245325	1.4786069023994272e-09
2H3MV	-0.04263861678576098	0.0670904305975984
2HBO	-0.04263861678576098	0.0670904305975984
2HB_5OXPROtex	-0.0059875376242964195	0.7971683659529987
2HB_ACACtex	-0.0059875376242964195	0.7971683659529987
2HB_ACtex	-0.0059875376242964195	0.7971683659529987
2HB_BUTtex	-0.0059875376242964195	0.7971683659529987
2HB_DLACtex	-0.0059875376242964195	0.7971683659529987
2HB_GLYCLTtex	-0.0059875376242964195	0.7971683659529987
2HB_PPAtex	-0.0059875376242964195	0.7971683659529987
2HBt2	-0.0059875376242964195	0.7971683659529987
2HIV	-0.04263861678576098	0.0670904305975984
2IMBUTDA	0.03960770394213791	0.0889800914411987
2IMPPADA	0.03960770394213791	0.0889800914411987
2LACK_L	-0.1256250294747446	6.168969724921657e-08
2LACP_L	-0.06068854679313427	0.009122734879223472
2OBUT_2HBtex	-0.0059875376242964195	0.7971683659529987
2OBUT_5OXPROtex	-0.0059875376242964195	0.7971683659529987
2OBUT_ACACtex	-0.0059875376242964195	0.7971683659529987
2OBUT_ACtex	-0.0059875376242964195	0.7971683659529987
2OBUT_BUTtex	-0.0059875376242964195	0.7971683659529987
2OBUT_DLACtex	-0.0059875376242964195	0.7971683659529987
2OBUT_GLYCLTtex	-0.0059875376242964195	0.7971683659529987
2OBUT_LLACtex	-0.0059875376242964195	0.7971683659529987
2OBUT_PPAtex	-0.0059875376242964195	0.7971683659529987
2OBUTt	-0.0059875376242964195	0.7971683659529987
2OHE1MT	-0.11997503250437234	2.3594352112823949e-07
2OHE1MT2	-0.11997503250437234	2.3594352112823949e-07
2OHE1PX	0.01752495243103986	0.45186765424072695
2OHE2MT	-0.11997503250437234	2.3594352112823949e-07
2OHE2MT2	-0.11997503250437234	2.3594352112823949e-07
2OHE2PX	0.01752495243103986	0.45186765424072695
2SGTH4OHE1ABCte	-0.10023835075657965	1.6066537602144085e-05
2SGTH4OHE2ABCte	-0.10023835075657965	1.6066537602144085e-05
34DHALDDx	-0.12598889481455586	5.646790250606875e-08
34DHALDDy	-0.12598889481455586	5.646790250606875e-08
34DHOXMANDMT	-0.11997503250437234	2.3594352112823949e-07
34DHPHAMT	-0.11997503250437234	2.3594352112823949e-07
34DHXMANDACOXx	-0.12598889481455586	5.646790250606875e-08
34DHXMANDACOXy	-0.12598889481455586	5.646790250606875e-08
34E1QN2GST	-0.06400738893382733	0.005954141592140104
34E2QN2GST	-0.06400738893382733	0.005954141592140104
34HPLDH	-0.03456832504227347	0.13773821547501944
34HPPT	0.09341783816409688	5.852242408266095e-05
3DGDH	-0.179277505052614	8.607045708965657e-15
3DGRy	-0.031015865286335136	0.18297315278335127
3HKYNAKGAT	-0.12769919690270895	3.7136980288074883e-08
3M4HDXPACx	-0.12598889481455586	5.646790250606875e-08
3M4HDXPACy	-0.12598889481455586	5.646790250606875e-08
3MOBt2	-0.0059875376242964195	0.7971683659529987
3OHAACPDH1	-0.011041137873248685	0.6355368867055355
3OHAACPDH2	-0.011041137873248685	0.6355368867055355
3OHAACPDH3	-0.011041137873248685	0.6355368867055355
3OHAACPDH4	-0.011041137873248685	0.6355368867055355
3OHAACPDH5	-0.011041137873248685	0.6355368867055355
3OHAACPDH6	-0.011041137873248685	0.6355368867055355
3OHAACPDH7	-0.011041137873248685	0.6355368867055355
3OHAACPDH8	-0.011041137873248685	0.6355368867055355
3OXAACPR1y	-0.011041137873248685	0.6355368867055355
3OXAACPR2y	-0.011041137873248685	0.6355368867055355
3OXAACPR3y	-0.011041137873248685	0.6355368867055355
3OXAACPR4y	-0.011041137873248685	0.6355368867055355
3OXAACPR5y	-0.011041137873248685	0.6355368867055355
3OXAACPR6y	-0.011041137873248685	0.6355368867055355
3OXAACPR7y	-0.011041137873248685	0.6355368867055355
3OXAACPR8y	-0.011041137873248685	0.6355368867055355
3SALATA	-0.04620726686838152	0.04720268898662874
4GTH56DHIABCte	-0.10023835075657965	1.6066537602144085e-05
4H2HXEAL2EDHx	-0.17786552456539878	1.4016548621353491e-14
4H2NNEAL2EDHx	-0.17786552456539878	1.4016548621353491e-14
4HOXPACDORx	-0.12598889481455586	5.646790250606875e-08
