	rho	pvalue
15KPGE1Ry	0.35270288134771816	2.9392584841300188e-55
15KPGE2Ry	0.35270288134771816	2.9392584841300188e-55
15KPGE3Ry	0.35270288134771816	2.9392584841300188e-55
15KPGF1Ry	0.35270288134771816	2.9392584841300188e-55
15KPGF2Ry	0.35270288134771816	2.9392584841300188e-55
15KPGF3Ry	0.35270288134771816	2.9392584841300188e-55
1SGTH2OHE1ABCte	0.33493356029655913	1.1108366149901716e-49
1SGTH2OHE2ABCte	0.33493356029655913	1.1108366149901716e-49
23CGAMPABCte	0.16767390866803505	4.0294700655724807e-13
23CGAMP_AICARtex	0.3743582982164047	1.475468120326117e-62
23CGAMP_OHtex	0.3743582982164047	1.475468120326117e-62
23CGAMP_THMMPtex	0.3743582982164047	1.475468120326117e-62
23CN3PA	0.2728442548815136	6.601981442227451e-33
23CN3PC	0.2728442548815136	6.601981442227451e-33
23CN3PG	0.2728442548815136	6.601981442227451e-33
23CN3PU	0.2728442548815136	6.601981442227451e-33
23E1QN1GST	0.24580732690438928	7.796935911887255e-27
23E1QN4GST	0.24580732690438928	7.796935911887255e-27
23E2QN1GST	0.24580732690438928	7.796935911887255e-27
23E2QN4GST	0.24580732690438928	7.796935911887255e-27
2ABUTGLYDP	0.3361553911060689	4.717358624551434e-50
2ABUTTA	0.1382594056832205	2.3987260481182353e-09
2ABUTtec	0.3743582982164047	1.475468120326117e-62
2DADNt	0.18666621849185605	5.95399692392735e-16
2DCYTt	0.18666621849185605	5.95399692392735e-16
2DGSNt	0.18666621849185605	5.95399692392735e-16
2DINSt	0.18666621849185605	5.95399692392735e-16
2DURIt	0.18666621849185605	5.95399692392735e-16
2H3MV	0.33265006836892225	5.448599264425306e-49
2HBO	0.33265006836892225	5.448599264425306e-49
2HB_5OXPROtex	0.16852081895969676	3.0597372321612966e-13
2HB_ACACtex	0.16852081895969676	3.0597372321612966e-13
2HB_ACtex	0.16852081895969676	3.0597372321612966e-13
2HB_BUTtex	0.16852081895969676	3.0597372321612966e-13
2HB_DLACtex	0.16852081895969676	3.0597372321612966e-13
2HB_GLYCLTtex	0.16852081895969676	3.0597372321612966e-13
2HB_PPAtex	0.16852081895969676	3.0597372321612966e-13
