	rho	pvalue
15KPGE1Ry	-0.21039683969863823	1.148447743165382e-19
15KPGE2Ry	-0.21039683969863823	1.148447743165382e-19
15KPGE3Ry	-0.21039683969863823	1.148447743165382e-19
15KPGF1Ry	-0.21039683969863823	1.148447743165382e-19
15KPGF2Ry	-0.21039683969863823	1.148447743165382e-19
15KPGF3Ry	-0.21039683969863823	1.148447743165382e-19
1SGTH2OHE1ABCte	-0.1862718238129255	1.1141253047983773e-15
1SGTH2OHE2ABCte	-0.1862718238129255	1.1141253047983773e-15
23CGAMPABCte	-0.14229972726569837	1.0655133810657314e-09
23CGAMP_AICARtex	-0.21126558327405218	8.071255975054904e-20
23CGAMP_OHtex	-0.21126558327405218	8.071255975054904e-20
23CGAMP_THMMPtex	-0.21126558327405218	8.071255975054904e-20
23CN3PA	-0.11481034362784931	9.00560645606328e-07
23CN3PC	-0.11481034362784931	9.00560645606328e-07
23CN3PG	-0.11481034362784931	9.00560645606328e-07
23CN3PU	-0.11481034362784931	9.00560645606328e-07
23E1QN1GST	-0.10818116445131812	3.712721408303913e-06
23E1QN4GST	-0.10818116445131812	3.712721408303913e-06
23E2QN1GST	-0.10818116445131812	3.712721408303913e-06
23E2QN4GST	-0.10818116445131812	3.712721408303913e-06
2ABUTGLYDP	-0.13179631708276734	1.6523338207060526e-08
2ABUTTA	-0.07325282636128387	0.001760077738329451
2ABUTtec	-0.21126558327405218	8.071255975054904e-20
2DADNt	-0.20846948964635398	2.497577142948568e-19
2DCYTt	-0.20846948964635398	2.497577142948568e-19
2DGSNt	-0.20846948964635398	2.497577142948568e-19
2DINSt	-0.20846948964635398	2.497577142948568e-19
2DURIt	-0.20846948964635398	2.497577142948568e-19
2H3MV	-0.12439705042468814	1.0069267524136111e-07
2HBO	-0.12439705042468814	1.0069267524136111e-07
2HB_5OXPROtex	0.0019401172764209303	0.9340628933287799
2HB_ACACtex	0.0019401172764209303	0.9340628933287799
2HB_ACtex	0.0019401172764209303	0.9340628933287799
2HB_BUTtex	0.0019401172764209303	0.9340628933287799
2HB_DLACtex	0.0019401172764209303	0.9340628933287799
2HB_GLYCLTtex	0.0019401172764209303	0.9340628933287799
2HB_PPAtex	0.0019401172764209303	0.9340628933287799
2HBt2	0.0019401172764209303	0.9340628933287799
2HIV	-0.12439705042468814	1.0069267524136111e-07
2IMBUTDA	0.041349998453700826	0.07771874038108831
2IMPPADA	0.041349998453700826	0.07771874038108831
2LACK_L	-0.04111690345986661	0.07940894182401204
2LACP_L	-0.1287172519274374	3.548889892573952e-08
2OBUT_2HBtex	0.0019401172764209303	0.9340628933287799
2OBUT_5OXPROtex	0.0019401172764209303	0.9340628933287799
2OBUT_ACACtex	0.0019401172764209303	0.9340628933287799
2OBUT_ACtex	0.0019401172764209303	0.9340628933287799
2OBUT_BUTtex	0.0019401172764209303	0.9340628933287799
2OBUT_DLACtex	0.0019401172764209303	0.9340628933287799
2OBUT_GLYCLTtex	0.0019401172764209303	0.9340628933287799
2OBUT_LLACtex	0.0019401172764209303	0.9340628933287799
2OBUT_PPAtex	0.0019401172764209303	0.9340628933287799
2OBUTt	0.0019401172764209303	0.9340628933287799
2OHE1MT	-0.18992754838372713	2.9894206127426305e-16
2OHE1MT2	-0.18992754838372713	2.9894206127426305e-16
2OHE1PX	0.07224586111507988	0.002036376191132988
2OHE2MT	-0.18992754838372713	2.9894206127426305e-16
2OHE2MT2	-0.18992754838372713	2.9894206127426305e-16
2OHE2PX	0.07224586111507988	0.002036376191132988
2SGTH4OHE1ABCte	-0.1862718238129255	1.1141253047983773e-15
2SGTH4OHE2ABCte	-0.1862718238129255	1.1141253047983773e-15
34DHALDDx	-0.20902446296432522	1.998497224984735e-19
34DHALDDy	-0.20902446296432522	1.998497224984735e-19
34DHOXMANDMT	-0.18992754838372713	2.9894206127426305e-16
34DHPHAMT	-0.18992754838372713	2.9894206127426305e-16
34DHXMANDACOXx	-0.20902446296432522	1.998497224984735e-19
34DHXMANDACOXy	-0.20902446296432522	1.998497224984735e-19
34E1QN2GST	-0.10818116445131812	3.712721408303913e-06
34E2QN2GST	-0.10818116445131812	3.712721408303913e-06
34HPLDH	-0.10229643695722793	1.2210529011963968e-05
34HPPT	0.08528475616143788	0.0002689429495768149
3DGDH	-0.15052844318479283	1.075539014446913e-10
3DGRy	-0.10708054209207413	4.660855803282501e-06
3HKYNAKGAT	-0.2658807246248582	7.6768640854323655e-31
3M4HDXPACx	-0.20902446296432522	1.998497224984735e-19
3M4HDXPACy	-0.20902446296432522	1.998497224984735e-19
3MOBt2	0.0019401172764209303	0.9340628933287799
3OHAACPDH1	-0.05192058635391979	0.026719635336060397
3OHAACPDH2	-0.05192058635391979	0.026719635336060397
3OHAACPDH3	-0.05192058635391979	0.026719635336060397
3OHAACPDH4	-0.05192058635391979	0.026719635336060397
3OHAACPDH5	-0.05192058635391979	0.026719635336060397
3OHAACPDH6	-0.05192058635391979	0.026719635336060397
3OHAACPDH7	-0.05192058635391979	0.026719635336060397
3OHAACPDH8	-0.05192058635391979	0.026719635336060397
3OXAACPR1y	-0.05192058635391979	0.026719635336060397
3OXAACPR2y	-0.05192058635391979	0.026719635336060397
3OXAACPR3y	-0.05192058635391979	0.026719635336060397
3OXAACPR4y	-0.05192058635391979	0.026719635336060397
3OXAACPR5y	-0.05192058635391979	0.026719635336060397
