	rho	pvalue
15KPGE1Ry	-0.0770987997790007	0.0009923260967819958
15KPGE2Ry	-0.0770987997790007	0.0009923260967819958
15KPGE3Ry	-0.0770987997790007	0.0009923260967819958
15KPGF1Ry	-0.0770987997790007	0.0009923260967819958
15KPGF2Ry	-0.0770987997790007	0.0009923260967819958
15KPGF3Ry	-0.0770987997790007	0.0009923260967819958
1SGTH2OHE1ABCte	-0.0792879169022433	0.0007079637030410746
1SGTH2OHE2ABCte	-0.0792879169022433	0.0007079637030410746
23CGAMPABCte	-0.0680554269253714	0.003666480111627036
23CGAMP_AICARtex	-0.09119643057109116	9.735459590518826e-05
23CGAMP_OHtex	-0.09119643057109116	9.735459590518826e-05
23CGAMP_THMMPtex	-0.09119643057109116	9.735459590518826e-05
23CN3PA	-0.08104569656901894	0.0005365790014431095
23CN3PC	-0.08104569656901894	0.0005365790014431095
23CN3PG	-0.08104569656901894	0.0005365790014431095
23CN3PU	-0.08104569656901894	0.0005365790014431095
23E1QN1GST	-0.06525844333761956	0.00533887696898895
23E1QN4GST	-0.06525844333761956	0.00533887696898895
23E2QN1GST	-0.06525844333761956	0.00533887696898895
23E2QN4GST	-0.06525844333761956	0.00533887696898895
2ABUTGLYDP	-0.03158665609980345	0.17787925875179014
2ABUTTA	-0.044377343730912906	0.0583107229225648
2ABUTtec	-0.09119643057109116	9.735459590518826e-05
2DADNt	-0.0537314819378266	0.021849440663009992
2DCYTt	-0.0537314819378266	0.021849440663009992
2DGSNt	-0.0537314819378266	0.021849440663009992
2DINSt	-0.0537314819378266	0.021849440663009992
2DURIt	-0.0537314819378266	0.021849440663009992
2H3MV	-0.022068293560164775	0.3466063914654791
2HBO	-0.022068293560164775	0.3466063914654791
2HB_5OXPROtex	-0.04607619393133338	0.049308827380855194
2HB_ACACtex	-0.04607619393133338	0.049308827380855194
2HB_ACtex	-0.04607619393133338	0.049308827380855194
2HB_BUTtex	-0.04607619393133338	0.049308827380855194
2HB_DLACtex	-0.04607619393133338	0.049308827380855194
2HB_GLYCLTtex	-0.04607619393133338	0.049308827380855194
2HB_PPAtex	-0.04607619393133338	0.049308827380855194
2HBt2	-0.04607619393133338	0.049308827380855194
2HIV	-0.022068293560164775	0.3466063914654791
2IMBUTDA	-0.03198523276819496	0.17246582627406046
2IMPPADA	-0.03198523276819496	0.17246582627406046
2LACK_L	-0.14178223284837885	1.2255422836607295e-09
2LACP_L	-0.02635554416914452	0.26097154641945813
2OBUT_2HBtex	-0.04607619393133338	0.049308827380855194
2OBUT_5OXPROtex	-0.04607619393133338	0.049308827380855194
2OBUT_ACACtex	-0.04607619393133338	0.049308827380855194
2OBUT_ACtex	-0.04607619393133338	0.049308827380855194
2OBUT_BUTtex	-0.04607619393133338	0.049308827380855194
2OBUT_DLACtex	-0.04607619393133338	0.049308827380855194
2OBUT_GLYCLTtex	-0.04607619393133338	0.049308827380855194
2OBUT_LLACtex	-0.04607619393133338	0.049308827380855194
2OBUT_PPAtex	-0.04607619393133338	0.049308827380855194
2OBUTt	-0.04607619393133338	0.049308827380855194
2OHE1MT	-0.08264733178436597	0.0004148635225587144
2OHE1MT2	-0.08264733178436597	0.0004148635225587144
2OHE1PX	0.03629331814119645	0.12157469001071398
2OHE2MT	-0.08264733178436597	0.0004148635225587144
2OHE2MT2	-0.08264733178436597	0.0004148635225587144
2OHE2PX	0.03629331814119645	0.12157469001071398
2SGTH4OHE1ABCte	-0.0792879169022433	0.0007079637030410746
2SGTH4OHE2ABCte	-0.0792879169022433	0.0007079637030410746
34DHALDDx	-0.09114949868493398	9.816705836658497e-05
34DHALDDy	-0.09114949868493398	9.816705836658497e-05
