	rho	pvalue
15KPGE1Ry	-0.026704620657706575	0.2512097330368586
15KPGE2Ry	-0.026704620657706575	0.2512097330368586
15KPGE3Ry	-0.026704620657706575	0.2512097330368586
15KPGF1Ry	-0.026704620657706575	0.2512097330368586
15KPGF2Ry	-0.026704620657706575	0.2512097330368586
15KPGF3Ry	-0.026704620657706575	0.2512097330368586
1SGTH2OHE1ABCte	-0.020465247777369383	0.37925789660688114
1SGTH2OHE2ABCte	-0.020465247777369383	0.37925789660688114
23CGAMPABCte	-0.020093037500565833	0.38798922842021866
23CGAMP_AICARtex	-0.0059144393523309505	0.7994319765573589
23CGAMP_OHtex	-0.0059144393523309505	0.7994319765573589
23CGAMP_THMMPtex	-0.0059144393523309505	0.7994319765573589
23CN3PA	-0.038215798811856806	0.10052302863985227
23CN3PC	-0.038215798811856806	0.10052302863985227
23CN3PG	-0.038215798811856806	0.10052302863985227
23CN3PU	-0.038215798811856806	0.10052302863985227
23E1QN1GST	-0.026143172188172466	0.26131692544066654
23E1QN4GST	-0.026143172188172466	0.26131692544066654
23E2QN1GST	-0.026143172188172466	0.26131692544066654
23E2QN4GST	-0.026143172188172466	0.26131692544066654
2ABUTGLYDP	0.10365555804443621	8.00685997725007e-06
2ABUTTA	0.0008278878589614295	0.9716288373658497
2ABUTtec	-0.0059144393523309505	0.7994319765573589
2DADNt	-0.04301007355652325	0.06452464711090883
2DCYTt	-0.04301007355652325	0.06452464711090883
2DGSNt	-0.04301007355652325	0.06452464711090883
2DINSt	-0.04301007355652325	0.06452464711090883
2DURIt	-0.04301007355652325	0.06452464711090883
2H3MV	0.08995077126026398	0.00010791406076599816
2HBO	0.08995077126026398	0.00010791406076599816
2HB_5OXPROtex	0.04577246060566968	0.04913904056260853
2HB_ACACtex	0.04577246060566968	0.04913904056260853
2HB_ACtex	0.04577246060566968	0.04913904056260853
2HB_BUTtex	0.04577246060566968	0.04913904056260853
2HB_DLACtex	0.04577246060566968	0.04913904056260853
2HB_GLYCLTtex	0.04577246060566968	0.04913904056260853
2HB_PPAtex	0.04577246060566968	0.04913904056260853
2HBt2	0.04577246060566968	0.04913904056260853
2HIV	0.08995077126026398	0.00010791406076599816
2IMBUTDA	0.029898579166856273	0.1988940812419874
2IMPPADA	0.029898579166856273	0.1988940812419874
2LACK_L	-0.07465628953717977	0.001319689294181802
2LACP_L	0.02321243587656765	0.3186072716294577
2OBUT_2HBtex	0.04577246060566968	0.04913904056260853
2OBUT_5OXPROtex	0.04577246060566968	0.04913904056260853
2OBUT_ACACtex	0.04577246060566968	0.04913904056260853
2OBUT_ACtex	0.04577246060566968	0.04913904056260853
2OBUT_BUTtex	0.04577246060566968	0.04913904056260853
2OBUT_DLACtex	0.04577246060566968	0.04913904056260853
2OBUT_GLYCLTtex	0.04577246060566968	0.04913904056260853
2OBUT_LLACtex	0.04577246060566968	0.04913904056260853
2OBUT_PPAtex	0.04577246060566968	0.04913904056260853
2OBUTt	0.04577246060566968	0.04913904056260853
2OHE1MT	-0.022529538413471335	0.3330565105770027
2OHE1MT2	-0.022529538413471335	0.3330565105770027
2OHE1PX	0.023165355924082295	0.31959005920836664
2OHE2MT	-0.022529538413471335	0.3330565105770027
2OHE2MT2	-0.022529538413471335	0.3330565105770027
2OHE2PX	0.023165355924082295	0.31959005920836664
2SGTH4OHE1ABCte	-0.020465247777369383	0.37925789660688114
2SGTH4OHE2ABCte	-0.020465247777369383	0.37925789660688114
34DHALDDx	-0.004030282940441152	0.8625423495721329
34DHALDDy	-0.004030282940441152	0.8625423495721329
34DHOXMANDMT	-0.022529538413471335	0.3330565105770027
34DHPHAMT	-0.022529538413471335	0.3330565105770027
34DHXMANDACOXx	-0.004030282940441152	0.8625423495721329
34DHXMANDACOXy	-0.004030282940441152	0.8625423495721329
34E1QN2GST	-0.026143172188172466	0.26131692544066654
34E2QN2GST	-0.026143172188172466	0.26131692544066654
34HPLDH	0.03739662418091032	0.10803367674544243
34HPPT	-0.0029606949849498333	0.8987903246937259
3DGDH	0.007935583110066244	0.7331695787486859
3DGRy	0.021960865522804046	0.34540638173764804
3HKYNAKGAT	-0.015057456251993416	0.5177004145773099
3M4HDXPACx	-0.004030282940441152	0.8625423495721329
3M4HDXPACy	-0.004030282940441152	0.8625423495721329
3MOBt2	0.04577246060566968	0.04913904056260853
3OHAACPDH1	-0.009993850067750004	0.667676274918044
