	rho	pvalue
15KPGE1Ry	-0.08806402758606305	0.00015220032920444594
15KPGE2Ry	-0.08806402758606305	0.00015220032920444594
15KPGE3Ry	-0.08806402758606305	0.00015220032920444594
15KPGF1Ry	-0.08806402758606305	0.00015220032920444594
15KPGF2Ry	-0.08806402758606305	0.00015220032920444594
15KPGF3Ry	-0.08806402758606305	0.00015220032920444594
1SGTH2OHE1ABCte	-0.08026520827014487	0.0005587185501096887
1SGTH2OHE2ABCte	-0.08026520827014487	0.0005587185501096887
23CGAMPABCte	-0.08601221536222708	0.00021655723543826492
23CGAMP_AICARtex	-0.10420286851353677	7.289513577886573e-06
23CGAMP_OHtex	-0.10420286851353677	7.289513577886573e-06
23CGAMP_THMMPtex	-0.10420286851353677	7.289513577886573e-06
23CN3PA	-0.0523756580940766	0.024465746365462546
23CN3PC	-0.0523756580940766	0.024465746365462546
23CN3PG	-0.0523756580940766	0.024465746365462546
23CN3PU	-0.0523756580940766	0.024465746365462546
23E1QN1GST	-0.056481864854430505	0.015250101493985178
23E1QN4GST	-0.056481864854430505	0.015250101493985178
23E2QN1GST	-0.056481864854430505	0.015250101493985178
23E2QN4GST	-0.056481864854430505	0.015250101493985178
2ABUTGLYDP	-0.05337309857940443	0.021868745105551975
2ABUTTA	-0.028767605273195083	0.21679833380472735
2ABUTtec	-0.10420286851353677	7.289513577886573e-06
2DADNt	-0.13521930414418235	5.509626200004617e-09
2DCYTt	-0.13521930414418235	5.509626200004617e-09
2DGSNt	-0.13521930414418235	5.509626200004617e-09
2DINSt	-0.13521930414418235	5.509626200004617e-09
2DURIt	-0.13521930414418235	5.509626200004617e-09
2H3MV	-0.021364636435302602	0.35905467984764183
2HBO	-0.021364636435302602	0.35905467984764183
2HB_5OXPROtex	0.01869578331884963	0.42222068785804934
2HB_ACACtex	0.01869578331884963	0.42222068785804934
2HB_ACtex	0.01869578331884963	0.42222068785804934
2HB_BUTtex	0.01869578331884963	0.42222068785804934
2HB_DLACtex	0.01869578331884963	0.42222068785804934
2HB_GLYCLTtex	0.01869578331884963	0.42222068785804934
2HB_PPAtex	0.01869578331884963	0.42222068785804934
2HBt2	0.01869578331884963	0.42222068785804934
2HIV	-0.021364636435302602	0.35905467984764183
2IMBUTDA	0.06554467034018216	0.004855133095106814
2IMPPADA	0.06554467034018216	0.004855133095106814
2LACK_L	-0.11672090008147552	4.972748597024089e-07
2LACP_L	-0.0613464604506327	0.008395408602686134
2OBUT_2HBtex	0.01869578331884963	0.42222068785804934
2OBUT_5OXPROtex	0.01869578331884963	0.42222068785804934
2OBUT_ACACtex	0.01869578331884963	0.42222068785804934
2OBUT_ACtex	0.01869578331884963	0.42222068785804934
2OBUT_BUTtex	0.01869578331884963	0.42222068785804934
2OBUT_DLACtex	0.01869578331884963	0.42222068785804934
2OBUT_GLYCLTtex	0.01869578331884963	0.42222068785804934
2OBUT_LLACtex	0.01869578331884963	0.42222068785804934
2OBUT_PPAtex	0.01869578331884963	0.42222068785804934
2OBUTt	0.01869578331884963	0.42222068785804934
2OHE1MT	-0.1002404888312309	1.605981551930323e-05
2OHE1MT2	-0.1002404888312309	1.605981551930323e-05
2OHE1PX	0.01967844070893461	0.39824143011266144
2OHE2MT	-0.1002404888312309	1.605981551930323e-05
2OHE2MT2	-0.1002404888312309	1.605981551930323e-05
2OHE2PX	0.01967844070893461	0.39824143011266144
2SGTH4OHE1ABCte	-0.08026520827014487	0.0005587185501096887
2SGTH4OHE2ABCte	-0.08026520827014487	0.0005587185501096887
34DHALDDx	-0.10047457361292142	1.5339837963598345e-05
34DHALDDy	-0.10047457361292142	1.5339837963598345e-05
34DHOXMANDMT	-0.1002404888312309	1.605981551930323e-05
34DHPHAMT	-0.1002404888312309	1.605981551930323e-05
34DHXMANDACOXx	-0.10047457361292142	1.5339837963598345e-05
34DHXMANDACOXy	-0.10047457361292142	1.5339837963598345e-05
34E1QN2GST	-0.056481864854430505	0.015250101493985178
34E2QN2GST	-0.056481864854430505	0.015250101493985178
34HPLDH	-0.034252010368064044	0.1413785173467941
34HPPT	0.1002733653115587	1.5956788896642667e-05
3DGDH	-0.1623575904892053	2.288159815272063e-12
3DGRy	-0.008693242434939498	0.7090302159946593
3HKYNAKGAT	-0.10607954777538948	4.964439636663777e-06
3M4HDXPACx	-0.10047457361292142	1.5339837963598345e-05
3M4HDXPACy	-0.10047457361292142	1.5339837963598345e-05
3MOBt2	0.01869578331884963	0.42222068785804934
3OHAACPDH1	0.013802607453984842	0.5535183546332513
3OHAACPDH2	0.013802607453984842	0.5535183546332513
3OHAACPDH3	0.013802607453984842	0.5535183546332513
3OHAACPDH4	0.013802607453984842	0.5535183546332513
3OHAACPDH5	0.013802607453984842	0.5535183546332513
3OHAACPDH6	0.013802607453984842	0.5535183546332513
3OHAACPDH7	0.013802607453984842	0.5535183546332513
3OHAACPDH8	0.013802607453984842	0.5535183546332513
3OXAACPR1y	0.013802607453984842	0.5535183546332513
3OXAACPR2y	0.013802607453984842	0.5535183546332513
3OXAACPR3y	0.013802607453984842	0.5535183546332513
3OXAACPR4y	0.013802607453984842	0.5535183546332513
3OXAACPR5y	0.013802607453984842	0.5535183546332513
3OXAACPR6y	0.013802607453984842	0.5535183546332513
