	rho	pvalue
15KPGE1Ry	-0.14506112373917893	3.7309910361589076e-10
15KPGE2Ry	-0.14506112373917893	3.7309910361589076e-10
15KPGE3Ry	-0.14506112373917893	3.7309910361589076e-10
15KPGF1Ry	-0.14506112373917893	3.7309910361589076e-10
15KPGF2Ry	-0.14506112373917893	3.7309910361589076e-10
15KPGF3Ry	-0.14506112373917893	3.7309910361589076e-10
1SGTH2OHE1ABCte	-0.11311703627341481	1.0876386895934404e-06
1SGTH2OHE2ABCte	-0.11311703627341481	1.0876386895934404e-06
23CGAMPABCte	-0.08210460395389815	0.000410683927132771
23CGAMP_AICARtex	-0.16027099038280612	4.2093216051095175e-12
23CGAMP_OHtex	-0.16027099038280612	4.2093216051095175e-12
23CGAMP_THMMPtex	-0.16027099038280612	4.2093216051095175e-12
23CN3PA	-0.11133454118660942	1.604382546575511e-06
23CN3PC	-0.11133454118660942	1.604382546575511e-06
23CN3PG	-0.11133454118660942	1.604382546575511e-06
23CN3PU	-0.11133454118660942	1.604382546575511e-06
23E1QN1GST	-0.08169927583879764	0.0004387274524257925
23E1QN4GST	-0.08169927583879764	0.0004387274524257925
23E2QN1GST	-0.08169927583879764	0.0004387274524257925
23E2QN4GST	-0.08169927583879764	0.0004387274524257925
2ABUTGLYDP	-0.030903828776116284	0.1842033765191288
2ABUTTA	-0.07282315369969641	0.0017327108518831605
2ABUTtec	-0.16027099038280612	4.2093216051095175e-12
2DADNt	-0.1295975968891492	2.2574857401995692e-08
2DCYTt	-0.1295975968891492	2.2574857401995692e-08
2DGSNt	-0.1295975968891492	2.2574857401995692e-08
2DINSt	-0.1295975968891492	2.2574857401995692e-08
2DURIt	-0.1295975968891492	2.2574857401995692e-08
2H3MV	-0.025826406342463415	0.26714168464744786
2HBO	-0.025826406342463415	0.26714168464744786
2HB_5OXPROtex	-0.03303885328073171	0.15569123901962623
2HB_ACACtex	-0.03303885328073171	0.15569123901962623
2HB_ACtex	-0.03303885328073171	0.15569123901962623
2HB_BUTtex	-0.03303885328073171	0.15569123901962623
2HB_DLACtex	-0.03303885328073171	0.15569123901962623
2HB_GLYCLTtex	-0.03303885328073171	0.15569123901962623
2HB_PPAtex	-0.03303885328073171	0.15569123901962623
2HBt2	-0.03303885328073171	0.15569123901962623
2HIV	-0.025826406342463415	0.26714168464744786
2IMBUTDA	-0.0035911356823651996	0.8773943950479255
2IMPPADA	-0.0035911356823651996	0.8773943950479255
2LACK_L	-0.11928186886946868	2.709137370756141e-07
2LACP_L	-0.07097285198857252	0.0022672222076473075
2OBUT_2HBtex	-0.03303885328073171	0.15569123901962623
2OBUT_5OXPROtex	-0.03303885328073171	0.15569123901962623
2OBUT_ACACtex	-0.03303885328073171	0.15569123901962623
2OBUT_ACtex	-0.03303885328073171	0.15569123901962623
2OBUT_BUTtex	-0.03303885328073171	0.15569123901962623
2OBUT_DLACtex	-0.03303885328073171	0.15569123901962623
2OBUT_GLYCLTtex	-0.03303885328073171	0.15569123901962623
2OBUT_LLACtex	-0.03303885328073171	0.15569123901962623
2OBUT_PPAtex	-0.03303885328073171	0.15569123901962623
2OBUTt	-0.03303885328073171	0.15569123901962623
2OHE1MT	-0.1274347640818878	3.864581218362721e-08
2OHE1MT2	-0.1274347640818878	3.864581218362721e-08
2OHE1PX	0.02486437026905849	0.28537587603480036
2OHE2MT	-0.1274347640818878	3.864581218362721e-08
2OHE2MT2	-0.1274347640818878	3.864581218362721e-08
2OHE2PX	0.02486437026905849	0.28537587603480036
2SGTH4OHE1ABCte	-0.11311703627341481	1.0876386895934404e-06
2SGTH4OHE2ABCte	-0.11311703627341481	1.0876386895934404e-06
34DHALDDx	-0.1631827506926617	1.6943970903496924e-12
34DHALDDy	-0.1631827506926617	1.6943970903496924e-12
34DHOXMANDMT	-0.1274347640818878	3.864581218362721e-08
34DHPHAMT	-0.1274347640818878	3.864581218362721e-08
34DHXMANDACOXx	-0.1631827506926617	1.6943970903496924e-12
34DHXMANDACOXy	-0.1631827506926617	1.6943970903496924e-12
34E1QN2GST	-0.08169927583879764	0.0004387274524257925
34E2QN2GST	-0.08169927583879764	0.0004387274524257925
34HPLDH	-0.01361327362517713	0.5586528953008385
34HPPT	0.08491537591707798	0.0002576778820382296
3DGDH	-0.10868396786373924	2.828959691963372e-06
3DGRy	-0.12587052851918326	5.669861527786192e-08
3HKYNAKGAT	-0.1598612985032904	4.777906027513197e-12
3M4HDXPACx	-0.1631827506926617	1.6943970903496924e-12
3M4HDXPACy	-0.1631827506926617	1.6943970903496924e-12
3MOBt2	-0.03303885328073171	0.15569123901962623
3OHAACPDH1	-0.07602048959099135	0.0010735026630962312
3OHAACPDH2	-0.07602048959099135	0.0010735026630962312
