	rho	pvalue
15KPGE1Ry	-0.023095105683185305	0.3258261526288897
15KPGE2Ry	-0.023095105683185305	0.3258261526288897
15KPGE3Ry	-0.023095105683185305	0.3258261526288897
15KPGF1Ry	-0.023095105683185305	0.3258261526288897
15KPGF2Ry	-0.023095105683185305	0.3258261526288897
15KPGF3Ry	-0.023095105683185305	0.3258261526288897
1SGTH2OHE1ABCte	-0.044340204773511485	0.05914937281005232
1SGTH2OHE2ABCte	-0.044340204773511485	0.05914937281005232
23CGAMPABCte	-0.06484319718265252	0.005758581763235882
23CGAMP_AICARtex	-0.0276421554427523	0.2395657956115646
23CGAMP_OHtex	-0.0276421554427523	0.2395657956115646
23CGAMP_THMMPtex	-0.0276421554427523	0.2395657956115646
23CN3PA	0.029994327818641687	0.20188751227018517
23CN3PC	0.029994327818641687	0.20188751227018517
23CN3PG	0.029994327818641687	0.20188751227018517
23CN3PU	0.029994327818641687	0.20188751227018517
23E1QN1GST	-0.019913070380239522	0.3969112171981485
23E1QN4GST	-0.019913070380239522	0.3969112171981485
23E2QN1GST	-0.019913070380239522	0.3969112171981485
23E2QN4GST	-0.019913070380239522	0.3969112171981485
2ABUTGLYDP	0.08275167091796078	0.00042163579926372016
2ABUTTA	-0.029862393909483743	0.20387938734889502
2ABUTtec	-0.0276421554427523	0.2395657956115646
2DADNt	-0.0726931452639756	0.0019592958224497357
2DCYTt	-0.0726931452639756	0.0019592958224497357
2DGSNt	-0.0726931452639756	0.0019592958224497357
2DINSt	-0.0726931452639756	0.0019592958224497357
2DURIt	-0.0726931452639756	0.0019592958224497357
2H3MV	-0.03879861750966459	0.09872923743218896
2HBO	-0.03879861750966459	0.09872923743218896
2HB_5OXPROtex	0.039644773616420916	0.09158772145391973
2HB_ACACtex	0.039644773616420916	0.09158772145391973
2HB_ACtex	0.039644773616420916	0.09158772145391973
2HB_BUTtex	0.039644773616420916	0.09158772145391973
2HB_DLACtex	0.039644773616420916	0.09158772145391973
2HB_GLYCLTtex	0.039644773616420916	0.09158772145391973
2HB_PPAtex	0.039644773616420916	0.09158772145391973
2HBt2	0.039644773616420916	0.09158772145391973
2HIV	-0.03879861750966459	0.09872923743218896
2IMBUTDA	0.12306292786674228	1.4813483181730597e-07
