	rho	pvalue
15KPGE1Ry	0.1585068747419916	1.1565357206549372e-11
15KPGE2Ry	0.1585068747419916	1.1565357206549372e-11
15KPGE3Ry	0.1585068747419916	1.1565357206549372e-11
15KPGF1Ry	0.1585068747419916	1.1565357206549372e-11
15KPGF2Ry	0.1585068747419916	1.1565357206549372e-11
15KPGF3Ry	0.1585068747419916	1.1565357206549372e-11
1SGTH2OHE1ABCte	0.16774471851419762	6.645411548560278e-13
1SGTH2OHE2ABCte	0.16774471851419762	6.645411548560278e-13
23CGAMPABCte	0.09328745251872071	6.980279367944944e-05
23CGAMP_AICARtex	0.1710344053799447	2.3089467045424683e-13
23CGAMP_OHtex	0.1710344053799447	2.3089467045424683e-13
23CGAMP_THMMPtex	0.1710344053799447	2.3089467045424683e-13
23CN3PA	0.1293132236576946	3.314396830244592e-08
23CN3PC	0.1293132236576946	3.314396830244592e-08
23CN3PG	0.1293132236576946	3.314396830244592e-08
23CN3PU	0.1293132236576946	3.314396830244592e-08
23E1QN1GST	0.1306834459584192	2.3640636302630277e-08
23E1QN4GST	0.1306834459584192	2.3640636302630277e-08
23E2QN1GST	0.1306834459584192	2.3640636302630277e-08
23E2QN4GST	0.1306834459584192	2.3640636302630277e-08
2ABUTGLYDP	0.014230722022543557	0.544926389691416
2ABUTTA	0.12941047427797137	3.236228605200229e-08
2ABUTtec	0.1710344053799447	2.3089467045424683e-13
2DADNt	0.1238609502145752	1.2285061891050233e-07
2DCYTt	0.1238609502145752	1.2285061891050233e-07
2DGSNt	0.1238609502145752	1.2285061891050233e-07
2DINSt	0.1238609502145752	1.2285061891050233e-07
2DURIt	0.1238609502145752	1.2285061891050233e-07
2H3MV	0.131054685368511	2.1559587882917514e-08
2HBO	0.131054685368511	2.1559587882917514e-08
2HB_5OXPROtex	0.07239519764469995	0.0020450583828327137
2HB_ACACtex	0.07239519764469995	0.0020450583828327137
2HB_ACtex	0.07239519764469995	0.0020450583828327137
2HB_BUTtex	0.07239519764469995	0.0020450583828327137
2HB_DLACtex	0.07239519764469995	0.0020450583828327137
2HB_GLYCLTtex	0.07239519764469995	0.0020450583828327137
2HB_PPAtex	0.07239519764469995	0.0020450583828327137
2HBt2	0.07239519764469995	0.0020450583828327137
2HIV	0.131054685368511	2.1559587882917514e-08
2IMBUTDA	0.07360768230151671	0.0017162367716985275
2IMPPADA	0.07360768230151671	0.0017162367716985275
2LACK_L	0.18087115903249135	8.627524415511255e-15
2LACP_L	0.023658220085930548	0.3141657771204395
2OBUT_2HBtex	0.07239519764469995	0.0020450583828327137
2OBUT_5OXPROtex	0.07239519764469995	0.0020450583828327137
2OBUT_ACACtex	0.07239519764469995	0.0020450583828327137
2OBUT_ACtex	0.07239519764469995	0.0020450583828327137
2OBUT_BUTtex	0.07239519764469995	0.0020450583828327137
2OBUT_DLACtex	0.07239519764469995	0.0020450583828327137
2OBUT_GLYCLTtex	0.07239519764469995	0.0020450583828327137
2OBUT_LLACtex	0.07239519764469995	0.0020450583828327137
2OBUT_PPAtex	0.07239519764469995	0.0020450583828327137
2OBUTt	0.07239519764469995	0.0020450583828327137
2OHE1MT	0.15164311034056818	8.687782049711669e-11
2OHE1MT2	0.15164311034056818	8.687782049711669e-11
2OHE1PX	-0.030934023593007252	0.18810919169936702
2OHE2MT	0.15164311034056818	8.687782049711669e-11
2OHE2MT2	0.15164311034056818	8.687782049711669e-11
2OHE2PX	-0.030934023593007252	0.18810919169936702
2SGTH4OHE1ABCte	0.16774471851419762	6.645411548560278e-13
2SGTH4OHE2ABCte	0.16774471851419762	6.645411548560278e-13
34DHALDDx	0.16742707994997652	7.351375188602441e-13
34DHALDDy	0.16742707994997652	7.351375188602441e-13
34DHOXMANDMT	0.15164311034056818	8.687782049711669e-11
34DHPHAMT	0.15164311034056818	8.687782049711669e-11
34DHXMANDACOXx	0.16742707994997652	7.351375188602441e-13
34DHXMANDACOXy	0.16742707994997652	7.351375188602441e-13
34E1QN2GST	0.1306834459584192	2.3640636302630277e-08
34E2QN2GST	0.1306834459584192	2.3640636302630277e-08
34HPLDH	0.04225896618550299	0.07210975897821292
34HPPT	0.08330298188164324	0.00038562422041389205
3DGDH	0.027522097995330296	0.24161371817500113
3DGRy	0.1860907153689365	1.3959226631514685e-15
3HKYNAKGAT	0.14476725579576596	5.986754117052065e-10
3M4HDXPACx	0.16742707994997652	7.351375188602441e-13
3M4HDXPACy	0.16742707994997652	7.351375188602441e-13
3MOBt2	0.07239519764469995	0.0020450583828327137
3OHAACPDH1	0.1015726801288427	1.4780903706066127e-05
3OHAACPDH2	0.1015726801288427	1.4780903706066127e-05
3OHAACPDH3	0.1015726801288427	1.4780903706066127e-05
3OHAACPDH4	0.1015726801288427	1.4780903706066127e-05
3OHAACPDH5	0.1015726801288427	1.4780903706066127e-05
3OHAACPDH6	0.1015726801288427	1.4780903706066127e-05
3OHAACPDH7	0.1015726801288427	1.4780903706066127e-05
3OHAACPDH8	0.1015726801288427	1.4780903706066127e-05
3OXAACPR1y	0.1015726801288427	1.4780903706066127e-05
3OXAACPR2y	0.1015726801288427	1.4780903706066127e-05
3OXAACPR3y	0.1015726801288427	1.4780903706066127e-05
3OXAACPR4y	0.1015726801288427	1.4780903706066127e-05
3OXAACPR5y	0.1015726801288427	1.4780903706066127e-05
3OXAACPR6y	0.1015726801288427	1.4780903706066127e-05
3OXAACPR7y	0.1015726801288427	1.4780903706066127e-05
3OXAACPR8y	0.1015726801288427	1.4780903706066127e-05
3SALATA	0.12941047427797137	3.236228605200229e-08
4GTH56DHIABCte	0.16774471851419762	6.645411548560278e-13
4H2HXEAL2EDHx	0.12158587931524631	2.0881175986846122e-07
4H2NNEAL2EDHx	0.12158587931524631	2.0881175986846122e-07
4HOXPACDORx	0.16742707994997652	7.351375188602441e-13
4HOXPACDORy	0.16742707994997652	7.351375188602441e-13
4HPROLTASCT1	0.1710344053799447	2.3089467045424683e-13
4MOPt2	0.07239519764469995	0.0020450583828327137
4OHE1MT	0.15164311034056818	8.687782049711669e-11
4OHE1PX	-0.030934023593007252	0.18810919169936702
4OHE2MT	0.15164311034056818	8.687782049711669e-11
4OHE2PX	-0.030934023593007252	0.18810919169936702
4PCYSK	0.18714044297547264	9.614929035898727e-16
4PERK	0.06122416233537193	0.009138940155456339
4PERP	0.023658220085930548	0.3141657771204395
4PYRNK	0.12890900865383748	3.659363974930354e-08
4PYRNMAT	0.11190660915944939	1.7942712993423191e-06
4PYRNN	0.13683071203545322	4.973396818091238e-09
4PYRNt	0.1238609502145752	1.2285061891050233e-07
4SGTH2OHE1ABCte	0.16774471851419762	6.645411548560278e-13
4SGTH2OHE2ABCte	0.16774471851419762	6.645411548560278e-13
56DHIGTHABCte	0.16774471851419762	6.645411548560278e-13
56DHIPX	-0.02363522581924407	0.3146364802956738
5ADHTRy	0.1301485509063091	2.6985112114916178e-08
5AOPt2	0.06883136465994473	0.003373937278828983
5FLUDPK	0.08160343629854713	0.0005069350240902255
5FLUMPK	0.012294998090524633	0.6009554027481172
5FLURAABCte	0.1657977243659409	1.2301276492513991e-12
5FLURAPT	0.1500586994712204	1.3662362648187836e-10
5FLURAt	0.1238609502145752	1.2285061891050233e-07
5FTHFABCte	0.16047154119442142	6.3867553954898594e-12
5FTHF_5MTHFtex	0.1710344053799447	2.3089467045424683e-13
5FTHF_AICARtex	0.1710344053799447	2.3089467045424683e-13
5FTHF_OHtex	0.1710344053799447	2.3089467045424683e-13
5FTHF_THMMPtex	0.1710344053799447	2.3089467045424683e-13
