	rho	pvalue
15KPGE1Ry	0.4683960448230618	2.0488538805693017e-101
15KPGE2Ry	0.4683960448230618	2.0488538805693017e-101
15KPGE3Ry	0.4683960448230618	2.0488538805693017e-101
15KPGF1Ry	0.4683960448230618	2.0488538805693017e-101
15KPGF2Ry	0.4683960448230618	2.0488538805693017e-101
15KPGF3Ry	0.4683960448230618	2.0488538805693017e-101
1SGTH2OHE1ABCte	0.4613580579062199	4.616303739400209e-98
1SGTH2OHE2ABCte	0.4613580579062199	4.616303739400209e-98
23CGAMPABCte	0.29759986444506975	4.1617023607663774e-39
23CGAMP_AICARtex	0.5013593814045125	3.3209748361885987e-118
23CGAMP_OHtex	0.5013593814045125	3.3209748361885987e-118
23CGAMP_THMMPtex	0.5013593814045125	3.3209748361885987e-118
23CN3PA	0.33540627133504636	7.978968569919523e-50
23CN3PC	0.33540627133504636	7.978968569919523e-50
23CN3PG	0.33540627133504636	7.978968569919523e-50
23CN3PU	0.33540627133504636	7.978968569919523e-50
23E1QN1GST	0.31855825263385	7.41168981911494e-45
23E1QN4GST	0.31855825263385	7.41168981911494e-45
23E2QN1GST	0.31855825263385	7.41168981911494e-45
23E2QN4GST	0.31855825263385	7.41168981911494e-45
2ABUTGLYDP	0.4124383761559164	8.136410644686562e-77
2ABUTTA	0.21119782149609362	4.448950679555193e-20
2ABUTtec	0.5013593814045125	3.3209748361885987e-118
2DADNt	0.27439425448864124	2.816568821746089e-33
2DCYTt	0.27439425448864124	2.816568821746089e-33
2DGSNt	0.27439425448864124	2.816568821746089e-33
2DINSt	0.27439425448864124	2.816568821746089e-33
2DURIt	0.27439425448864124	2.816568821746089e-33
2H3MV	0.42709133252809717	8.109560451654453e-83
2HBO	0.42709133252809717	8.109560451654453e-83
2HB_5OXPROtex	0.19143228295293754	1.035226494683823e-16
2HB_ACACtex	0.19143228295293754	1.035226494683823e-16
2HB_ACtex	0.19143228295293754	1.035226494683823e-16
2HB_BUTtex	0.19143228295293754	1.035226494683823e-16
2HB_DLACtex	0.19143228295293754	1.035226494683823e-16
2HB_GLYCLTtex	0.19143228295293754	1.035226494683823e-16
2HB_PPAtex	0.19143228295293754	1.035226494683823e-16
2HBt2	0.19143228295293754	1.035226494683823e-16
2HIV	0.42709133252809717	8.109560451654453e-83
2IMBUTDA	0.19935574598648928	5.097979661150739e-18
2IMPPADA	0.19935574598648928	5.097979661150739e-18
2LACK_L	0.24544304878512996	9.308852065500893e-27
2LACP_L	0.3377018438022583	1.5867393733492443e-50
2OBUT_2HBtex	0.19143228295293754	1.035226494683823e-16
2OBUT_5OXPROtex	0.19143228295293754	1.035226494683823e-16
2OBUT_ACACtex	0.19143228295293754	1.035226494683823e-16
2OBUT_ACtex	0.19143228295293754	1.035226494683823e-16
2OBUT_BUTtex	0.19143228295293754	1.035226494683823e-16
2OBUT_DLACtex	0.19143228295293754	1.035226494683823e-16
2OBUT_GLYCLTtex	0.19143228295293754	1.035226494683823e-16
2OBUT_LLACtex	0.19143228295293754	1.035226494683823e-16
2OBUT_PPAtex	0.19143228295293754	1.035226494683823e-16
2OBUTt	0.19143228295293754	1.035226494683823e-16
2OHE1MT	0.4266131029075964	1.2870583683288033e-82
2OHE1MT2	0.4266131029075964	1.2870583683288033e-82
2OHE1PX	0.06137462994952287	0.008312688179340126
2OHE2MT	0.4266131029075964	1.2870583683288033e-82
2OHE2MT2	0.4266131029075964	1.2870583683288033e-82
2OHE2PX	0.06137462994952287	0.008312688179340126
2SGTH4OHE1ABCte	0.4613580579062199	4.616303739400209e-98
2SGTH4OHE2ABCte	0.4613580579062199	4.616303739400209e-98
34DHALDDx	0.4995696712026118	3.0258357769540813e-117
34DHALDDy	0.4995696712026118	3.0258357769540813e-117
34DHOXMANDMT	0.4266131029075964	1.2870583683288033e-82
34DHPHAMT	0.4266131029075964	1.2870583683288033e-82
34DHXMANDACOXx	0.4995696712026118	3.0258357769540813e-117
34DHXMANDACOXy	0.4995696712026118	3.0258357769540813e-117
34E1QN2GST	0.31855825263385	7.41168981911494e-45
34E2QN2GST	0.31855825263385	7.41168981911494e-45
34HPLDH	0.12360246030943983	9.803761512071491e-08
34HPPT	0.046116118352659254	0.047460218435504097
3DGDH	0.20009408419841568	3.825588408899092e-18
3DGRy	0.3805928659179714	9.152409742745895e-65
3HKYNAKGAT	0.4842629317687348	2.8760171196395657e-109
3M4HDXPACx	0.4995696712026118	3.0258357769540813e-117
3M4HDXPACy	0.4995696712026118	3.0258357769540813e-117
3MOBt2	0.19143228295293754	1.035226494683823e-16
3OHAACPDH1	0.3030360522879817	1.4889612095577992e-40
3OHAACPDH2	0.3030360522879817	1.4889612095577992e-40
3OHAACPDH3	0.3030360522879817	1.4889612095577992e-40
3OHAACPDH4	0.3030360522879817	1.4889612095577992e-40
3OHAACPDH5	0.3030360522879817	1.4889612095577992e-40
3OHAACPDH6	0.3030360522879817	1.4889612095577992e-40
3OHAACPDH7	0.3030360522879817	1.4889612095577992e-40
3OHAACPDH8	0.3030360522879817	1.4889612095577992e-40
3OXAACPR1y	0.3030360522879817	1.4889612095577992e-40
3OXAACPR2y	0.3030360522879817	1.4889612095577992e-40
3OXAACPR3y	0.3030360522879817	1.4889612095577992e-40
3OXAACPR4y	0.3030360522879817	1.4889612095577992e-40
3OXAACPR5y	0.3030360522879817	1.4889612095577992e-40
3OXAACPR6y	0.3030360522879817	1.4889612095577992e-40
3OXAACPR7y	0.3030360522879817	1.4889612095577992e-40
3OXAACPR8y	0.3030360522879817	1.4889612095577992e-40
3SALATA	0.21119782149609362	4.448950679555193e-20
4GTH56DHIABCte	0.4613580579062199	4.616303739400209e-98
4H2HXEAL2EDHx	0.42244031638703905	7.0188605365429545e-81
4H2NNEAL2EDHx	0.42244031638703905	7.0188605365429545e-81
4HOXPACDORx	0.4995696712026118	3.0258357769540813e-117
4HOXPACDORy	0.4995696712026118	3.0258357769540813e-117
4HPROLTASCT1	0.5013593814045125	3.3209748361885987e-118
4MOPt2	0.19143228295293754	1.035226494683823e-16
4OHE1MT	0.4266131029075964	1.2870583683288033e-82
4OHE1PX	0.06137462994952287	0.008312688179340126
4OHE2MT	0.4266131029075964	1.2870583683288033e-82
4OHE2PX	0.06137462994952287	0.008312688179340126
4PCYSK	0.4961785276571644	1.920765238337572e-115
4PERK	0.2273309601607222	4.3405671944240975e-23
4PERP	0.3377018438022583	1.5867393733492443e-50
4PYRNK	0.3895013094478757	5.2818333676541235e-68
4PYRNMAT	0.3227543230363803	4.5916436937900934e-46
4PYRNN	0.345720165296679	5.050253290552477e-53
4PYRNt	0.27439425448864124	2.816568821746089e-33
