	rho	pvalue
15KPGE1Ry	-0.1206650296514677	2.410765241463693e-07
15KPGE2Ry	-0.1206650296514677	2.410765241463693e-07
15KPGE3Ry	-0.1206650296514677	2.410765241463693e-07
15KPGF1Ry	-0.1206650296514677	2.410765241463693e-07
15KPGF2Ry	-0.1206650296514677	2.410765241463693e-07
15KPGF3Ry	-0.1206650296514677	2.410765241463693e-07
1SGTH2OHE1ABCte	-0.11663928899875663	6.006900189210323e-07
1SGTH2OHE2ABCte	-0.11663928899875663	6.006900189210323e-07
23CGAMPABCte	-0.07715132248544834	0.000984415558899735
23CGAMP_AICARtex	-0.1003499877882362	1.7855626606779973e-05
23CGAMP_OHtex	-0.1003499877882362	1.7855626606779973e-05
23CGAMP_THMMPtex	-0.1003499877882362	1.7855626606779973e-05
23CN3PA	-0.10984991180982083	2.618849836734317e-06
23CN3PC	-0.10984991180982083	2.618849836734317e-06
23CN3PG	-0.10984991180982083	2.618849836734317e-06
23CN3PU	-0.10984991180982083	2.618849836734317e-06
23E1QN1GST	-0.06036828703167222	0.009975198286487212
23E1QN4GST	-0.06036828703167222	0.009975198286487212
23E2QN1GST	-0.06036828703167222	0.009975198286487212
23E2QN4GST	-0.06036828703167222	0.009975198286487212
2ABUTGLYDP	0.033325307164255226	0.15516708095494694
2ABUTTA	-0.04422128172737855	0.05920206824479417
2ABUTtec	-0.1003499877882362	1.7855626606779973e-05
2DADNt	-0.08308646219861524	0.0003863054182987171
2DCYTt	-0.08308646219861524	0.0003863054182987171
2DGSNt	-0.08308646219861524	0.0003863054182987171
2DINSt	-0.08308646219861524	0.0003863054182987171
2DURIt	-0.08308646219861524	0.0003863054182987171
2H3MV	-0.011322540345364143	0.6292004912212918
2HBO	-0.011322540345364143	0.6292004912212918
2HB_5OXPROtex	-0.017841520734110806	0.446721494322032
2HB_ACACtex	-0.017841520734110806	0.446721494322032
2HB_ACtex	-0.017841520734110806	0.446721494322032
2HB_BUTtex	-0.017841520734110806	0.446721494322032
2HB_DLACtex	-0.017841520734110806	0.446721494322032
2HB_GLYCLTtex	-0.017841520734110806	0.446721494322032
2HB_PPAtex	-0.017841520734110806	0.446721494322032
2HBt2	-0.017841520734110806	0.446721494322032
2HIV	-0.011322540345364143	0.6292004912212918
2IMBUTDA	-0.05462631812484044	0.019741836757098785
2IMPPADA	-0.05462631812484044	0.019741836757098785
2LACK_L	-0.15739690426862707	1.4367142693846747e-11
2LACP_L	-0.0369521685685162	0.11495161492771039
2OBUT_2HBtex	-0.017841520734110806	0.446721494322032
2OBUT_5OXPROtex	-0.017841520734110806	0.446721494322032
2OBUT_ACACtex	-0.017841520734110806	0.446721494322032
2OBUT_ACtex	-0.017841520734110806	0.446721494322032
2OBUT_BUTtex	-0.017841520734110806	0.446721494322032
2OBUT_DLACtex	-0.017841520734110806	0.446721494322032
2OBUT_GLYCLTtex	-0.017841520734110806	0.446721494322032
2OBUT_LLACtex	-0.017841520734110806	0.446721494322032
2OBUT_PPAtex	-0.017841520734110806	0.446721494322032
2OBUTt	-0.017841520734110806	0.446721494322032
2OHE1MT	-0.0988717808558915	2.3721151213272222e-05
2OHE1MT2	-0.0988717808558915	2.3721151213272222e-05
2OHE1PX	-0.00033800047157584736	0.9884999691996966
2OHE2MT	-0.0988717808558915	2.3721151213272222e-05
2OHE2MT2	-0.0988717808558915	2.3721151213272222e-05
2OHE2PX	-0.00033800047157584736	0.9884999691996966
2SGTH4OHE1ABCte	-0.11663928899875663	6.006900189210323e-07
2SGTH4OHE2ABCte	-0.11663928899875663	6.006900189210323e-07
34DHALDDx	-0.09957492879120859	2.073331028240519e-05
34DHALDDy	-0.09957492879120859	2.073331028240519e-05
34DHOXMANDMT	-0.0988717808558915	2.3721151213272222e-05
34DHPHAMT	-0.0988717808558915	2.3721151213272222e-05
34DHXMANDACOXx	-0.09957492879120859	2.073331028240519e-05
34DHXMANDACOXy	-0.09957492879120859	2.073331028240519e-05
34E1QN2GST	-0.06036828703167222	0.009975198286487212
34E2QN2GST	-0.06036828703167222	0.009975198286487212
34HPLDH	0.0038572218311358087	0.8693473885007129
34HPPT	-0.03235327374147854	0.16757734131110824
3DGDH	-0.020889003859549605	0.3729907237438791
3DGRy	-0.07274654936959928	0.0018943736455416724
3HKYNAKGAT	-0.10360113446322106	9.428620220806605e-06
3M4HDXPACx	-0.09957492879120859	2.073331028240519e-05
3M4HDXPACy	-0.09957492879120859	2.073331028240519e-05
3MOBt2	-0.017841520734110806	0.446721494322032
3OHAACPDH1	-0.06785801905922377	0.003766674279559523
3OHAACPDH2	-0.06785801905922377	0.003766674279559523
3OHAACPDH3	-0.06785801905922377	0.003766674279559523
3OHAACPDH4	-0.06785801905922377	0.003766674279559523
3OHAACPDH5	-0.06785801905922377	0.003766674279559523
3OHAACPDH6	-0.06785801905922377	0.003766674279559523
3OHAACPDH7	-0.06785801905922377	0.003766674279559523
3OHAACPDH8	-0.06785801905922377	0.003766674279559523
3OXAACPR1y	-0.06785801905922377	0.003766674279559523
3OXAACPR2y	-0.06785801905922377	0.003766674279559523
3OXAACPR3y	-0.06785801905922377	0.003766674279559523
3OXAACPR4y	-0.06785801905922377	0.003766674279559523
3OXAACPR5y	-0.06785801905922377	0.003766674279559523
3OXAACPR6y	-0.06785801905922377	0.003766674279559523
3OXAACPR7y	-0.06785801905922377	0.003766674279559523
3OXAACPR8y	-0.06785801905922377	0.003766674279559523
3SALATA	-0.04422128172737855	0.05920206824479417
4GTH56DHIABCte	-0.11663928899875663	6.006900189210323e-07
4H2HXEAL2EDHx	-0.0680760803217553	0.0036561386645729355
4H2NNEAL2EDHx	-0.0680760803217553	0.0036561386645729355
4HOXPACDORx	-0.09957492879120859	2.073331028240519e-05
4HOXPACDORy	-0.09957492879120859	2.073331028240519e-05
4HPROLTASCT1	-0.1003499877882362	1.7855626606779973e-05
4MOPt2	-0.017841520734110806	0.446721494322032
4OHE1MT	-0.0988717808558915	2.3721151213272222e-05
4OHE1PX	-0.00033800047157584736	0.9884999691996966
4OHE2MT	-0.0988717808558915	2.3721151213272222e-05
4OHE2PX	-0.00033800047157584736	0.9884999691996966
4PCYSK	-0.09924714383979863	2.20786297225785e-05
4PERK	-0.03831995130213743	0.1021095184595481
4PERP	-0.0369521685685162	0.11495161492771039
4PYRNK	-0.0053077780004052765	0.8209324672815749
4PYRNMAT	-0.06150451101944964	0.00865786888530579
4PYRNN	-0.05733745815518785	0.014400900513223033
4PYRNt	-0.08308646219861524	0.0003863054182987171
4SGTH2OHE1ABCte	-0.11663928899875663	6.006900189210323e-07
4SGTH2OHE2ABCte	-0.11663928899875663	6.006900189210323e-07
56DHIGTHABCte	-0.11663928899875663	6.006900189210323e-07
56DHIPX	-0.002864635151416079	0.9027727846444211
5ADHTRy	-0.11758118261283844	4.864552766582009e-07
5AOPt2	0.0532881535436465	0.022964235940980585
5FLUDPK	0.055382049011930605	0.018102288239462652
5FLUMPK	0.040794053705384865	0.08179916615249876
5FLURAABCte	-0.12486422846538485	9.010455924611043e-08
5FLURAPT	-0.06383817163188998	0.006428457738807453
5FLURAt	-0.08308646219861524	0.0003863054182987171
5FTHFABCte	-0.1467970486310245	3.0914710720462906e-10
5FTHF_5MTHFtex	-0.1003499877882362	1.7855626606779973e-05
5FTHF_AICARtex	-0.1003499877882362	1.7855626606779973e-05
5FTHF_OHtex	-0.1003499877882362	1.7855626606779973e-05
5FTHF_THMMPtex	-0.1003499877882362	1.7855626606779973e-05
5HOXINDACTOX	-0.052705558881323	0.02450406402609032
5INS7P5PP	-0.05085718466149637	0.029995348483396925
5MTAtec	-0.08308646219861524	0.0003863054182987171
5MTHFABCte	-0.1467970486310245	3.0914710720462906e-10
5MTHF_AICARtex	-0.1003499877882362	1.7855626606779973e-05
5MTHF_OHtex	-0.1003499877882362	1.7855626606779973e-05
5MTHF_THMMPtex	-0.1003499877882362	1.7855626606779973e-05
5OXPRO_ACACtex	-0.017841520734110806	0.446721494322032
5OXPRO_ACtex	-0.017841520734110806	0.446721494322032
5OXPRO_BUTtex	-0.017841520734110806	0.446721494322032
5OXPRO_DLACtex	-0.017841520734110806	0.446721494322032
5OXPRO_GLYCLTtex	-0.017841520734110806	0.446721494322032
5OXPRO_PPAtex	-0.017841520734110806	0.446721494322032
5OXPROt2	-0.017841520734110806	0.446721494322032
5PPINSP5P1K	0.07613862074005036	0.0011477094998424175
6HOPTHPDH	-0.0352144182672412	0.1330596334189811
6PTHPDH	-0.05732873606239375	0.014415805812145159
6PTHPDH2	-0.12037105994976942	2.5795650552276215e-07
78DHBPTt	-0.08308646219861524	0.0003863054182987171
A4GALTc	-0.1003499877882362	1.7855626606779973e-05
AASDHPPT	-0.07944437141223358	0.0006908624789908352
ABO1A	-0.1003499877882362	1.7855626606779973e-05
ABO1B	-0.1003499877882362	1.7855626606779973e-05
