	rho	pvalue
15KPGE1Ry	-0.153917475441834	2.894145950870922e-11
15KPGE2Ry	-0.153917475441834	2.894145950870922e-11
15KPGE3Ry	-0.153917475441834	2.894145950870922e-11
15KPGF1Ry	-0.153917475441834	2.894145950870922e-11
15KPGF2Ry	-0.153917475441834	2.894145950870922e-11
15KPGF3Ry	-0.153917475441834	2.894145950870922e-11
1SGTH2OHE1ABCte	-0.14160207020654714	9.719230082295087e-10
1SGTH2OHE2ABCte	-0.14160207020654714	9.719230082295087e-10
23CGAMPABCte	-0.09769748719885178	2.586897914508688e-05
23CGAMP_AICARtex	-0.17647823615888317	2.148252139372131e-14
23CGAMP_OHtex	-0.17647823615888317	2.148252139372131e-14
23CGAMP_THMMPtex	-0.17647823615888317	2.148252139372131e-14
23CN3PA	-0.11287773699028521	1.1462985763122456e-06
23CN3PC	-0.11287773699028521	1.1462985763122456e-06
23CN3PG	-0.11287773699028521	1.1462985763122456e-06
23CN3PU	-0.11287773699028521	1.1462985763122456e-06
23E1QN1GST	-0.11177982521221923	1.4567125304798902e-06
23E1QN4GST	-0.11177982521221923	1.4567125304798902e-06
23E2QN1GST	-0.11177982521221923	1.4567125304798902e-06
23E2QN4GST	-0.11177982521221923	1.4567125304798902e-06
2ABUTGLYDP	-0.006644021235816172	0.7753181397059608
2ABUTTA	-0.08835335182326506	0.00014293360517341502
2ABUTtec	-0.17647823615888317	2.148252139372131e-14
2DADNt	-0.13718886643564993	3.189149191442318e-09
2DCYTt	-0.13718886643564993	3.189149191442318e-09
2DGSNt	-0.13718886643564993	3.189149191442318e-09
2DINSt	-0.13718886643564993	3.189149191442318e-09
2DURIt	-0.13718886643564993	3.189149191442318e-09
2H3MV	-0.05503372725838479	0.017981315192117684
2HBO	-0.05503372725838479	0.017981315192117684
2HB_5OXPROtex	-0.01962270169154015	0.3991957945311021
2HB_ACACtex	-0.01962270169154015	0.3991957945311021
2HB_ACtex	-0.01962270169154015	0.3991957945311021
2HB_BUTtex	-0.01962270169154015	0.3991957945311021
2HB_DLACtex	-0.01962270169154015	0.3991957945311021
2HB_GLYCLTtex	-0.01962270169154015	0.3991957945311021
2HB_PPAtex	-0.01962270169154015	0.3991957945311021
2HBt2	-0.01962270169154015	0.3991957945311021
2HIV	-0.05503372725838479	0.017981315192117684
2IMBUTDA	0.004942046578489782	0.8318666936637407
2IMPPADA	0.004942046578489782	0.8318666936637407
2LACK_L	-0.1911277174221606	1.1592759381328137e-16
2LACP_L	-0.06937251704533522	0.0028470324270770076
2OBUT_2HBtex	-0.01962270169154015	0.3991957945311021
2OBUT_5OXPROtex	-0.01962270169154015	0.3991957945311021
2OBUT_ACACtex	-0.01962270169154015	0.3991957945311021
2OBUT_ACtex	-0.01962270169154015	0.3991957945311021
2OBUT_BUTtex	-0.01962270169154015	0.3991957945311021
2OBUT_DLACtex	-0.01962270169154015	0.3991957945311021
2OBUT_GLYCLTtex	-0.01962270169154015	0.3991957945311021
2OBUT_LLACtex	-0.01962270169154015	0.3991957945311021
2OBUT_PPAtex	-0.01962270169154015	0.3991957945311021
2OBUTt	-0.01962270169154015	0.3991957945311021
2OHE1MT	-0.14840400338148504	1.4470241437917418e-10
2OHE1MT2	-0.14840400338148504	1.4470241437917418e-10
2OHE1PX	0.034793494055317564	0.13487366289229374
2OHE2MT	-0.14840400338148504	1.4470241437917418e-10
2OHE2MT2	-0.14840400338148504	1.4470241437917418e-10
2OHE2PX	0.034793494055317564	0.13487366289229374
2SGTH4OHE1ABCte	-0.14160207020654714	9.719230082295087e-10
2SGTH4OHE2ABCte	-0.14160207020654714	9.719230082295087e-10
34DHALDDx	-0.17554484082824168	2.952813872149767e-14
34DHALDDy	-0.17554484082824168	2.952813872149767e-14
34DHOXMANDMT	-0.14840400338148504	1.4470241437917418e-10
34DHPHAMT	-0.14840400338148504	1.4470241437917418e-10
34DHXMANDACOXx	-0.17554484082824168	2.952813872149767e-14
34DHXMANDACOXy	-0.17554484082824168	2.952813872149767e-14
34E1QN2GST	-0.11177982521221923	1.4567125304798902e-06
34E2QN2GST	-0.11177982521221923	1.4567125304798902e-06
34HPLDH	-0.03271089716247733	0.1598391174436037
34HPPT	0.04678620558255836	0.0443251256618549
3DGDH	-0.09421993827072385	4.9782017518878104e-05
3DGRy	-0.1570971282369343	1.1136878035599024e-11
3HKYNAKGAT	-0.1655928453377354	7.878257378387655e-13
3M4HDXPACx	-0.17554484082824168	2.952813872149767e-14
3M4HDXPACy	-0.17554484082824168	2.952813872149767e-14
3MOBt2	-0.01962270169154015	0.3991957945311021
3OHAACPDH1	-0.09515915070392664	4.180521606931357e-05
3OHAACPDH2	-0.09515915070392664	4.180521606931357e-05
3OHAACPDH3	-0.09515915070392664	4.180521606931357e-05
3OHAACPDH4	-0.09515915070392664	4.180521606931357e-05
3OHAACPDH5	-0.09515915070392664	4.180521606931357e-05
3OHAACPDH6	-0.09515915070392664	4.180521606931357e-05
3OHAACPDH7	-0.09515915070392664	4.180521606931357e-05
3OHAACPDH8	-0.09515915070392664	4.180521606931357e-05
3OXAACPR1y	-0.09515915070392664	4.180521606931357e-05
3OXAACPR2y	-0.09515915070392664	4.180521606931357e-05
3OXAACPR3y	-0.09515915070392664	4.180521606931357e-05
3OXAACPR4y	-0.09515915070392664	4.180521606931357e-05
3OXAACPR5y	-0.09515915070392664	4.180521606931357e-05
3OXAACPR6y	-0.09515915070392664	4.180521606931357e-05
3OXAACPR7y	-0.09515915070392664	4.180521606931357e-05
3OXAACPR8y	-0.09515915070392664	4.180521606931357e-05
3SALATA	-0.08835335182326506	0.00014293360517341502
4GTH56DHIABCte	-0.14160207020654714	9.719230082295087e-10
