	rho	pvalue
15KPGE1Ry		
15KPGE2Ry		
15KPGE3Ry		
15KPGF1Ry		
15KPGF2Ry		
15KPGF3Ry		
1SGTH2OHE1ABCte	0.13928883878415566	1.8202846566768746e-09
1SGTH2OHE2ABCte	0.13928883878415566	1.8202846566768746e-09
23CGAMPABCte	-0.020093037500565833	0.38798922842021866
23CGAMP_AICARtex	-0.020093037500565833	0.38798922842021866
23CGAMP_OHtex	-0.020093037500565833	0.38798922842021866
23CGAMP_THMMPtex	-0.020093037500565833	0.38798922842021866
23CN3PA		
23CN3PC		
23CN3PG		
23CN3PU		
23E1QN1GST	0.13928883878415566	1.8202846566768746e-09
23E1QN4GST	0.13928883878415566	1.8202846566768746e-09
23E2QN1GST	0.13928883878415566	1.8202846566768746e-09
23E2QN4GST	0.13928883878415566	1.8202846566768746e-09
2ABUTGLYDP	0.09151472866411638	8.159156962545398e-05
2ABUTTA	0.0008278878589614295	0.9716288373658497
2ABUTtec	0.0008278878589614295	0.9716288373658497
2DADNt	-0.04036959754445405	0.08274855753374147
2DCYTt		
2DGSNt	0.014272099213378603	0.5397769055357317
2DINSt	0.02105102483445423	0.3657636373039945
2DURIt	0.013904449477195643	0.550271014009061
2H3MV		
2HBO	0.08995077126026398	0.00010791406076599816
2HB_5OXPROtex	0.00660108164959539	0.7767316300093997
2HB_ACACtex	0.04313009363773341	0.06378201910303569
2HB_ACtex	0.00660108164959539	0.7767316300093997
2HB_BUTtex	0.08893342559529632	0.0001291344996218843
2HB_DLACtex	0.00660108164959539	0.7767316300093997
2HB_GLYCLTtex	-0.017652948620117678	0.44820130967285277
2HB_PPAtex	0.08893342559529632	0.0001291344996218843
2HBt2	0.08893342559529632	0.0001291344996218843
2HIV		
2IMBUTDA	0.00660108164959539	0.7767316300093997
2IMPPADA	-0.013571490082206076	0.5598607559697045
2LACK_L	-0.07465628953717977	0.001319689294181802
2LACP_L	-0.07465628953717977	0.001319689294181802
2OBUT_2HBtex	0.08893342559529632	0.0001291344996218843
2OBUT_5OXPROtex	0.00660108164959539	0.7767316300093997
2OBUT_ACACtex	0.0027326337284747674	0.9065492591898108
2OBUT_ACtex	0.00660108164959539	0.7767316300093997
2OBUT_BUTtex	0.04577246060566968	0.04913904056260853
2OBUT_DLACtex	0.00660108164959539	0.7767316300093997
2OBUT_GLYCLTtex	-0.05340485475414081	0.021683158027407917
2OBUT_LLACtex	0.04577246060566968	0.04913904056260853
2OBUT_PPAtex	0.04577246060566968	0.04913904056260853
2OBUTt	0.04577246060566968	0.04913904056260853
2OHE1MT	0.004085234745404823	0.8606871705104806
2OHE1MT2	0.004085234745404823	0.8606871705104806
2OHE1PX	0.023165355924082295	0.31959005920836664
