	rho	pvalue
15KPGE1Ry		
15KPGE2Ry		
15KPGE3Ry		
15KPGF1Ry		
15KPGF2Ry		
15KPGF3Ry		
1SGTH2OHE1ABCte	-0.12735067639557798	2.679768257748361e-06
1SGTH2OHE2ABCte	-0.12735067639557798	2.679768257748361e-06
23CGAMPABCte	-0.014715251128800684	0.5890582428669868
23CGAMP_AICARtex	-0.014715251128800684	0.5890582428669868
23CGAMP_OHtex	-0.014715251128800684	0.5890582428669868
23CGAMP_THMMPtex	-0.014715251128800684	0.5890582428669868
23CN3PA		
23CN3PC		
23CN3PG		
23CN3PU		
23E1QN1GST	-0.12735067639557798	2.679768257748361e-06
23E1QN4GST	-0.12735067639557798	2.679768257748361e-06
23E2QN1GST	-0.12735067639557798	2.679768257748361e-06
23E2QN4GST	-0.12735067639557798	2.679768257748361e-06
2ABUTGLYDP	-0.09490358500472136	0.000480076371183406
2ABUTTA	-0.018960100530130954	0.48639386554199815
2ABUTtec	-0.018960100530130954	0.48639386554199815
2DADNt	-0.04225363251574678	0.12072145595919
2DCYTt		
2DGSNt	0.015480460194892973	0.5698342674230361
2DINSt	0.00714047589142466	0.7932303536241251
2DURIt	0.015656468376165782	0.5654551538879928
2H3MV		
2HBO	-0.06770421945915862	0.012840490752177934
2HB_5OXPROtex	-0.03602134947521763	0.18593112026463263
2HB_ACACtex	-0.0836326013806468	0.0021022003182965487
2HB_ACtex	-0.03602134947521763	0.18593112026463263
2HB_BUTtex	-0.07124701876974485	0.008826913994438952
2HB_DLACtex	-0.03602134947521763	0.18593112026463263
2HB_GLYCLTtex	-0.08183424960382203	0.0026207025722260525
2HB_PPAtex	-0.07124701876974485	0.008826913994438952
2HBt2	-0.07124701876974485	0.008826913994438952
2HIV		
2IMBUTDA	-0.03602134947521763	0.18593112026463263
2IMPPADA	-0.11622334962774557	1.8615780915662475e-05
2LACK_L	-0.06058629146093718	0.026009791190696335
2LACP_L	-0.06058629146093718	0.026009791190696335
2OBUT_2HBtex	-0.07124701876974485	0.008826913994438952
2OBUT_5OXPROtex	-0.03602134947521763	0.18593112026463263
2OBUT_ACACtex	-0.09445174190539515	0.0005109776403963906
2OBUT_ACtex	-0.03602134947521763	0.18593112026463263
2OBUT_BUTtex	-0.07032138458938911	0.009749787550508753
2OBUT_DLACtex	-0.03602134947521763	0.18593112026463263
2OBUT_GLYCLTtex	-0.07813100323099063	0.004073038842756205
2OBUT_LLACtex	-0.07032138458938911	0.009749787550508753
2OBUT_PPAtex	-0.07032138458938911	0.009749787550508753
2OBUTt	-0.07032138458938911	0.009749787550508753
2OHE1MT	-0.022599580700120307	0.40670932729195364
2OHE1MT2	-0.022599580700120307	0.40670932729195364
2OHE1PX	-0.04515044419685315	0.09726858858990822
