	rho	pvalue
15KPGE1Ry
15KPGE2Ry
15KPGE3Ry
15KPGF1Ry
15KPGF2Ry
15KPGF3Ry
1SGTH2OHE1ABCte	-0.04160619613807585	0.07398717046434755
1SGTH2OHE2ABCte	-0.04160619613807585	0.07398717046434755
23CGAMPABCte	-0.08601221536222708	0.00021655723543826492
23CGAMP_AICARtex	-0.08601221536222708	0.00021655723543826492
23CGAMP_OHtex	-0.08601221536222708	0.00021655723543826492
23CGAMP_THMMPtex	-0.08601221536222708	0.00021655723543826492
23CN3PA
23CN3PC
23CN3PG
23CN3PU
23E1QN1GST	-0.04160619613807585	0.07398717046434755
23E1QN4GST	-0.04160619613807585	0.07398717046434755
23E2QN1GST	-0.04160619613807585	0.07398717046434755
23E2QN4GST	-0.04160619613807585	0.07398717046434755
2ABUTGLYDP	0.01728450214827638	0.45809854813044104
2ABUTTA	-0.028767605273195083	0.21679833380472735
2ABUTtec	-0.028767605273195083	0.21679833380472735
2DADNt	-0.1293193215366703	2.4842769349876305e-08
2DCYTt
2DGSNt	-0.18740387109979023	4.81016475076655e-16
2DINSt	-0.18035522938128087	5.916115733275091e-15
2DURIt	-0.18786175726927218	4.0724417808854474e-16
2H3MV
2HBO	-0.021364636435302602	0.35905467984764183
2HB_5OXPROtex	-0.021348812963252244	0.3594107748792412
2HB_ACACtex	-0.062077243475434224	0.00764865772055418
2HB_ACtex	-0.021348812963252244	0.3594107748792412
2HB_BUTtex	-0.019309009496505773	0.4071587258498087
2HB_DLACtex	-0.021348812963252244	0.3594107748792412
2HB_GLYCLTtex	-0.006297578511090843	0.7869124166246333
2HB_PPAtex	-0.019309009496505773	0.4071587258498087
2HBt2	-0.019309009496505773	0.4071587258498087
2HIV
2IMBUTDA	-0.021348812963252244	0.3594107748792412
2IMPPADA	-0.10241915537428821	1.043915191985967e-05
2LACK_L	-0.11672090008147552	4.972748597024089e-07
2LACP_L	-0.11672090008147552	4.972748597024089e-07
2OBUT_2HBtex	-0.019309009496505773	0.4071587258498087
2OBUT_5OXPROtex	-0.021348812963252244	0.3594107748792412
2OBUT_ACACtex	-0.0483618729064827	0.03779071493627223
2OBUT_ACtex	-0.021348812963252244	0.3594107748792412
2OBUT_BUTtex	0.01869578331884963	0.42222068785804934
2OBUT_DLACtex	-0.021348812963252244	0.3594107748792412
2OBUT_GLYCLTtex	0.007570630002803569	0.7452044958456387
2OBUT_LLACtex	0.01869578331884963	0.42222068785804934
2OBUT_PPAtex	0.01869578331884963	0.42222068785804934
2OBUTt	0.01869578331884963	0.42222068785804934
2OHE1MT	-0.1310445414245014	1.6102793668580465e-08
2OHE1MT2	-0.1310445414245014	1.6102793668580465e-08
2OHE1PX	0.01967844070893461	0.39824143011266144
