	rho	pvalue
15KPGE1Ry
15KPGE2Ry
15KPGE3Ry
15KPGF1Ry
15KPGF2Ry
15KPGF3Ry
1SGTH2OHE1ABCte	-0.059749803226559935	0.010196179272787263
1SGTH2OHE2ABCte	-0.059749803226559935	0.010196179272787263
23CGAMPABCte	-0.08210460395389815	0.000410683927132771
23CGAMP_AICARtex	-0.08210460395389815	0.000410683927132771
23CGAMP_OHtex	-0.08210460395389815	0.000410683927132771
23CGAMP_THMMPtex	-0.08210460395389815	0.000410683927132771
23CN3PA
23CN3PC
23CN3PG
23CN3PU
23E1QN1GST	-0.059749803226559935	0.010196179272787263
23E1QN4GST	-0.059749803226559935	0.010196179272787263
23E2QN1GST	-0.059749803226559935	0.010196179272787263
23E2QN4GST	-0.059749803226559935	0.010196179272787263
2ABUTGLYDP	-0.056322388569506214	0.01545695340191067
2ABUTTA	-0.07282315369969641	0.0017327108518831605
2ABUTtec	-0.07282315369969641	0.0017327108518831605
2DADNt	-0.12423831805627752	8.416723990321508e-08
2DCYTt
2DGSNt	-0.1727966484919627	7.457790584765197e-14
2DINSt	-0.1728699483256039	7.277175743211334e-14
2DURIt	-0.1729611167762786	7.058517893859946e-14
2H3MV
2HBO	-0.025826406342463415	0.26714168464744786
2HB_5OXPROtex	-0.07579671118836538	0.001110732831014836
2HB_ACACtex	-0.08506251748974526	0.00025136879257003263
2HB_ACtex	-0.07579671118836538	0.001110732831014836
2HB_BUTtex	-0.02776524113281128	0.23286746924302262
2HB_DLACtex	-0.07579671118836538	0.001110732831014836
2HB_GLYCLTtex	-0.04258287095458356	0.06722605089357486
2HB_PPAtex	-0.02776524113281128	0.23286746924302262
2HBt2	-0.02776524113281128	0.23286746924302262
2HIV
2IMBUTDA	-0.07579671118836538	0.001110732831014836
2IMPPADA	-0.17235436242961225	8.644838137196883e-14
2LACK_L	-0.11928186886946868	2.709137370756141e-07
2LACP_L	-0.11928186886946868	2.709137370756141e-07
2OBUT_2HBtex	-0.02776524113281128	0.23286746924302262
2OBUT_5OXPROtex	-0.07579671118836538	0.001110732831014836
2OBUT_ACACtex	-0.10104088582889578	1.3503365866177648e-05
2OBUT_ACtex	-0.07579671118836538	0.001110732831014836
2OBUT_BUTtex	-0.03303885328073171	0.15569123901962623
2OBUT_DLACtex	-0.07579671118836538	0.001110732831014836
2OBUT_GLYCLTtex	-0.043147331012025586	0.06367594388686516
2OBUT_LLACtex	-0.03303885328073171	0.15569123901962623
2OBUT_PPAtex	-0.03303885328073171	0.15569123901962623
2OBUTt	-0.03303885328073171	0.15569123901962623
2OHE1MT	-0.1375894549339789	2.8674811066846993e-09
2OHE1MT2	-0.1375894549339789	2.8674811066846993e-09
2OHE1PX	0.02486437026905849	0.28537587603480036
