	rho	pvalue
15KPGE1Ry
15KPGE2Ry
15KPGE3Ry
15KPGF1Ry
15KPGF2Ry
15KPGF3Ry
1SGTH2OHE1ABCte	0.027475853060388876	0.24240583265676185
1SGTH2OHE2ABCte	0.027475853060388876	0.24240583265676185
23CGAMPABCte	-0.06484319718265252	0.005758581763235882
23CGAMP_AICARtex	-0.06484319718265252	0.005758581763235882
23CGAMP_OHtex	-0.06484319718265252	0.005758581763235882
23CGAMP_THMMPtex	-0.06484319718265252	0.005758581763235882
23CN3PA
23CN3PC
23CN3PG
23CN3PU
23E1QN1GST	0.027475853060388876	0.24240583265676185
23E1QN4GST	0.027475853060388876	0.24240583265676185
23E2QN1GST	0.027475853060388876	0.24240583265676185
23E2QN4GST	0.027475853060388876	0.24240583265676185
2ABUTGLYDP	0.12027449766202944	2.8227443430232696e-07
2ABUTTA	-0.029862393909483743	0.20387938734889502
2ABUTtec	-0.029862393909483743	0.20387938734889502
2DADNt	-0.07560806924096607	0.0012781389346058283
2DCYTt
2DGSNt	-0.05739848786269076	0.014539758943565137
2DINSt	-0.059616193851908944	0.01114165119278151
2DURIt	-0.05783965633787502	0.013798850098823123
2H3MV
2HBO	-0.03879861750966459	0.09872923743218896
2HB_5OXPROtex	-0.020850416857093573	0.37505950749885497
2HB_ACACtex	-0.06727301404832085	0.004171145389355236
2HB_ACtex	-0.020850416857093573	0.37505950749885497
2HB_BUTtex	-0.0353815882628461	0.13218501290036375
2HB_DLACtex	-0.020850416857093573	0.37505950749885497
2HB_GLYCLTtex	0.03083911632702766	0.18946846109575166
2HB_PPAtex	-0.0353815882628461	0.13218501290036375
2HBt2	-0.0353815882628461	0.13218501290036375
2HIV
2IMBUTDA	-0.020850416857093573	0.37505950749885497
2IMPPADA	-0.054522467823412774	0.02028602512400056
2LACK_L	-0.13334957619048715	1.21279691972537e-08
2LACP_L	-0.13334957619048715	1.21279691972537e-08
2OBUT_2HBtex	-0.0353815882628461	0.13218501290036375
2OBUT_5OXPROtex	-0.020850416857093573	0.37505950749885497
2OBUT_ACACtex	-0.0561481731552329	0.01683328356656495
2OBUT_ACtex	-0.020850416857093573	0.37505950749885497
2OBUT_BUTtex	0.039644773616420916	0.09158772145391973
2OBUT_DLACtex	-0.020850416857093573	0.37505950749885497
2OBUT_GLYCLTtex	0.05060078570095244	0.03125216517108253
2OBUT_LLACtex	0.039644773616420916	0.09158772145391973
2OBUT_PPAtex	0.039644773616420916	0.09158772145391973
2OBUTt	0.039644773616420916	0.09158772145391973
2OHE1MT	-0.07850413730414225	0.0008240464478496551
2OHE1MT2	-0.07850413730414225	0.0008240464478496551
2OHE1PX	0.018246464175033384	0.43760923709744515
2OHE2MT	-0.07850413730414225	0.0008240464478496551
