	rho	pvalue
15KPGE1Ry
15KPGE2Ry
15KPGE3Ry
15KPGF1Ry
15KPGF2Ry
15KPGF3Ry
1SGTH2OHE1ABCte	0.05160007158753167	0.02806058059769521
1SGTH2OHE2ABCte	0.05160007158753167	0.02806058059769521
23CGAMPABCte	-0.03286136784222118	0.162040505796334
23CGAMP_AICARtex	-0.03286136784222118	0.162040505796334
23CGAMP_OHtex	-0.03286136784222118	0.162040505796334
23CGAMP_THMMPtex	-0.03286136784222118	0.162040505796334
23CN3PA
23CN3PC
23CN3PG
23CN3PU
23E1QN1GST	0.05160007158753167	0.02806058059769521
23E1QN4GST	0.05160007158753167	0.02806058059769521
23E2QN1GST	0.05160007158753167	0.02806058059769521
23E2QN4GST	0.05160007158753167	0.02806058059769521
2ABUTGLYDP	0.10477985967271146	7.841877806741203e-06
2ABUTTA	-0.07068946332269858	0.002605855196933304
2ABUTtec	-0.07068946332269858	0.002605855196933304
2DADNt	-0.031748603858840256	0.17673721188616903
2DCYTt
2DGSNt	0.00992886146751025	0.6727575310530673
2DINSt	0.009324167312568384	0.691631408312436
2DURIt	0.009883810061307507	0.6741567882836985
2H3MV
2HBO	-0.04060786741122216	0.08397045201776704
2HB_5OXPROtex	-0.06526577273770895	0.00544840392986128
2HB_ACACtex	-0.06428775140638533	0.006190464310917279
2HB_ACtex	-0.06526577273770895	0.00544840392986128
2HB_BUTtex	-0.039722173167413784	0.09095573249016098
2HB_DLACtex	-0.06526577273770895	0.00544840392986128
2HB_GLYCLTtex	0.0067592361476294565	0.7737071843352662
2HB_PPAtex	-0.039722173167413784	0.09095573249016098
2HBt2	-0.039722173167413784	0.09095573249016098
2HIV
2IMBUTDA	-0.06526577273770895	0.00544840392986128
2IMPPADA	-0.04638983878368778	0.04833581537726447
2LACK_L	-0.1922792382571733	1.5016749627656148e-16
2LACP_L	-0.1922792382571733	1.5016749627656148e-16
2OBUT_2HBtex	-0.039722173167413784	0.09095573249016098
2OBUT_5OXPROtex	-0.06526577273770895	0.00544840392986128
2OBUT_ACACtex	-0.05288980918780897	0.024359320060856757
2OBUT_ACtex	-0.06526577273770895	0.00544840392986128
2OBUT_BUTtex	0.0039618061961153766	0.8661672565945919
2OBUT_DLACtex	-0.06526577273770895	0.00544840392986128
2OBUT_GLYCLTtex	0.02187323999050057	0.3520812159144293
2OBUT_LLACtex	0.0039618061961153766	0.8661672565945919
2OBUT_PPAtex	0.0039618061961153766	0.8661672565945919
2OBUTt	0.0039618061961153766	0.8661672565945919
2OHE1MT	-0.06538482441501237	0.005363781698135212
2OHE1MT2	-0.06538482441501237	0.005363781698135212
2OHE1PX	0.004868693091071579	0.8359264828684383
2OHE2MT	-0.06538482441501237	0.005363781698135212
