	rho	pvalue
15KPGE1Ry		
15KPGE2Ry		
15KPGE3Ry		
15KPGF1Ry		
15KPGF2Ry		
15KPGF3Ry		
1SGTH2OHE1ABCte	0.20525834044399888	1.0901704103327454e-18
1SGTH2OHE2ABCte	0.20525834044399888	1.0901704103327454e-18
23CGAMPABCte	-0.01064722193942298	0.6506015276295478
23CGAMP_AICARtex	-0.01064722193942298	0.6506015276295478
23CGAMP_OHtex	-0.01064722193942298	0.6506015276295478
23CGAMP_THMMPtex	-0.01064722193942298	0.6506015276295478
23CN3PA		
23CN3PC		
23CN3PG		
23CN3PU		
23E1QN1GST	0.20525834044399888	1.0901704103327454e-18
23E1QN4GST	0.20525834044399888	1.0901704103327454e-18
23E2QN1GST	0.20525834044399888	1.0901704103327454e-18
23E2QN4GST	0.20525834044399888	1.0901704103327454e-18
2ABUTGLYDP	0.03774108666514645	0.1082715442010618
2ABUTTA	-0.08399449334518756	0.00034451244752772126
2ABUTtec	-0.08399449334518756	0.00034451244752772126
2DADNt	0.15461442752723933	3.6693724747642494e-11
2DCYTt		
2DGSNt	0.10131678060992462	1.553532128098107e-05
2DINSt	0.10884739452810721	3.417640569361233e-06
2DURIt	0.10202560987445097	1.3530411768838117e-05
2H3MV		
2HBO	0.05387730822841312	0.02181862576811037
2HB_5OXPROtex	-0.07131603786773158	0.002385293403605503
2HB_ACACtex	0.02010072346637183	0.39247621251761733
2HB_ACtex	-0.07131603786773158	0.002385293403605503
2HB_BUTtex	0.05291887789919195	0.024281019974510033
2HB_DLACtex	-0.07131603786773158	0.002385293403605503
2HB_GLYCLTtex	0.05560424431221532	0.01792629798238829
2HB_PPAtex	0.05291887789919195	0.024281019974510033
2HBt2	0.05291887789919195	0.024281019974510033
2HIV		
2IMBUTDA	-0.07131603786773158	0.002385293403605503
2IMPPADA	0.07210402229007634	0.0021321836386360613
2LACK_L	0.0019852084535313076	0.9327007896683136
2LACP_L	0.0019852084535313076	0.9327007896683136
2OBUT_2HBtex	0.05291887789919195	0.024281019974510033
2OBUT_5OXPROtex	-0.07131603786773158	0.002385293403605503
2OBUT_ACACtex	0.0030939827529059215	0.8952905364037658
2OBUT_ACtex	-0.07131603786773158	0.002385293403605503
2OBUT_BUTtex	0.022274697698371544	0.34331095489972474
2OBUT_DLACtex	-0.07131603786773158	0.002385293403605503
2OBUT_GLYCLTtex	0.05600881848059549	0.01710759500685242
2OBUT_LLACtex	0.022274697698371544	0.34331095489972474
2OBUT_PPAtex	0.022274697698371544	0.34331095489972474
2OBUTt	0.022274697698371544	0.34331095489972474
2OHE1MT	0.07119546557990108	0.002426361212253897
2OHE1MT2	0.07119546557990108	0.002426361212253897
2OHE1PX	-0.06885973792510158	0.003360803659626006
