	rho	pvalue
15KPGE1Ry		
15KPGE2Ry		
15KPGE3Ry		
15KPGF1Ry		
15KPGF2Ry		
15KPGF3Ry		
1SGTH2OHE1ABCte	0.06526026730225343	0.005452346179719788
1SGTH2OHE2ABCte	0.06526026730225343	0.005452346179719788
23CGAMPABCte	0.09328745251872071	6.980279367944944e-05
23CGAMP_AICARtex	0.09328745251872071	6.980279367944944e-05
23CGAMP_OHtex	0.09328745251872071	6.980279367944944e-05
23CGAMP_THMMPtex	0.09328745251872071	6.980279367944944e-05
23CN3PA		
23CN3PC		
23CN3PG		
23CN3PU		
23E1QN1GST	0.06526026730225343	0.005452346179719788
23E1QN4GST	0.06526026730225343	0.005452346179719788
23E2QN1GST	0.06526026730225343	0.005452346179719788
23E2QN4GST	0.06526026730225343	0.005452346179719788
2ABUTGLYDP	0.11823776885874715	4.480082523876778e-07
2ABUTTA	0.12941047427797137	3.236228605200229e-08
2ABUTtec	0.12941047427797137	3.236228605200229e-08
2DADNt	0.12644074355648247	6.654796271691122e-08
2DCYTt		
2DGSNt	0.09470373596629204	5.399954280526881e-05
2DINSt	0.09065198884694092	0.00011148479918967496
2DURIt	0.09433382175209608	5.776396790090703e-05
2H3MV		
2HBO	0.131054685368511	2.1559587882917514e-08
2HB_5OXPROtex	0.13708876216778085	4.651193017597647e-09
2HB_ACACtex	0.1328123671140256	1.3888556769507984e-08
2HB_ACtex	0.13708876216778085	4.651193017597647e-09
2HB_BUTtex	0.13295412374258636	1.3401260275005286e-08
2HB_DLACtex	0.13708876216778085	4.651193017597647e-09
2HB_GLYCLTtex	0.1754147799025439	5.468715808873155e-14
2HB_PPAtex	0.13295412374258636	1.3401260275005286e-08
2HBt2	0.13295412374258636	1.3401260275005286e-08
2HIV		
2IMBUTDA	0.13708876216778085	4.651193017597647e-09
2IMPPADA	0.1542940074010806	4.030035020624951e-11
2LACK_L	0.18087115903249135	8.627524415511255e-15
2LACP_L	0.18087115903249135	8.627524415511255e-15
2OBUT_2HBtex	0.13295412374258636	1.3401260275005286e-08
2OBUT_5OXPROtex	0.13708876216778085	4.651193017597647e-09
2OBUT_ACACtex	0.11070085637676123	2.3177278349076604e-06
2OBUT_ACtex	0.13708876216778085	4.651193017597647e-09
2OBUT_BUTtex	0.07239519764469995	0.0020450583828327137
2OBUT_DLACtex	0.13708876216778085	4.651193017597647e-09
2OBUT_GLYCLTtex	0.1583770751321078	1.2024944359517775e-11
2OBUT_LLACtex	0.07239519764469995	0.0020450583828327137
2OBUT_PPAtex	0.07239519764469995	0.0020450583828327137
2OBUTt	0.07239519764469995	0.0020450583828327137
2OHE1MT	0.1620996351193507	3.8827475679053874e-12
2OHE1MT2	0.1620996351193507	3.8827475679053874e-12
