	rho	pvalue
15KPGE1Ry
15KPGE2Ry
15KPGE3Ry
15KPGF1Ry
15KPGF2Ry
15KPGF3Ry
1SGTH2OHE1ABCte	-0.10386371462905325	9.416163482940631e-06
1SGTH2OHE2ABCte	-0.10386371462905325	9.416163482940631e-06
23CGAMPABCte	-0.0438661291185984	0.06191756067613844
23CGAMP_AICARtex	-0.0438661291185984	0.06191756067613844
23CGAMP_OHtex	-0.0438661291185984	0.06191756067613844
23CGAMP_THMMPtex	-0.0438661291185984	0.06191756067613844
23CN3PA
23CN3PC
23CN3PG
23CN3PU
23E1QN1GST	-0.10386371462905325	9.416163482940631e-06
23E1QN4GST	-0.10386371462905325	9.416163482940631e-06
23E2QN1GST	-0.10386371462905325	9.416163482940631e-06
23E2QN4GST	-0.10386371462905325	9.416163482940631e-06
2ABUTGLYDP	0.07654572670107522	0.0011105767250522377
2ABUTTA	0.04359470913655139	0.06355006992727141
2ABUTtec	0.04359470913655139	0.06355006992727141
2DADNt	-0.15836995604203663	1.2050661794013407e-11
2DCYTt
2DGSNt	-0.1116312342341031	1.9027402539642564e-06
2DINSt	-0.11707727308777054	5.809231952272026e-07
2DURIt	-0.11249649359186165	1.5815445028332262e-06
2H3MV
2HBO	-0.058803819264004804	0.012294516922850789
2HB_5OXPROtex	0.04120680449559549	0.07949754816851444
2HB_ACACtex	-0.05433029404802173	0.02073241510918849
2HB_ACtex	0.04120680449559549	0.07949754816851444
2HB_BUTtex	-0.05584020460628445	0.01744473435404308
2HB_DLACtex	0.04120680449559549	0.07949754816851444
2HB_GLYCLTtex	0.010901904836483777	0.6428187046320106
2HB_PPAtex	-0.05584020460628445	0.01744473435404308
2HBt2	-0.05584020460628445	0.01744473435404308
2HIV
2IMBUTDA	0.04120680449559549	0.07949754816851444
2IMPPADA	-0.07940851646601305	0.0007163590137483932
2LACK_L	-0.09910553548308682	2.37691230978027e-05
2LACP_L	-0.09910553548308682	2.37691230978027e-05
2OBUT_2HBtex	-0.05584020460628445	0.01744473435404308
2OBUT_5OXPROtex	0.04120680449559549	0.07949754816851444
2OBUT_ACACtex	-0.0367685970377882	0.11767680621109027
2OBUT_ACtex	0.04120680449559549	0.07949754816851444
2OBUT_BUTtex	0.014742251904220259	0.5305653601814377
2OBUT_DLACtex	0.04120680449559549	0.07949754816851444
2OBUT_GLYCLTtex	0.028156019965782497	0.2309386520641737
2OBUT_LLACtex	0.014742251904220259	0.5305653601814377
2OBUT_PPAtex	0.014742251904220259	0.5305653601814377
2OBUTt	0.014742251904220259	0.5305653601814377
2OHE1MT	-0.10085985654620686	1.6974462235885887e-05
2OHE1MT2	-0.10085985654620686	1.6974462235885887e-05
2OHE1PX	0.06973018300197863	0.0029798096309054225
