	rho	pvalue
15KPGE1Ry
15KPGE2Ry
15KPGE3Ry
15KPGF1Ry
15KPGF2Ry
15KPGF3Ry
1SGTH2OHE1ABCte	-0.15312478728553863	5.664543716292569e-11
1SGTH2OHE2ABCte	-0.15312478728553863	5.664543716292569e-11
23CGAMPABCte	-0.01349405745318464	0.5659412043902068
23CGAMP_AICARtex	-0.01349405745318464	0.5659412043902068
23CGAMP_OHtex	-0.01349405745318464	0.5659412043902068
23CGAMP_THMMPtex	-0.01349405745318464	0.5659412043902068
23CN3PA
23CN3PC
23CN3PG
23CN3PU
23E1QN1GST	-0.15312478728553863	5.664543716292569e-11
23E1QN4GST	-0.15312478728553863	5.664543716292569e-11
23E2QN1GST	-0.15312478728553863	5.664543716292569e-11
23E2QN4GST	-0.15312478728553863	5.664543716292569e-11
2ABUTGLYDP	-0.10504931911971895	7.428926111165613e-06
2ABUTTA	0.08796100244039419	0.0001775603925959639
2ABUTtec	0.08796100244039419	0.0001775603925959639
2DADNt	-0.084666289533473	0.0003085272936816696
2DCYTt
2DGSNt	-0.11526459556413912	8.674104085767487e-07
2DINSt	-0.11215640450744652	1.7010336259319901e-06
2DURIt	-0.11519050800050334	8.816278556020305e-07
2H3MV
2HBO	-0.023066307476180055	0.3264299377681449
2HB_5OXPROtex	0.07628254882261029	0.0011554326608767798
2HB_ACACtex	-0.005050974658895048	0.8298758198589582
2HB_ACtex	0.07628254882261029	0.0011554326608767798
2HB_BUTtex	-0.023184171440830084	0.3239633889288639
2HB_DLACtex	0.07628254882261029	0.0011554326608767798
2HB_GLYCLTtex	-0.05750125307720817	0.014364110050340656
2HB_PPAtex	-0.023184171440830084	0.3239633889288639
2HBt2	-0.023184171440830084	0.3239633889288639
2HIV
2IMBUTDA	0.07628254882261029	0.0011554326608767798
2IMPPADA	-0.05453315013565285	0.020261459446345116
2LACK_L	0.044559645693598646	0.05790321828869916
2LACP_L	0.044559645693598646	0.05790321828869916
2OBUT_2HBtex	-0.023184171440830084	0.3239633889288639
2OBUT_5OXPROtex	0.07628254882261029	0.0011554326608767798
2OBUT_ACACtex	-0.013908174821933048	0.5540798941320801
2OBUT_ACtex	0.07628254882261029	0.0011554326608767798
2OBUT_BUTtex	-0.0370463120357563	0.11492783162848144
2OBUT_DLACtex	0.07628254882261029	0.0011554326608767798
2OBUT_GLYCLTtex	-0.06512625227123836	0.00554910668783386
2OBUT_LLACtex	-0.0370463120357563	0.11492783162848144
2OBUT_PPAtex	-0.0370463120357563	0.11492783162848144
2OBUTt	-0.0370463120357563	0.11492783162848144
2OHE1MT	-0.05196099905130781	0.02697892841495991
2OHE1MT2	-0.05196099905130781	0.02697892841495991
2OHE1PX	0.019900178667509035	0.3972170057459943
