	rho	pvalue
15KPGE1Ry
15KPGE2Ry
15KPGE3Ry
15KPGF1Ry
15KPGF2Ry
15KPGF3Ry
1SGTH2OHE1ABCte	0.03922982239902697	0.09503627436366574
1SGTH2OHE2ABCte	0.03922982239902697	0.09503627436366574
23CGAMPABCte	-0.015502591421938577	0.509579717033795
23CGAMP_AICARtex	-0.015502591421938577	0.509579717033795
23CGAMP_OHtex	-0.015502591421938577	0.509579717033795
23CGAMP_THMMPtex	-0.015502591421938577	0.509579717033795
23CN3PA
23CN3PC
23CN3PG
23CN3PU
23E1QN1GST	0.03922982239902697	0.09503627436366574
23E1QN4GST	0.03922982239902697	0.09503627436366574
23E2QN1GST	0.03922982239902697	0.09503627436366574
23E2QN4GST	0.03922982239902697	0.09503627436366574
2ABUTGLYDP	0.07367946180038501	0.0016983843464702824
2ABUTTA	0.0823713623563779	0.0004482805699514107
2ABUTtec	0.0823713623563779	0.0004482805699514107
2DADNt	-0.01994830426386834	0.39607620156578993
2DCYTt
2DGSNt	-0.01745349437051773	0.45778619740962434
2DINSt	-0.02346844464432199	0.31806442548056607
2DURIt	-0.018273726689501644	0.4369247619995794
2H3MV
2HBO	0.02393602635215026	0.3085155403980517
2HB_5OXPROtex	0.07427944708450486	0.001555702629627361
2HB_ACACtex	0.030525583700716164	0.19401030253479298
2HB_ACtex	0.07427944708450486	0.001555702629627361
2HB_BUTtex	0.022664172036158836	0.33493696404290707
2HB_DLACtex	0.07427944708450486	0.001555702629627361
2HB_GLYCLTtex	0.03656786365562827	0.119695678156861
2HB_PPAtex	0.022664172036158836	0.33493696404290707
2HBt2	0.022664172036158836	0.33493696404290707
2HIV
2IMBUTDA	0.07427944708450486	0.001555702629627361
2IMPPADA	0.002935539955011256	0.9006241649290284
2LACK_L	0.07451297320387931	0.0015032143765692412
2LACP_L	0.07451297320387931	0.0015032143765692412
2OBUT_2HBtex	0.022664172036158836	0.33493696404290707
2OBUT_5OXPROtex	0.07427944708450486	0.001555702629627361
2OBUT_ACACtex	0.03705473921670849	0.11484521069358115
2OBUT_ACtex	0.07427944708450486	0.001555702629627361
2OBUT_BUTtex	-0.006909653175184788	0.7688130379619756
2OBUT_DLACtex	0.07427944708450486	0.001555702629627361
2OBUT_GLYCLTtex	0.031718674196461745	0.17714577787812102
2OBUT_LLACtex	-0.006909653175184788	0.7688130379619756
2OBUT_PPAtex	-0.006909653175184788	0.7688130379619756
2OBUTt	-0.006909653175184788	0.7688130379619756
2OHE1MT	0.04381546938032562	0.062219603701902874
2OHE1MT2	0.04381546938032562	0.062219603701902874
2OHE1PX	0.03666301378749596	0.11873535361959367
2OHE2MT	0.04381546938032562	0.062219603701902874
2OHE2MT2	0.04381546938032562	0.062219603701902874
