	rho	pvalue
15KPGE1Ry		
15KPGE2Ry		
15KPGE3Ry		
15KPGF1Ry		
15KPGF2Ry		
15KPGF3Ry		
1SGTH2OHE1ABCte	0.4672774962338704	7.073412944228295e-101
1SGTH2OHE2ABCte	0.4672774962338704	7.073412944228295e-101
23CGAMPABCte	1.0	0.0
23CGAMP_AICARtex	0.586544677280008	3.0274866649475694e-171
23CGAMP_OHtex	0.586544677280008	3.0274866649475694e-171
23CGAMP_THMMPtex	0.586544677280008	3.0274866649475694e-171
23CN3PA		
23CN3PC		
23CN3PG		
23CN3PU		
23E1QN1GST	0.3147843088956139	8.708707712337233e-44
23E1QN4GST	0.3147843088956139	8.708707712337233e-44
23E2QN1GST	0.3147843088956139	8.708707712337233e-44
23E2QN4GST	0.3147843088956139	8.708707712337233e-44
2ABUTGLYDP	0.3639931686797331	5.407870869225452e-59
2ABUTTA	1.0	0.0
2ABUTtec	0.5902566966748635	6.309472037762536e-174
2DADNt	0.9924492437300984	0.0
2DCYTt		
2DGSNt	0.7136869150580012	9.958925884420298e-288
2DINSt	0.7281107541351524	4.2536862727367705e-305
2DURIt	0.7145984560842913	8.562122082514343e-289
2H3MV		
2HBO	1.0	0.0
2HB_5OXPROtex	0.4259934853707575	2.3389758158095947e-82
2HB_ACACtex	0.4738462224548296	4.578158958576256e-104
2HB_ACtex	0.4259934853707575	2.3389758158095947e-82
2HB_BUTtex	0.4364247141738773	8.483816899974443e-87
2HB_DLACtex	0.4259934853707575	2.3389758158095947e-82
2HB_GLYCLTtex	0.3202489783626576	2.4294863654612574e-45
2HB_PPAtex	0.4364247141738773	8.483816899974443e-87
2HBt2	0.4364247141738773	8.483816899974443e-87
2HIV		
2IMBUTDA	0.2866178750494685	2.800592489308021e-36
2IMPPADA	0.3731900771215545	3.7773948144375086e-62
2LACK_L	1.0	0.0
2LACP_L	0.3270054553810856	2.620800792627333e-47
2OBUT_2HBtex	0.4364247141738773	8.483816899974443e-87
2OBUT_5OXPROtex	0.4259934853707575	2.3389758158095947e-82
2OBUT_ACACtex	0.4873604618439549	7.532060186501731e-111
2OBUT_ACtex	0.4259934853707575	2.3389758158095947e-82
2OBUT_BUTtex	1.0	0.0
2OBUT_DLACtex	0.4259934853707575	2.3389758158095947e-82
2OBUT_GLYCLTtex	0.2517142558773807	4.226925520648045e-28
2OBUT_LLACtex	1.0	0.0
2OBUT_PPAtex	1.0	0.0
2OBUTt	1.0	0.0
2OHE1MT	0.8202057118081029	0.0
2OHE1MT2	0.8202057118081029	0.0
2OHE1PX	1.0	0.0
2OHE2MT	0.8202057118081029	0.0
2OHE2MT2	0.8202057118081029	0.0
2OHE2PX	1.0	0.0
2SGTH4OHE1ABCte	0.4672774962338704	7.073412944228295e-101
